,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,15002,13253
C4-e003Coalescence-Inoculumn-mGAM,15002,13253
B10-e003Coalescence-mBHI-p3,14922,13224
B10-e003Coalescence-mBHI-p5,14959,13242
B10-e003Coalescence-mGAM-p3,14925,13112
B10-e003Coalescence-mGAM-p7,11953,10718
B4-e003Coalescence-Inoculumn-mGAM,14977,13235
C3-e003Coalescence-Inoculumn-mGAM,14936,13188
C9-e003Coalescence-mBHI-p3,14964,13244
C9-e003Coalescence-mBHI-p5,14980,13246
C9-e003Coalescence-mBHI-p7,14885,13224
C9-e003Coalescence-mGAM-p3,14957,13170
C9-e003Coalescence-mGAM-p5,14987,13228
C9-e003Coalescence-mGAM-p7,14993,13238
F100-e003Coalescence-mBHI-p7_S115,14760,13169
F100-e003Coalescence-mGAM-p3_S167,14442,12585
F100-e003Coalescence-mGAM-p5_S67,13496,11777
F100-e003Coalescence-mGAM-p7_S163,14975,13210
G9-e003Coalescence-mBHI-p3_S130,14297,12804
G9-e003Coalescence-mBHI-p5_S30,14833,13204
G9-e003Coalescence-mGAM-p3_S178,14938,13096
G9-e003Coalescence-mGAM-p5_S78,14762,12882
G9-e003Coalescence-mGAM-p7_S174,14945,13100
