,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,4836.0,8617.0
A10-e003Coalescence-mBHI-p5,39346.0,68754.0
A10-e003Coalescence-mBHI-p7,39668.0,70404.0
A10-e003Coalescence-mGAM-p3,39299.0,68310.0
A10-e003Coalescence-mGAM-p7,51413.0,88389.0
A4-e003Coalescence-Inoculumn-mGAM,134394.0,233829.0
C2-e003Coalescence-Inoculumn-mGAM,72460.0,126280.0
C8-e003Coalescence-mBHI-p5,184095.0,322079.0
C8-e003Coalescence-mBHI-p7,53166.0,93466.0
C8-e003Coalescence-mGAM-p7,47206.0,84154.0
E100-e003Coalescence-mBHI-p5_S7,111619.0,190526.0
E100-e003Coalescence-mBHI-p7_S103,48020.0,88458.0
E100-e003Coalescence-mGAM-p3_S155,27499.0,47349.0
E100-e003Coalescence-mGAM-p5_S55,33491.0,56896.0
E100-e003Coalescence-mGAM-p7_S151,50481.0,84674.0
G8-e003Coalescence-mBHI-p3_S129,145203.0,251164.0
G8-e003Coalescence-mBHI-p5_S29,95422.0,169899.0
G8-e003Coalescence-mBHI-p7_S125,68895.0,122731.0
G8-e003Coalescence-mGAM-p3_S177,8371.0,14825.0
G8-e003Coalescence-mGAM-p5_S77,34087.0,58349.0
G8-e003Coalescence-mGAM-p7_S173,72687.0,125599.0
