,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,160.0,68.0
B5-e003Coalescence-mBHI-p3,51.0,37.0
B5-e003Coalescence-mBHI-p5,47.0,5.0
B5-e003Coalescence-mBHI-p7,68.0,39.0
B5-e003Coalescence-mGAM-p3,112.0,62.0
B5-e003Coalescence-mGAM-p5,72.0,36.0
D3-e003Coalescence-Inoculumn-mBHI,423.0,189.0
D3-e003Coalescence-mBHI-p5,35.0,15.0
D3-e003Coalescence-mGAM-p3,104.0,62.0
D3-e003Coalescence-mGAM-p5,115.0,57.0
F5-e003Coalescence-mBHI-p3_S24,94.0,39.0
F5-e003Coalescence-mBHI-p5_S16,9.0,18.0
F5-e003Coalescence-mBHI-p7_S112,58.0,42.0
F5-e003Coalescence-mGAM-p3_S72,88.0,34.0
F5-e003Coalescence-mGAM-p5_S64,76.0,26.0
F5-e003Coalescence-mGAM-p7_S160,18.0,23.0
H3-e003Coalescence-mBHI-p3_S46,93.0,59.0
H3-e003Coalescence-mBHI-p5_S38,28.0,17.0
H3-e003Coalescence-mGAM-p3_S94,83.0,33.0
H3-e003Coalescence-mGAM-p5_S86,75.0,28.0
H3-e003Coalescence-mGAM-p7_S182,53.0,17.0
