,s1,s2,fixed_diffs,Species,Strain Shift
0,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mGAM-p3,38638,102438,True
1,A2-e003Coalescence-Inoculumn-mBHI,D2-e004Assembly-mGAM-p7,22909,102438,True
2,A2-e003Coalescence-Inoculumn-mBHI,C11-e003Coalescence-mBHI-p3,34748,102438,True
3,A2-e003Coalescence-Inoculumn-mBHI,D11-e003Coalescence-mBHI-p5,41876,102438,True
4,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mGAM-p7,31665,102438,True
5,A2-e003Coalescence-Inoculumn-mBHI,C8-e003Coalescence-mGAM-p7,42673,102438,True
6,A2-e003Coalescence-Inoculumn-mBHI,D10-e003Coalescence-mBHI-p3,33724,102438,True
7,A2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p3,27766,102438,True
8,A2-e003Coalescence-Inoculumn-mBHI,A8-e003Coalescence-mBHI-p3,3,102438,False
9,A2-e003Coalescence-Inoculumn-mBHI,B9-e003Coalescence-mGAM-p5,42969,102438,True
10,A2-e003Coalescence-Inoculumn-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,108,102438,False
11,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-mBHI-p3,42086,102438,True
12,A2-e003Coalescence-Inoculumn-mBHI,B5-e004Assembly-mBHI-p7,13227,102438,True
13,A2-e003Coalescence-Inoculumn-mBHI,G5-e004Assembly-epsilon-p3,12753,102438,True
14,A2-e003Coalescence-Inoculumn-mBHI,D10-e003Assembly-mGAM-p5,39562,102438,True
15,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mGAM-p7,42595,102438,True
16,A2-e003Coalescence-Inoculumn-mBHI,e004-inoculumn-fecal-AK,24288,102438,True
17,A2-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-mGAM-p3,31823,102438,True
18,A2-e003Coalescence-Inoculumn-mBHI,D4-e004Assembly-mGAM-p5,20800,102438,True
19,A2-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-Inoculumn-mBHI,34834,102438,True
20,A2-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-mBHI-p7,41413,102438,True
21,A2-e003Coalescence-Inoculumn-mBHI,D11-e003Coalescence-mGAM-p5,42151,102438,True
22,A2-e003Coalescence-Inoculumn-mBHI,A11-e003Coalescence-mGAM-p7,32172,102438,True
23,A2-e003Coalescence-Inoculumn-mBHI,B8-e003Coalescence-mBHI-p5,40730,102438,True
24,A2-e003Coalescence-Inoculumn-mBHI,B10-e003Assembly-mGAM-p5,38617,102438,True
25,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mGAM-p7,42596,102438,True
26,A2-e003Coalescence-Inoculumn-mBHI,B11-e003Coalescence-mGAM-p3,42808,102438,True
27,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mGAM-p5,41938,102438,True
28,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mBHI-p5,36186,102438,True
29,A2-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mGAM-p3,41294,102438,True
30,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM,7,102438,False
31,A2-e003Coalescence-Inoculumn-mBHI,E5-e004Assembly-mGAM-p5,13852,102438,True
32,A2-e003Coalescence-Inoculumn-mBHI,D8-e003Coalescence-mGAM-p5,41864,102438,True
33,A2-e003Coalescence-Inoculumn-mBHI,A12-e003Coalescence-mGAM-p3,36447,102438,True
34,A2-e003Coalescence-Inoculumn-mBHI,D9-e003Coalescence-mGAM-p7,38865,102438,True
35,A2-e003Coalescence-Inoculumn-mBHI,E4-e004Assembly-mGAM-p7,20558,102438,True
36,A2-e003Coalescence-Inoculumn-mBHI,E3-e004Assembly-mGAM-p3,41949,102438,True
37,A2-e003Coalescence-Inoculumn-mBHI,D2-e004Assembly-mGAM-p3,22277,102438,True
38,A2-e003Coalescence-Inoculumn-mBHI,B10-e003Coalescence-mGAM-p3,34484,102438,True
39,A2-e003Coalescence-Inoculumn-mBHI,A9-e003Coalescence-mGAM-p7,41565,102438,True
40,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mGAM,32127,102438,True
41,A2-e003Coalescence-Inoculumn-mBHI,D10-e003Coalescence-mBHI-p5,33610,102438,True
42,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p3,31419,102438,True
43,A2-e003Coalescence-Inoculumn-mBHI,D9-e003Coalescence-mGAM-p5,37437,102438,True
44,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mBHI-p3,39521,102438,True
45,A2-e003Coalescence-Inoculumn-mBHI,D10-e003Coalescence-mGAM-p5,42706,102438,True
46,A2-e003Coalescence-Inoculumn-mBHI,B11-e003Assembly-mGAM-p5,39836,102438,True
47,A2-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mGAM-p5,35172,102438,True
48,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mGAM-p5,34336,102438,True
49,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mGAM-p5,31949,102438,True
