,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,13295,15077
C9-e003Coalescence-mGAM-p3,13232,15066
D2-e004Assembly-mGAM-p7,7296,8310
B5-e004Assembly-mBHI-p3,12853,14626
C11-e003Coalescence-mBHI-p3,13308,15100
D11-e003Coalescence-mBHI-p5,13310,15078
C9-e003Coalescence-mGAM-p7,13296,15104
C8-e003Coalescence-mGAM-p7,13259,15092
D10-e003Coalescence-mBHI-p3,13308,15094
F3-e004Assembly-epsilon-p3,10642,12110
B2-e003Coalescence-mBHI-p3,13184,15019
A8-e003Coalescence-mBHI-p3,13043,14847
A4-e003Coalescence-mBHI-p7,13189,15041
B4-e003Coalescence-mBHI-p5,4835,5728
A3-e003Coalescence-mBHI-p7,13303,15113
B9-e003Coalescence-mGAM-p5,13307,15069
A4-e003Coalescence-mBHI-inoculumn-redo,13305,15111
B3-e003Coalescence-mBHI-p3,13311,15111
D4-e003Coalescence-mBHI-p5,13231,14931
C2-e003Coalescence-mBHI-p5,13230,15065
B3-e004Assembly-mBHI-p7,12985,14769
B5-e004Assembly-mBHI-p7,12928,14711
D4-e003Coalescence-mBHI-p3,13151,14840
C4-e003GlycerolRevival-mBHI-p2,13226,15065
G5-e004Assembly-epsilon-p3,12936,14722
C5-e004Assembly-mBHI-p3,12492,14198
D10-e003Assembly-mGAM-p5,8783,10477
B2-e003Assembly-mBHI-p5,12864,14700
C3-e004Assembly-mBHI-p5,13008,14810
B2-e003Coalescence-mBHI-p5,13238,15070
B8-e003Assembly-mGAM-p5,8192,9443
C4-e003Coalescence-mGAM-p7,13162,15031
B12-e003Coalescence-mBHI-p3,13202,14866
D3-e004Assembly-mGAM-p7,13031,14854
C8-e003Assembly-mGAM-p3,11597,13282
C3-e003Coalescence-mGAM-p3,13278,15098
B4-e003Assembly-mBHI-p5,13278,15093
D4-e004Assembly-mGAM-p5,11757,13373
D3-e003Coalescence-Inoculumn-mBHI,13313,15112
C3-e003Coalescence-mBHI-p7,13274,15099
D11-e003Coalescence-mGAM-p5,13291,15040
A11-e003Coalescence-mGAM-p7,13223,14916
B8-e003Coalescence-mBHI-p5,13308,15067
B10-e003Assembly-mGAM-p5,10847,12726
C2-e003Coalescence-mGAM-p7,13287,15101
D3-e003Coalescence-mBHI-p5,13287,14992
B11-e003Coalescence-mGAM-p3,13312,15092
C4-e003Coalescence-mBHI-inoculumn-redo,13273,15102
B5-e003Assembly-mBHI-p5,13210,14855
D2-e003Coalescence-mBHI-p5,12777,14328
D8-e003Assembly-mGAM-p5,10869,12479
D5-e003Coalescence-mGAM-p5,13213,14914
B5-e003Coalescence-mBHI-p5,13234,14942
D5-e003Coalescence-mBHI-p7,13268,14984
C9-e003Coalescence-mBHI-p5,13308,15091
A10-e003Coalescence-mBHI-p3,12792,14702
A5-e003Coalescence-mGAM-p3,13226,14883
A2-e003Coalescence-Inoculumn-mGAM,12833,14643
E5-e004Assembly-mGAM-p5,13050,14851
D8-e003Coalescence-mGAM-p5,13297,15051
A12-e003Coalescence-mGAM-p3,13231,14877
C2-e003Coalescence-mBHI-p3,13292,15109
C4-e004Assembly-mBHI-p5,12918,14661
D9-e003Coalescence-mGAM-p7,13291,15018
D4-e003Coalescence-mBHI-p7,13254,14966
D8-e003Assembly-mGAM-p3,8241,9520
E3-e004Assembly-mGAM-p3,12887,14715
B10-e003Coalescence-mGAM-p3,13165,15031
A9-e003Coalescence-mGAM-p7,13038,14700
B5-e003Coalescence-Inoculumn-mGAM,13208,14906
D10-e003Coalescence-mBHI-p5,13304,15063
D5-e003Coalescence-mBHI-p3,13280,15002
C5-e003Coalescence-mBHI-p3,12767,14292
D9-e003Coalescence-mGAM-p5,13308,15073
C9-e003Coalescence-mBHI-p3,13305,15072
D10-e003Coalescence-mGAM-p5,13269,15103
C8-e003Coalescence-mBHI-p7,13291,15107
B11-e003Assembly-mGAM-p5,12933,14433
G3-e004Assembly-epsilon-p7,12345,14112
B4-e003Coalescence-mGAM-p5,13195,15071
D4-e003Coalescence-mGAM-p5,13300,15062
C3-e004Assembly-mBHI-p7,12985,14781
B5-e003Coalescence-mGAM-p5,13252,14971
B5-e003Coalescence-Inoculumn-mBHI,13289,15092
G3-e004Assembly-epsilon-p3,10641,12090
C2-e003Coalescence-mGAM-p3,13188,15040
B5-e003Coalescence-mGAM-p7,12905,14569
D8-e003Coalescence-mBHI-p5,13303,15045
F5-e004Assembly-epsilon-p5,12425,14131
E5-e004Assembly-mGAM-p7,13061,14867
C10-e003Assembly-mGAM-p3,4213,5233
B10-e003Coalescence-mBHI-p5,13304,15064
D5-e003Coalescence-Inoculumn-mGAM,12988,14682
F2-e004Assembly-epsilon-p3,12794,14539
B3-e004Assembly-mBHI-p5,12750,14579
B5-e003Coalescence-mBHI-p3,13298,15027
G4-e004Assembly-epsilon-p5,8632,9868
C4-e003Coalescence-mGAM-p5,13194,15057
C5-e003Coalescence-mGAM-p7,13196,14944
C5-e003Coalescence-mBHI-inoculumn-redo,13315,15113
A2-e003Coalescence-mBHI-p7,12630,14362
A10-e003Coalescence-mBHI-p5,13251,15076
A4-e003Coalescence-mGAM-p5,13305,15042
D5-e003Coalescence-mBHI-p5,13261,15105
D3-e003Assembly-mBHI-p3,12278,13982
D4-e003Coalescence-mGAM-p7,13233,14991
A8-e003Coalescence-mBHI-p7,13004,14812
E3-e004Assembly-mGAM-p7,12772,14585
B9-e003GlycerolRevival-mGAM-p2,11908,13179
C4-e003Coalescence-mGAM-p3,13251,15083
B2-e003Coalescence-Inoculumn-mGAM,13136,14932
