,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
E5-e004Assembly-mGAM-p7,0.3305,0.1155
C10-e003Assembly-mGAM-p3,0.7689509398133516,0.26823965207235007
B10-e003Coalescence-mBHI-p5,0.0035018079387047728,0.003333410691016191
D5-e003Coalescence-Inoculumn-mGAM,0.007493868988828214,0.008615658321849084
F2-e004Assembly-epsilon-p3,0.017407541823916132,0.013210183108841943
B3-e004Assembly-mBHI-p5,0.010274359730420747,0.4155
B5-e003Coalescence-mBHI-p3,0.00796616320755484,0.006045338032859872
G4-e004Assembly-epsilon-p5,0.08664339756999316,0.2
C4-e003Coalescence-mGAM-p5,0.015982337358432273,0.009907637331631457
C5-e003Coalescence-mGAM-p7,0.20500000000000002,0.010490439527609778
C5-e003Coalescence-mBHI-inoculumn-redo,0.3275,0.0024209745202179657
A2-e003Coalescence-mBHI-p7,1.0,0.9285
A10-e003Coalescence-mBHI-p5,0.5655,0.48
A4-e003Coalescence-mGAM-p5,0.005592439543901652,0.0053235066259512305
D5-e003Coalescence-mBHI-p5,0.005183460764896953,0.003213287783231824
D3-e003Assembly-mBHI-p3,0.028881132523331052,0.017949288170518926
D4-e003Coalescence-mGAM-p7,0.008461237425052379,0.007512141525970452
A8-e003Coalescence-mBHI-p7,0.9972832160159206,0.95
E3-e004Assembly-mGAM-p7,0.017842545211495746,0.375
B9-e003GlycerolRevival-mGAM-p2,0.03746934494414107,0.04307829160924542
C4-e003Coalescence-mGAM-p3,0.011507282898071236,0.007133498878774649
B2-e003Coalescence-Inoculumn-mGAM,0.3415,0.571
D5-e003Coalescence-mGAM-p7,0.12923897886729788,0.11664690272207531
C5-e003Coalescence-mBHI-p5,0.0033756166616343308,0.003213287783231824
C5-e003Coalescence-mGAM-p3,0.0395,0.00662742947834545
A3-e003Coalescence-mBHI-inoculumn-redo,0.381,0.2765
D9-e003Assembly-mGAM-p5,0.09902102579427789,0.7
B12-e003Coalescence-mGAM-p3,0.014411286516977335,0.013718267074566633
A11-e003Coalescence-mBHI-p7,0.011709170295044084,0.011146091998085389
A3-e003Coalescence-Inoculumn-mGAM,0.611,0.688
D10-e003Assembly-mGAM-p3,0.8598815352840391,0.13089867598202215
C3-e003Coalescence-mGAM-p5,0.0071920518112945225,0.004458436799234156
B4-e004Assembly-mBHI-p5,0.01980420515885558,0.017081057164446297
C10-e003GlycerolRevival-mGAM-p2,0.023014565796142472,0.017231316643698168
D3-e003Assembly-mBHI-p5,0.203,0.007971160010074939
A10-e003Coalescence-mGAM-p3,0.07400000000000001,0.085
A9-e003Coalescence-mBHI-p3,0.002465088483167176,0.002834098132187199
A2-e003Coalescence-Inoculumn-mBHI,1.0,0.6885
D3-e003Coalescence-mBHI-p7,0.0039441415730674815,0.0037544730940919204
C3-e003Coalescence-mBHI-p5,0.00810372035075439,0.005023590759700457
D11-e003Assembly-mGAM-p3,0.031224454120117557,0.02972291199489437
D2-e003Assembly-mBHI-p3,0.859,0.9395
B3-e003Assembly-mBHI-p5,0.014384103622589045,0.008916873598468312
A9-e003Coalescence-mBHI-p5,0.042,0.02
D5-e003Coalescence-Inoculumn-mBHI,0.0030712577823066452,0.002923565114251905
B2-e003Coalescence-mGAM-p3,0.011742125406195139,0.00727908048854556
B4-e003Assembly-mBHI-p3,0.129,0.00869938887655445
C11-e003Coalescence-mGAM-p5,0.27099999999999996,0.004632074366585529
B3-e003Coalescence-Inoculumn-mBHI,0.00810372035075439,0.005023590759700457
A8-e003Coalescence-mBHI-p5,0.9941974860586946,0.9684999999999999
D5-e004Assembly-mGAM-p7,0.5005,0.05
C2-e003Assembly-mBHI-p5,0.9229836466044505,0.9112769226424698
D9-e003Coalescence-mBHI-p3,0.026763817817243622,0.02547678170990946
D5-e003Assembly-mBHI-p5,0.0162910195409309,0.015507606258205759
A5-e003Coalescence-mBHI-p7,0.02473703311819661,0.03648143055578659
G2-e004Assembly-epsilon-p3,0.124,0.02153914580462271
D2-e003Coalescence-mGAM-p5,0.008713801149800249,0.008294766138110057
B9-e003Assembly-mGAM-p5,0.031224454120117557,0.03589857634103785
D3-e003Coalescence-mGAM-p3,0.4315,0.016568573695863623
D9-e003Coalescence-mGAM-p3,0.00814550977046545,0.0077538031291028795
E2-e004Assembly-mGAM-p7,0.1453938512257101,0.05384786451155678
D3-e003Coalescence-mGAM-p5,0.3375,0.004951527771177635
C10-e003Coalescence-mGAM-p3,0.00858752455079943,0.0053235066259512305
A5-e003Coalescence-mBHI-inoculumn-redo,0.3805,0.2605
B11-e003Assembly-mGAM-p3,0.026763817817243622,0.02547678170990946
D2-e003Assembly-mBHI-p5,0.8245,0.714
B9-e003Coalescence-mGAM-p7,0.010126849984902991,0.00963986334969547
B11-e003Coalescence-mGAM-p7,0.012920463773841748,0.012299135997887326
C3-e003Coalescence-Inoculumn-mGAM,0.39,0.011045715797242416
B5-e003Coalescence-mBHI-p7,0.008515760214577516,0.008106248725880283
A3-e003Coalescence-mGAM-p7,0.022,0.0053235066259512305
D4-e003Coalescence-Inoculumn-mBHI,0.243,0.0014854583313532903
A4-e003Coalescence-mBHI-p5,0.009751934659382403,0.006045338032859872
B3-e003Coalescence-mBHI-p7,0.007881700615117285,0.00488595813614702
C2-e004Assembly-mBHI-p7,0.8654999999999999,0.01273839085495473
D10-e003Coalescence-mGAM-p7,0.0025685899326051867,0.0015922988568693413
C12-e003Coalescence-mGAM-p3,0.331,0.009145511383044421
C11-e003Coalescence-mGAM-p3,0.22449999999999998,0.0021756712933962336
D5-e004Assembly-mGAM-p3,0.23104906018664842,0.20066213405432268
A10-e003Coalescence-mBHI-p7,0.6984999999999999,0.634
C10-e003Coalescence-mBHI-p7,0.003968028585541805,0.002459827199577465
B9-e003Coalescence-mBHI-p5,0.002695636326916624,0.003675004487525113
B10-e003Coalescence-mBHI-p3,0.005132786978649461,0.00488595813614702
C11-e003Coalescence-mBHI-p5,0.0375,0.0013719201149441217
A2-e003Coalescence-mGAM-p7,0.9838802981265129,0.9975497554498179
C5-e003Assembly-mBHI-p3,0.01597225882909573,0.017164888562631517
F5-e004Assembly-epsilon-p3,0.10200000000000001,0.032
E3-e004Assembly-mGAM-p5,0.01128164990006984,0.4555
E2-e004Assembly-mGAM-p5,0.10333482164805849,0.07472962509445255
C3-e003GlycerolRevival-mBHI-p2,0.05900000000000005,0.006306489182296182
D10-e003Coalescence-mGAM-p3,0.14900000000000002,0.004632074366585529
B10-e003Coalescence-mGAM-p7,0.06931471805599453,0.05108256237659907
C4-e004Assembly-mBHI-p3,0.4035,0.006793602281313868
A9-e003Coalescence-mBHI-p7,0.0023714775281101943,0.0022574363540426106
C2-e003Coalescence-Inoculumn-mGAM,0.31099999999999994,0.549
B3-e003Coalescence-Inoculumn-mGAM,0.009138864620522212,0.00869938887655445
D11-e003Coalescence-mGAM-p7,0.007806113530029389,0.007430727998723592
D5-e003Coalescence-mGAM-p3,0.005947515070498582,0.0056615070466465465
E5-e004Assembly-mGAM-p3,0.1135,0.03929427875123005
D2-e003Coalescence-Inoculumn-mBHI,0.3595,0.286
B4-e003Coalescence-Inoculumn-mGAM,0.484,0.0065270138801887005
F2-e004Assembly-epsilon-p7,0.04700036292457356,0.03566749439387325
A10-e003Coalescence-mGAM-p7,0.153,0.09
B2-e003Assembly-mBHI-p3,0.9916070780491832,0.9876223717757152
