,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,172,19
C9-e003Coalescence-mGAM-p3,171,19
D2-e004Assembly-mGAM-p7,86,7
B5-e004Assembly-mBHI-p3,161,17
C11-e003Coalescence-mBHI-p3,174,19
D11-e003Coalescence-mBHI-p5,174,19
C9-e003Coalescence-mGAM-p7,172,19
C8-e003Coalescence-mGAM-p7,170,19
D10-e003Coalescence-mBHI-p3,174,19
F3-e004Assembly-epsilon-p3,121,12
B2-e003Coalescence-mBHI-p3,171,19
A8-e003Coalescence-mBHI-p3,173,18
A4-e003Coalescence-mBHI-p7,163,19
B4-e003Coalescence-mBHI-p5,48,5
A3-e003Coalescence-mBHI-p7,174,19
B9-e003Coalescence-mGAM-p5,173,19
A4-e003Coalescence-mBHI-inoculumn-redo,174,19
B3-e003Coalescence-mBHI-p3,173,19
D4-e003Coalescence-mBHI-p5,169,18
C2-e003Coalescence-mBHI-p5,169,19
B3-e004Assembly-mBHI-p7,172,18
B5-e004Assembly-mBHI-p7,167,17
D4-e003Coalescence-mBHI-p3,170,18
C4-e003GlycerolRevival-mBHI-p2,162,19
G5-e004Assembly-epsilon-p3,168,19
C5-e004Assembly-mBHI-p3,162,15
D10-e003Assembly-mGAM-p5,93,9
B2-e003Assembly-mBHI-p5,166,18
C3-e004Assembly-mBHI-p5,174,19
B2-e003Coalescence-mBHI-p5,170,18
B8-e003Assembly-mGAM-p5,105,4
C4-e003Coalescence-mGAM-p7,169,16
B12-e003Coalescence-mBHI-p3,172,19
D3-e004Assembly-mGAM-p7,173,17
C8-e003Assembly-mGAM-p3,148,16
C3-e003Coalescence-mGAM-p3,172,19
B4-e003Assembly-mBHI-p5,173,19
D4-e004Assembly-mGAM-p5,156,17
D3-e003Coalescence-Inoculumn-mBHI,174,19
C3-e003Coalescence-mBHI-p7,171,15
D11-e003Coalescence-mGAM-p5,173,19
A11-e003Coalescence-mGAM-p7,173,19
B8-e003Coalescence-mBHI-p5,173,19
B10-e003Assembly-mGAM-p5,140,13
C2-e003Coalescence-mGAM-p7,172,19
D3-e003Coalescence-mBHI-p5,172,19
B11-e003Coalescence-mGAM-p3,173,19
C4-e003Coalescence-mBHI-inoculumn-redo,174,19
B5-e003Assembly-mBHI-p5,169,19
D2-e003Coalescence-mBHI-p5,159,16
D8-e003Assembly-mGAM-p5,128,12
D5-e003Coalescence-mGAM-p5,168,18
B5-e003Coalescence-mBHI-p5,171,19
D5-e003Coalescence-mBHI-p7,174,19
C9-e003Coalescence-mBHI-p5,173,19
A10-e003Coalescence-mBHI-p3,159,18
A5-e003Coalescence-mGAM-p3,168,19
A2-e003Coalescence-Inoculumn-mGAM,170,17
E5-e004Assembly-mGAM-p5,169,18
D8-e003Coalescence-mGAM-p5,174,19
A12-e003Coalescence-mGAM-p3,172,19
C2-e003Coalescence-mBHI-p3,173,19
C4-e004Assembly-mBHI-p5,164,18
D9-e003Coalescence-mGAM-p7,172,19
D4-e003Coalescence-mBHI-p7,173,19
D8-e003Assembly-mGAM-p3,100,8
E3-e004Assembly-mGAM-p3,171,16
B10-e003Coalescence-mGAM-p3,169,19
A9-e003Coalescence-mGAM-p7,169,19
B5-e003Coalescence-Inoculumn-mGAM,170,18
D10-e003Coalescence-mBHI-p5,174,19
D5-e003Coalescence-mBHI-p3,173,19
C5-e003Coalescence-mBHI-p3,161,18
D9-e003Coalescence-mGAM-p5,171,19
C9-e003Coalescence-mBHI-p3,173,19
D10-e003Coalescence-mGAM-p5,172,19
C8-e003Coalescence-mBHI-p7,173,18
B11-e003Assembly-mGAM-p5,166,15
G3-e004Assembly-epsilon-p7,159,17
B4-e003Coalescence-mGAM-p5,161,19
D4-e003Coalescence-mGAM-p5,172,18
C3-e004Assembly-mBHI-p7,172,18
B5-e003Coalescence-mGAM-p5,171,18
B5-e003Coalescence-Inoculumn-mBHI,171,19
G3-e004Assembly-epsilon-p3,130,15
C2-e003Coalescence-mGAM-p3,163,18
B5-e003Coalescence-mGAM-p7,167,18
D8-e003Coalescence-mBHI-p5,172,19
F5-e004Assembly-epsilon-p5,164,15
E5-e004Assembly-mGAM-p7,168,19
C10-e003Assembly-mGAM-p3,44,2
B10-e003Coalescence-mBHI-p5,173,19
D5-e003Coalescence-Inoculumn-mGAM,169,19
F2-e004Assembly-epsilon-p3,162,17
B3-e004Assembly-mBHI-p5,167,18
B5-e003Coalescence-mBHI-p3,171,19
G4-e004Assembly-epsilon-p5,113,13
C4-e003Coalescence-mGAM-p5,166,18
C5-e003Coalescence-mGAM-p7,169,18
C5-e003Coalescence-mBHI-inoculumn-redo,174,19
A2-e003Coalescence-mBHI-p7,161,19
A10-e003Coalescence-mBHI-p5,173,19
A4-e003Coalescence-mGAM-p5,172,19
D5-e003Coalescence-mBHI-p5,171,19
D3-e003Assembly-mBHI-p3,159,17
D4-e003Coalescence-mGAM-p7,171,19
A8-e003Coalescence-mBHI-p7,170,19
E3-e004Assembly-mGAM-p7,170,18
B9-e003GlycerolRevival-mGAM-p2,160,16
C4-e003Coalescence-mGAM-p3,172,19
B2-e003Coalescence-Inoculumn-mGAM,171,19
D5-e003Coalescence-mGAM-p7,134,12
C5-e003Coalescence-mBHI-p5,173,18
C5-e003Coalescence-mGAM-p3,174,19
A3-e003Coalescence-mBHI-inoculumn-redo,161,15
D9-e003Assembly-mGAM-p5,105,8
B12-e003Coalescence-mGAM-p3,170,19
A11-e003Coalescence-mBHI-p7,173,19
A3-e003Coalescence-Inoculumn-mGAM,161,15
D10-e003Assembly-mGAM-p3,89,8
C3-e003Coalescence-mGAM-p5,168,18
B4-e004Assembly-mBHI-p5,162,18
C10-e003GlycerolRevival-mGAM-p2,169,18
D3-e003Assembly-mBHI-p5,160,17
A10-e003Coalescence-mGAM-p3,173,19
A9-e003Coalescence-mBHI-p3,174,19
A2-e003Coalescence-Inoculumn-mBHI,161,18
D3-e003Coalescence-mBHI-p7,174,19
C3-e003Coalescence-mBHI-p5,169,18
D11-e003Assembly-mGAM-p3,164,13
D2-e003Assembly-mBHI-p3,169,18
B3-e003Assembly-mBHI-p5,166,19
A9-e003Coalescence-mBHI-p5,172,19
D5-e003Coalescence-Inoculumn-mBHI,173,19
B2-e003Coalescence-mGAM-p3,162,16
B4-e003Assembly-mBHI-p3,162,19
C11-e003Coalescence-mGAM-p5,174,19
B3-e003Coalescence-Inoculumn-mBHI,168,19
A8-e003Coalescence-mBHI-p5,173,18
D5-e004Assembly-mGAM-p7,170,17
C2-e003Assembly-mBHI-p5,118,9
D9-e003Coalescence-mBHI-p3,167,17
D5-e003Assembly-mBHI-p5,166,18
A5-e003Coalescence-mBHI-p7,164,16
G2-e004Assembly-epsilon-p3,156,18
D2-e003Coalescence-mGAM-p5,172,19
B9-e003Assembly-mGAM-p5,157,18
D3-e003Coalescence-mGAM-p3,169,19
D9-e003Coalescence-mGAM-p3,172,19
E2-e004Assembly-mGAM-p7,118,12
D3-e003Coalescence-mGAM-p5,171,19
C10-e003Coalescence-mGAM-p3,169,19
A5-e003Coalescence-mBHI-inoculumn-redo,168,19
B11-e003Assembly-mGAM-p3,160,17
D2-e003Assembly-mBHI-p5,168,17
B9-e003Coalescence-mGAM-p7,170,19
B11-e003Coalescence-mGAM-p7,160,19
C3-e003Coalescence-Inoculumn-mGAM,171,19
B5-e003Coalescence-mBHI-p7,173,19
A3-e003Coalescence-mGAM-p7,166,16
D4-e003Coalescence-Inoculumn-mBHI,174,19
A4-e003Coalescence-mBHI-p5,168,19
B3-e003Coalescence-mBHI-p7,170,18
C2-e004Assembly-mBHI-p7,166,18
D10-e003Coalescence-mGAM-p7,173,19
C12-e003Coalescence-mGAM-p3,172,19
C11-e003Coalescence-mGAM-p3,174,19
D5-e004Assembly-mGAM-p3,48,4
A10-e003Coalescence-mBHI-p7,171,19
C10-e003Coalescence-mBHI-p7,171,19
B9-e003Coalescence-mBHI-p5,174,19
B10-e003Coalescence-mBHI-p3,173,19
C11-e003Coalescence-mBHI-p5,174,19
A2-e003Coalescence-mGAM-p7,168,16
C5-e003Assembly-mBHI-p3,157,18
F5-e004Assembly-epsilon-p3,171,19
E3-e004Assembly-mGAM-p5,173,18
E2-e004Assembly-mGAM-p5,112,16
C3-e003GlycerolRevival-mBHI-p2,157,17
D10-e003Coalescence-mGAM-p3,172,19
B10-e003Coalescence-mGAM-p7,134,15
C4-e004Assembly-mBHI-p3,165,18
A9-e003Coalescence-mBHI-p7,173,19
C2-e003Coalescence-Inoculumn-mGAM,170,19
B3-e003Coalescence-Inoculumn-mGAM,172,18
D11-e003Coalescence-mGAM-p7,170,18
D5-e003Coalescence-mGAM-p3,170,19
E5-e004Assembly-mGAM-p3,165,18
D2-e003Coalescence-Inoculumn-mBHI,171,18
B4-e003Coalescence-Inoculumn-mGAM,171,19
F2-e004Assembly-epsilon-p7,146,17
A10-e003Coalescence-mGAM-p7,170,19
B2-e003Assembly-mBHI-p3,165,17
D9-e003Coalescence-mBHI-p5,172,19
C4-e003Coalescence-Inoculumn-mGAM,174,19
D4-e003Coalescence-mGAM-p3,174,19
B9-e003Coalescence-mBHI-p7,174,19
A2-e003Coalescence-mGAM-p5,171,18
D11-e003Assembly-mGAM-p5,157,19
C3-e003Coalescence-mGAM-p7,171,19
B11-e003GlycerolRevival-mGAM-p2,156,18
C5-e004Assembly-mBHI-p7,142,16
B3-e003Coalescence-mGAM-p5,172,19
D9-e003Coalescence-mBHI-p7,172,19
G5-e004Assembly-epsilon-p5,163,18
B10-e003Assembly-mGAM-p3,83,5
D3-e004Assembly-mGAM-p5,169,17
C5-e003Coalescence-mBHI-p7,173,19
D12-e003Coalescence-mBHI-p3,170,19
D4-e004Assembly-mGAM-p7,160,19
C11-e003Coalescence-mGAM-p7,170,19
C11-e003Assembly-mGAM-p3,169,18
D10-e003Coalescence-mBHI-p7,174,19
