,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,16,20
C9-e003Coalescence-mGAM-p3,16,20
D2-e004Assembly-mGAM-p7,10,9
B5-e004Assembly-mBHI-p3,16,20
C11-e003Coalescence-mBHI-p3,16,20
D11-e003Coalescence-mBHI-p5,16,20
C9-e003Coalescence-mGAM-p7,16,20
C8-e003Coalescence-mGAM-p7,16,20
D10-e003Coalescence-mBHI-p3,16,20
F3-e004Assembly-epsilon-p3,16,18
B2-e003Coalescence-mBHI-p3,16,20
A8-e003Coalescence-mBHI-p3,16,20
A4-e003Coalescence-mBHI-p7,16,20
B4-e003Coalescence-mBHI-p5,14,7
A3-e003Coalescence-mBHI-p7,16,20
B9-e003Coalescence-mGAM-p5,16,20
A4-e003Coalescence-mBHI-inoculumn-redo,16,20
B3-e003Coalescence-mBHI-p3,16,20
D4-e003Coalescence-mBHI-p5,16,20
C2-e003Coalescence-mBHI-p5,16,20
B3-e004Assembly-mBHI-p7,16,20
B5-e004Assembly-mBHI-p7,16,20
D4-e003Coalescence-mBHI-p3,16,20
C4-e003GlycerolRevival-mBHI-p2,16,20
G5-e004Assembly-epsilon-p3,16,20
C5-e004Assembly-mBHI-p3,16,19
D10-e003Assembly-mGAM-p5,15,12
B2-e003Assembly-mBHI-p5,16,19
C3-e004Assembly-mBHI-p5,16,20
B2-e003Coalescence-mBHI-p5,16,20
B8-e003Assembly-mGAM-p5,12,14
C4-e003Coalescence-mGAM-p7,16,20
B12-e003Coalescence-mBHI-p3,16,20
D3-e004Assembly-mGAM-p7,16,20
C8-e003Assembly-mGAM-p3,11,18
C3-e003Coalescence-mGAM-p3,16,20
B4-e003Assembly-mBHI-p5,16,20
D4-e004Assembly-mGAM-p5,16,20
D3-e003Coalescence-Inoculumn-mBHI,16,20
C3-e003Coalescence-mBHI-p7,16,20
D11-e003Coalescence-mGAM-p5,16,20
A11-e003Coalescence-mGAM-p7,15,20
B8-e003Coalescence-mBHI-p5,16,20
B10-e003Assembly-mGAM-p5,16,18
C2-e003Coalescence-mGAM-p7,16,20
D3-e003Coalescence-mBHI-p5,16,20
B11-e003Coalescence-mGAM-p3,16,20
C4-e003Coalescence-mBHI-inoculumn-redo,16,20
B5-e003Assembly-mBHI-p5,16,20
D2-e003Coalescence-mBHI-p5,16,18
D8-e003Assembly-mGAM-p5,13,18
D5-e003Coalescence-mGAM-p5,16,20
B5-e003Coalescence-mBHI-p5,16,20
D5-e003Coalescence-mBHI-p7,16,20
C9-e003Coalescence-mBHI-p5,16,20
A10-e003Coalescence-mBHI-p3,16,19
