,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,1345,2038
B10-e003Coalescence-mBHI-p5,1606,2422
B10-e003Coalescence-mGAM-p3,1392,2098
B4-e003Coalescence-Inoculumn-mGAM,1811,2712
C3-e003Coalescence-Inoculumn-mGAM,1743,2605
C9-e003Coalescence-mBHI-p1_S758,613,983
C9-e003Coalescence-mBHI-p3,1785,2683
C9-e003Coalescence-mBHI-p5,1624,2449
C9-e003Coalescence-mBHI-p7,928,1447
C9-e003Coalescence-mGAM-p1_S762,1175,1616
C9-e003Coalescence-mGAM-p3,1664,2517
C9-e003Coalescence-mGAM-p5,1496,2318
C9-e003Coalescence-mGAM-p7,1601,2415
Coalescence-A4-B10-ACPP-AE-mGAM-mBHI-7_S623,1809,2726
Coalescence-B10-G9-ACPP-AE-mGAM-mBHI-7_S641,1781,2683
Coalescence-C10-B10-ACPP-AE-mGAM-mGAM-5_S653,1803,2715
Coalescence-F5-F10-ACPP-AE-mGAM-mBHI-3_S684,1821,2743
F10-e003Coalescence-mGAM-p1_S833,844,1135
F100-e003Coalescence-mBHI-p7_S115,1775,2679
F100-e003Coalescence-mGAM-p3_S167,1383,2143
F100-e003Coalescence-mGAM-p7_S163,1523,2304
G9-e003Coalescence-mBHI-p3_S130,1472,2196
G9-e003Coalescence-mBHI-p5_S30,1770,2667
G9-e003Coalescence-mGAM-p1_S826,1245,1795
G9-e003Coalescence-mGAM-p3_S178,1792,2714
G9-e003Coalescence-mGAM-p5_S78,598,864
G9-e003Coalescence-mGAM-p7_S174,1398,2190
