,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,282328.0,505.0
A5-e003Coalescence-mBHI-inoculumn-redo,702279.0,1257.0
A5-e003Coalescence-mBHI-p7,837487.0,1582.0
A5-e003Coalescence-mGAM-p3,2428750.0,4617.0
D2-e003Coalescence-Inoculumn-mBHI,493531.0,826.0
D2-e003Coalescence-mBHI-p3,526423.0,938.0
D2-e003Coalescence-mBHI-p5,519503.0,987.0
D2-e003Coalescence-mGAM-p5,1372834.0,2627.0
E5-e003Coalescence-mBHI-p3_S12,386404.0,763.0
E5-e003Coalescence-mBHI-p5_S4,445447.0,926.0
E5-e003Coalescence-mBHI-p7_S100,1206350.0,2316.0
E5-e003Coalescence-mGAM-p3_S60,2335247.0,4528.0
E5-e003Coalescence-mGAM-p5_S52,1283605.0,2480.0
E5-e003Coalescence-mGAM-p7_S148,8046554.0,15861.0
H2-e003Coalescence-mBHI-p3_S45,1135035.0,2127.0
H2-e003Coalescence-mBHI-p7_S133,627320.0,1299.0
H2-e003Coalescence-mGAM-p3_S93,3250204.0,6386.0
H2-e003Coalescence-mGAM-p5_S85,98515.0,178.0
H2-e003Coalescence-mGAM-p7_S181,3816142.0,7890.0
