,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.654,1.0
B5-e003Coalescence-mBHI-p3,0.571,1.0
B5-e003Coalescence-mGAM-p3,1.0,1.0
B5-e003Coalescence-mGAM-p5,0.722,0.667
B5-e003Coalescence-mGAM-p7,0.773,0.734
D3-e003Coalescence-Inoculumn-mBHI,0.65,0.87
D3-e003Coalescence-mGAM-p3,1.0,1.0
D3-e003Coalescence-mGAM-p5,0.621,0.605
F5-e003Coalescence-mBHI-p3_S24,0.556,1.0
F5-e003Coalescence-mGAM-p3_S72,1.0,1.0
F5-e003Coalescence-mGAM-p5_S64,1.0,1.0
F5-e003Coalescence-mGAM-p7_S160,1.0,1.0
H3-e003Coalescence-mBHI-p3_S46,1.0,1.0
H3-e003Coalescence-mGAM-p3_S94,1.0,1.0
H3-e003Coalescence-mGAM-p5_S86,0.833,0.809
H3-e003Coalescence-mGAM-p7_S182,1.0,1.0
