,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.885,0.154
A9-e003Coalescence-mBHI-p3,0.5,0.5
A9-e003Coalescence-mBHI-p5,1.0,0.0
A9-e003Coalescence-mBHI-p7,0.45499999999999996,0.545
A9-e003Coalescence-mGAM-p5,0.0,1.0
A9-e003Coalescence-mGAM-p7,0.0,1.0
B2-e003Coalescence-Inoculumn-mGAM,0.857,0.137
B8-e003Coalescence-mBHI-p5,1.0,0.0
B8-e003Coalescence-mGAM-p5,0.0,1.0
B8-e003Coalescence-mGAM-p7,0.0,1.0
E9-e003Coalescence-mBHI-p5_S6,0.0,1.0
E9-e003Coalescence-mBHI-p7_S102,0.0,1.0
E9-e003Coalescence-mGAM-p3_S154,0.75,0.235
E9-e003Coalescence-mGAM-p5_S54,0.0,1.0
F8-e003Coalescence-mGAM-p5_S65,0.0,1.0
F8-e003Coalescence-mGAM-p7_S161,0.0,1.0
