,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,1.0,0.556
A3-e003Coalescence-mBHI-p3,1.0,0.0
A3-e003Coalescence-mGAM-p7,1.0,0.064
B2-e003Coalescence-Inoculumn-mBHI,1.0,0.6
B2-e003Coalescence-mBHI-p3,1.0,0.0
B2-e003Coalescence-mBHI-p5,0.375,0.0
B2-e003Coalescence-mGAM-p3,1.0,0.765
E3-e003Coalescence-mBHI-p3_S10,1.0,0.0
E3-e003Coalescence-mBHI-p5_S2,0.667,0.0
E3-e003Coalescence-mGAM-p3_S58,1.0,0.12
E3-e003Coalescence-mGAM-p5_S50,1.0,0.224
E3-e003Coalescence-mGAM-p7_S146,1.0,0.239
F2-e003Coalescence-mBHI-p3_S21,1.0,0.0
F2-e003Coalescence-mBHI-p5_S13,0.739,0.0
F2-e003Coalescence-mGAM-p3_S69,1.0,0.071
F2-e003Coalescence-mGAM-p5_S61,1.0,0.08
F2-e003Coalescence-mGAM-p7_S157,1.0,0.0
