,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C11-e003Coalescence-mBHI-p3,2459,1529
D10-e003Coalescence-mBHI-p3,4056,2523
A4-e003Coalescence-mBHI-inoculumn-redo,4400,2739
B3-e003Coalescence-mBHI-p3,2301,1483
C5-e004Assembly-mBHI-p3,3070,1851
C4-e003Coalescence-mGAM-p7,2216,1416
B4-e003Assembly-mBHI-p5,4398,2736
D3-e003Coalescence-Inoculumn-mBHI,1675,1073
C4-e003Coalescence-mBHI-inoculumn-redo,4401,2739
E5-e004Assembly-mGAM-p5,4393,2738
F5-e004Assembly-epsilon-p5,4270,2632
E5-e004Assembly-mGAM-p7,3565,2198
C4-e003Coalescence-mGAM-p5,3403,2034
C5-e003Coalescence-mBHI-inoculumn-redo,4401,2739
C4-e003Coalescence-mGAM-p3,4159,2582
B4-e003Assembly-mBHI-p3,4346,2693
C10-e003Coalescence-mGAM-p3,4217,2629
C3-e003Coalescence-Inoculumn-mGAM,1293,827
D4-e003Coalescence-Inoculumn-mBHI,4401,2739
C10-e003Coalescence-mBHI-p7,4400,2739
C11-e003Coalescence-mBHI-p5,4329,2687
F5-e004Assembly-epsilon-p3,4401,2738
C2-e003Coalescence-Inoculumn-mGAM,1409,907
E5-e004Assembly-mGAM-p3,4377,2717
B4-e003Coalescence-Inoculumn-mGAM,2988,1984
C4-e003Coalescence-Inoculumn-mGAM,4401,2739
C2-e003Coalescence-mBHI-inoculumn-redo,4398,2739
C10-e003Coalescence-mGAM-p5,4130,2599
AG-Fecal,2156,1342
C10-e003Coalescence-mBHI-p5,4401,2738
C3-e003Coalescence-mBHI-inoculumn-redo,4399,2739
e004-inoculumn-fecal-AR,1387,889
B4-e003Coalescence-Inoculumn-mBHI,4401,2738
C5-e003Coalescence-Inoculumn-mGAM,3117,2038
C4-e003Coalescence-mBHI-p5,4401,2739
A4-e003Coalescence-Inoculumn-mGAM,3846,2447
C10-e003Coalescence-mGAM-p7,4395,2738
C10-e003Coalescence-mBHI-p3,4401,2739
G4-e003Coalescence-mBHI-p5_S27,4401,2736
G100-e003Coalescence-mGAM-p3_S179,4146,2621
G111-e003Coalescence-mBHI-p5_S32,2556,1560
H100-e003Coalescence-mBHI-p5_S43,2820,1703
G100-e003Coalescence-mBHI-p5_S31,4401,2735
G4-e003Coalescence-mBHI-p3_S35,4399,2739
E8-e003Coalescence-mGAM-p3_S153,4401,2738
G4-e003Coalescence-mGAM-p5_S75,4392,2730
G4-e003Coalescence-mGAM-p3_S83,4269,2637
G4-e003Coalescence-mGAM-p7_S171,4376,2714
G4-e003Coalescence-mBHI-p7_S123,4397,2735
G100-e003Coalescence-mGAM-p5_S79,3709,2322
E8-e003Coalescence-mBHI-p3_S105,1335,814
G100-e003Coalescence-mBHI-p7_S127,4400,2738
