,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,16587,10562
A4-e003Coalescence-mBHI-p1_S732,16601,10570
A4-e003Coalescence-mBHI-p3,16578,10554
A4-e003Coalescence-mBHI-p5,16593,10574
A4-e003Coalescence-mBHI-p7,16598,10572
A4-e003Coalescence-mGAM-p1_S736,16572,10528
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,16607,10577
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,16585,10549
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,16517,10527
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,16608,10572
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,16537,10505
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,16549,10504
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,16597,10562
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,16599,10556
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,16604,10570
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,16516,10479
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,16601,10570
C2-e003Coalescence-mBHI-inoculumn-redo,16585,10564
C2-e003Coalescence-mBHI-p1_S718,16550,10520
C2-e003Coalescence-mBHI-p3,16586,10558
C2-e003Coalescence-mBHI-p5,16593,10562
C2-e003Coalescence-mBHI-p7,16162,10237
C2-e003Coalescence-mGAM-p1_S722,16556,10530
C2-e003Coalescence-mGAM-p3,16529,10503
C2-e003Coalescence-mGAM-p5,16569,10547
C2-e003Coalescence-mGAM-p7,16593,10564
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,16536,10517
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,16449,10452
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,16394,10400
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,16603,10572
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,16531,10481
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,16350,10462
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,16365,10349
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,15651,9837
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,16289,10334
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,16569,10516
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,16598,10566
D_C1_C2_AA_AE_mBHI_mBHI_6_S313,10625,6628
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,16072,10316
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,16602,10562
E4-e003Coalescence-mBHI-p1_S796,16437,10428
E4-e003Coalescence-mBHI-p3_S11,16599,10569
E4-e003Coalescence-mBHI-p5_S3,16599,10577
E4-e003Coalescence-mBHI-p7_S99,16501,10537
E4-e003Coalescence-mGAM-p1_S800,15538,9731
E4-e003Coalescence-mGAM-p3_S59,16449,10450
E4-e003Coalescence-mGAM-p5_S51,15662,10021
E4-e003Coalescence-mGAM-p7_S147,15974,10282
G2-e003Coalescence-mBHI-p1_S782,16593,10562
G2-e003Coalescence-mBHI-p3_S33,16554,10548
G2-e003Coalescence-mBHI-p5_S25,16584,10566
G2-e003Coalescence-mBHI-p7_S121,16474,10473
G2-e003Coalescence-mGAM-p1_S786,16370,10404
G2-e003Coalescence-mGAM-p3_S81,16492,10456
G2-e003Coalescence-mGAM-p5_S73,16565,10514
