,sample,boot_med,boot_low,boot_high,actual_med,shifts_low,shifts_high,shifts_med
0,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,0.18160651920838186,0.17873831775700935,0.18529509843324043,0.18139534883720934,0.136,0.14400000000000002,0.14
1,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,0.17991169977924945,0.17770419426048567,0.18242259940279745,0.17971334068357223,0.08899999999999997,0.09599999999999997,0.09299999999999997
2,B_C12_C11_AF_AE_mGAM_mBHI_4_S132,0.1979752530933633,0.19525959367945828,0.20067264573991034,0.1979752530933633,0.1080000000000001,0.11499999999999999,0.11199999999999999
3,B_C8_G11_AF_AE_mGAM_mBHI_2_S128,0.3314220183486239,0.3279816513761468,0.33523391450466933,0.3314220183486239,0.123,0.134,0.129
4,B_D11_D10_AE_AF_mGAM_mBHI_4_S143,0.4090776572822866,0.4060106069534472,0.4127906976744186,0.4091441969519343,0.14200000000000002,0.15200000000000002,0.14700000000000002
5,B_D7_H10_AE_AF_mGAM_mBHI_2_S139,0.4349775784753363,0.43258426966292135,0.43687150837988825,0.4349775784753363,0.10499999999999998,0.11199999999999999,0.10799999999999998
6,B_G12_C11_AF_AE_mGAM_mGAM_4_S180,0.09599156118143458,0.09148264984227127,0.09604479929177344,0.09599156118143458,0.04500000000000004,0.05600000000000005,0.052000000000000046
7,B_G8_G11_AF_AE_mGAM_mGAM_2_S176,0.16698337656393944,0.1644880174291939,0.1693811074918567,0.16648531011969533,0.07699999999999996,0.08399999999999996,0.08099999999999996
8,B_H11_D10_AE_AF_mGAM_mGAM_4_S191,0.060950413223140494,0.05509355509355509,0.06385169927909377,0.060950413223140494,0.028999999999999915,0.040999999999999925,0.03200000000000003
9,B_H7_H10_AE_AF_mGAM_mGAM_2_S187,0.18351648351648356,0.18111964873765096,0.18551042810098792,0.18351648351648356,0.08599999999999997,0.09299999999999997,0.08999999999999997
10,C11-e003Coalescence-mBHI-p1_S774,0.3268571428571429,0.32257327188940094,0.33105042311468513,0.3268571428571429,0.1180000000000001,0.131,0.12400000000000011
11,C11-e003Coalescence-mBHI-p3,0.1794871794871795,0.1767337807606264,0.18292682926829268,0.17928730512249447,0.09699999999999998,0.10499999999999998,0.10099999999999998
12,C11-e003Coalescence-mBHI-p5,0.23999999999999996,0.23684210526315788,0.24287343215507412,0.2397260273972603,0.12,0.128,0.124
13,C11-e003Coalescence-mGAM-p1_S778,0.2857142857142857,0.26210153482880755,0.28901734104046245,0.2857142857142857,0.125,0.15400000000000003,0.135
14,C11-e003Coalescence-mGAM-p3,0.16972972972972972,0.1673866090712743,0.1722282023681378,0.16936353829557715,0.06899999999999995,0.07599999999999996,0.07299999999999995
15,C11-e003Coalescence-mGAM-p5,0.09865005192107996,0.09667359667359668,0.10098394614189538,0.09844559585492228,0.03200000000000003,0.038000000000000034,0.03500000000000003
16,C11-e003Coalescence-mGAM-p7,0.11782786885245901,0.11466942148760331,0.11921891058581707,0.11749615187275526,0.02300000000000002,0.030000000000000027,0.026000000000000023
17,C5-e003Coalescence-Inoculumn-mGAM,0.6308203991130821,0.6286031042128604,0.6332599118942731,0.6308203991130821,0.09299999999999997,0.10200000000000009,0.09800000000000009
18,C_C8_C11_AF_AE_mGAM_mBHI_6_S224,0.21229698375870068,0.20954598370197905,0.21502890173410405,0.21229698375870068,0.135,0.1419999999999999,0.1384999999999999
19,C_D7_D10_AE_AF_mGAM_mBHI_6_S235,0.4847775175644028,0.48174322732626623,0.4895354907462365,0.4847775175644028,0.139,0.151025,0.14600000000000002
20,C_G8_C11_AF_AE_mGAM_mGAM_6_S272,0.0937178166838311,0.09352517985611508,0.09793814432989688,0.0937178166838311,0.02300000000000002,0.03400000000000003,0.029000000000000026
21,C_H7_D10_AE_AF_mGAM_mGAM_6_S283,0.08553971486761712,0.08460646579456954,0.08655804480651727,0.08553971486761712,0.017000000000000015,0.020000000000000018,0.018000000000000016
22,Coalescence-A10-C11-AE-AF-mGAM-mBHI-7_S629,0.25955967555040554,0.25726842326122856,0.26187717265353416,0.25986078886310904,0.135,0.14100000000000001,0.138
23,D10-e003Coalescence-mBHI-p3,0.345707656612529,0.3422897196261683,0.3491879350348028,0.3457508731082654,0.13600000000000012,0.1459999999999999,0.14100000000000001
24,D10-e003Coalescence-mBHI-p5,0.48633257403189073,0.48346636259977194,0.48868778280542985,0.48577929465301484,0.11599999999999999,0.125,0.1200000000000001
25,D10-e003Coalescence-mBHI-p7,0.5213004484304933,0.5182454855421488,0.524022346368715,0.5213483146067416,0.10400000000000009,0.11599999999999988,0.10999999999999999
26,D10-e003Coalescence-mGAM-p1_S771,0.28370457209847594,0.2805164319248826,0.2873871895161729,0.2830409356725146,0.14,0.14900000000000002,0.14500000000000002
27,D10-e003Coalescence-mGAM-p3,0.12770562770562768,0.12391304347826086,0.1314655172413793,0.12770562770562768,0.07100000000000006,0.08001250000000006,0.07599999999999996
28,D10-e003Coalescence-mGAM-p5,0.11440245148110317,0.11258955987717503,0.11609257148551605,0.11440245148110317,0.019000000000000017,0.02400000000000002,0.02100000000000002
29,D10-e003Coalescence-mGAM-p7,0.10714285714285712,0.10531697341513292,0.10885045778229907,0.10703363914373089,0.017000000000000015,0.021024999999999995,0.019000000000000017
30,D4-e003Coalescence-Inoculumn-mGAM,0.650615901455767,0.6461366181410974,0.65432508920881,0.6513966480446927,0.09600000000000009,0.11299999999999999,0.10499999999999998
31,D_C12_G11_AF_AE_mGAM_mBHI_4_S324,0.4039351851851852,0.40092699884125144,0.40736478711162255,0.4041570438799076,0.129,0.138,0.134
32,D_C8_C11_AF_AE_mGAM_mBHI_6_S320,0.47215777262180975,0.46915017462165315,0.47525891829689304,0.4722222222222222,0.131,0.14100000000000001,0.137
33,D_D11_H10_AE_AF_mGAM_mBHI_4_S335,0.4479638009049774,0.445578231292517,0.4509582863585119,0.4479638009049774,0.11099999999999999,0.119,0.11599999999999999
34,D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,0.33371559633027525,0.3294930875576037,0.3367697594501718,0.33333333333333337,0.125,0.135,0.129
35,D_D7_D10_AE_AF_mGAM_mBHI_6_S331,0.5420023014959724,0.5396031992813709,0.5447273410313191,0.5420023014959724,0.125,0.135,0.13
36,D_G12_G11_AF_AE_mGAM_mGAM_4_S372,0.12045690550363447,0.11929460580912864,0.12215320910973085,0.1203319502074689,0.03400000000000003,0.038000000000000034,0.03600000000000003
37,D_G8_C11_AF_AE_mGAM_mGAM_6_S368,0.07106598984771574,0.0701219512195122,0.07208121827411162,0.07106598984771574,0.014000000000000012,0.016999999999999904,0.015000000000000013
38,D_H11_H10_AE_AF_mGAM_mGAM_4_S383,0.3001049317943336,0.29641350210970463,0.30316588098275193,0.3005291005291005,0.04699999999999993,0.05900000000000005,0.05400000000000005
39,G11-e003Coalescence-mBHI-p1_S838,0.2954808806488992,0.2913752913752914,0.29873125720876587,0.2951388888888889,0.131,0.14051250000000007,0.135
40,G11-e003Coalescence-mGAM-p1_S842,0.278879813302217,0.27549526620986264,0.2835648148148148,0.27906976744186046,0.133,0.14500000000000002,0.14
