,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
e004-inoculumn-fecal-BD,0,4
A4-e003Coalescence-mBHI-inoculumn-redo,0,3
C4-e003Coalescence-mGAM-p7,0,4
e004-inoculumn-fecal-AK,0,4
B4-e003Assembly-mBHI-p5,0,0
B10-e003Assembly-mGAM-p5,0,1
C4-e003Coalescence-mBHI-inoculumn-redo,0,4
E5-e004Assembly-mGAM-p5,0,2
BB-Fecal,0,3
E5-e004Assembly-mGAM-p7,0,2
C4-e003Coalescence-mGAM-p5,0,4
C5-e003Coalescence-mBHI-inoculumn-redo,0,4
BF-Fecal,0,1
AM-Fecal,0,4
e003-inoculumn-fecal-inoculumn,0,0
C4-e003Coalescence-mGAM-p3,0,4
C10-e003GlycerolRevival-mGAM-p2,0,4
BG-Fecal,0,4
C10-e003Coalescence-mGAM-p3,0,3
C3-e003Coalescence-Inoculumn-mGAM,0,1
D4-e003Coalescence-Inoculumn-mBHI,0,4
D5-e004Assembly-mGAM-p3,0,3
C2-e003Coalescence-Inoculumn-mGAM,0,4
B4-e003Coalescence-Inoculumn-mGAM,0,4
C4-e003Coalescence-Inoculumn-mGAM,0,4
B10-e003Assembly-mGAM-p3,0,1
B10-e003GlycerolRevival-mGAM-p2,0,3
C2-e003Coalescence-mBHI-inoculumn-redo,0,4
C10-e003Coalescence-mGAM-p5,0,4
C3-e003Coalescence-mBHI-inoculumn-redo,0,4
e004-inoculumn-fecal-AR,0,1
BK-Fecal,0,4
B4-e003Coalescence-Inoculumn-mBHI,0,4
e003-inoculumn-fecal-AE,0,4
C5-e003Coalescence-Inoculumn-mGAM,0,4
BC-Fecal,0,4
e004-inoculumn-fecal-BE,0,4
BA-Fecal,0,4
e003-inoculumn-fecal-AF,0,3
A4-e003Coalescence-Inoculumn-mGAM,0,4
C10-e003Coalescence-mGAM-p7,0,4
G100-e003Coalescence-mGAM-p3_S179,0,1
G100-e003Coalescence-mGAM-p7_S175,0,3
G4-e003Coalescence-mGAM-p5_S75,0,4
G4-e003Coalescence-mGAM-p3_S83,0,4
G4-e003Coalescence-mGAM-p7_S171,0,4
G3-e003Coalescence-mGAM-p5_S74,0,3
G100-e003Coalescence-mGAM-p5_S79,0,3
