,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
e004-inoculumn-fecal-BD,,0.25
A4-e003Coalescence-mBHI-inoculumn-redo,,0.75
C4-e003Coalescence-mGAM-p7,,0.7595000000000001
e004-inoculumn-fecal-AK,,0.34375
B4-e003Assembly-mBHI-p5,,0.0
B10-e003Assembly-mGAM-p5,,0.25
C4-e003Coalescence-mBHI-inoculumn-redo,,1.0
E5-e004Assembly-mGAM-p5,,0.25
BB-Fecal,,0.0
E5-e004Assembly-mGAM-p7,,0.25
C4-e003Coalescence-mGAM-p5,,0.80775
C5-e003Coalescence-mBHI-inoculumn-redo,,1.0
BF-Fecal,,0.2415
AM-Fecal,,0.5
e003-inoculumn-fecal-inoculumn,,0.0
C4-e003Coalescence-mGAM-p3,,0.75675
C10-e003GlycerolRevival-mGAM-p2,,0.84175
BG-Fecal,,0.25
C10-e003Coalescence-mGAM-p3,,0.75
C3-e003Coalescence-Inoculumn-mGAM,,0.25
D4-e003Coalescence-Inoculumn-mBHI,,0.75425
D5-e004Assembly-mGAM-p3,,0.25
C2-e003Coalescence-Inoculumn-mGAM,,0.5
B4-e003Coalescence-Inoculumn-mGAM,,0.6515
C4-e003Coalescence-Inoculumn-mGAM,,0.577
B10-e003Assembly-mGAM-p3,,0.25
B10-e003GlycerolRevival-mGAM-p2,,0.75
C2-e003Coalescence-mBHI-inoculumn-redo,,0.7995
C10-e003Coalescence-mGAM-p5,,0.76175
C3-e003Coalescence-mBHI-inoculumn-redo,,0.6447499999999999
e004-inoculumn-fecal-AR,,0.0
BK-Fecal,,0.28125
B4-e003Coalescence-Inoculumn-mBHI,,0.91475
e003-inoculumn-fecal-AE,,0.7125
C5-e003Coalescence-Inoculumn-mGAM,,0.7205
BC-Fecal,,0.44825000000000004
e004-inoculumn-fecal-BE,,0.25
BA-Fecal,,0.3
e003-inoculumn-fecal-AF,,0.25
A4-e003Coalescence-Inoculumn-mGAM,,0.8089999999999999
C10-e003Coalescence-mGAM-p7,,0.68875
G100-e003Coalescence-mGAM-p3_S179,,0.25
G100-e003Coalescence-mGAM-p7_S175,,0.75
G4-e003Coalescence-mGAM-p5_S75,,0.7475
G4-e003Coalescence-mGAM-p3_S83,,0.722
G4-e003Coalescence-mGAM-p7_S171,,0.7875
G3-e003Coalescence-mGAM-p5_S74,,0.25
G100-e003Coalescence-mGAM-p5_S79,,0.5925
