,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,11424,11572
C4-e003Coalescence-Inoculumn-mGAM,11424,11572
B10-e003Coalescence-mBHI-p3,11293,11474
B10-e003Coalescence-mBHI-p5,10449,10759
B10-e003Coalescence-mGAM-p3,11424,11572
B10-e003Coalescence-mGAM-p7,11312,11502
B4-e003Coalescence-Inoculumn-mGAM,11423,11572
C3-e003Coalescence-Inoculumn-mGAM,11424,11572
C9-e003Coalescence-mBHI-p3,11347,11514
C9-e003Coalescence-mBHI-p5,10738,11055
C9-e003Coalescence-mBHI-p7,7403,7945
C9-e003Coalescence-mGAM-p3,11423,11572
C9-e003Coalescence-mGAM-p5,11424,11572
C9-e003Coalescence-mGAM-p7,11424,11572
F100-e003Coalescence-mBHI-p7_S115,10562,10912
F100-e003Coalescence-mGAM-p3_S167,11005,11371
F100-e003Coalescence-mGAM-p5_S67,11015,11339
F100-e003Coalescence-mGAM-p7_S163,11413,11567
G9-e003Coalescence-mBHI-p3_S130,9206,9728
G9-e003Coalescence-mBHI-p5_S30,9656,10054
G9-e003Coalescence-mGAM-p3_S178,11423,11572
G9-e003Coalescence-mGAM-p5_S78,11391,11560
G9-e003Coalescence-mGAM-p7_S174,11403,11563
