,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Coalescence-Inoculumn-mBHI,7871,8775
D5-e003Coalescence-Inoculumn-mBHI,7871,8775
B5-e003Coalescence-Inoculumn-mBHI,7615,8437
B5-e003Coalescence-mBHI-p3,6838,7640
B5-e003Coalescence-mBHI-p5,4702,5402
B5-e003Coalescence-mBHI-p7,7109,7946
B5-e003Coalescence-mGAM-p3,7840,8726
B5-e003Coalescence-mGAM-p5,7744,8635
B5-e003Coalescence-mGAM-p7,7814,8671
D3-e003Coalescence-Inoculumn-mBHI,7865,8761
D3-e003Coalescence-mBHI-p5,4072,4644
D3-e003Coalescence-mBHI-p7,7815,8715
D3-e003Coalescence-mGAM-p3,7857,8759
D3-e003Coalescence-mGAM-p5,7871,8773
F5-e003Coalescence-mBHI-p3_S24,7101,7926
F5-e003Coalescence-mBHI-p5_S16,3855,4323
F5-e003Coalescence-mBHI-p7_S112,6846,7540
F5-e003Coalescence-mGAM-p3_S72,7412,8250
F5-e003Coalescence-mGAM-p5_S64,7862,8769
F5-e003Coalescence-mGAM-p7_S160,7865,8768
H3-e003Coalescence-mBHI-p3_S46,7586,8473
H3-e003Coalescence-mBHI-p5_S38,5964,6734
H3-e003Coalescence-mBHI-p7_S134,6183,6700
H3-e003Coalescence-mGAM-p3_S94,7828,8709
H3-e003Coalescence-mGAM-p5_S86,7835,8718
H3-e003Coalescence-mGAM-p7_S182,6537,7382
