,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,12018,27197
C4-e003Coalescence-Inoculumn-mGAM,12018,27197
A10-e003Coalescence-mBHI-p5,8375,18528
A10-e003Coalescence-mBHI-p7,10149,22192
A10-e003Coalescence-mGAM-p3,12018,27197
A10-e003Coalescence-mGAM-p7,12016,27188
A4-e003Coalescence-Inoculumn-mGAM,12018,27197
C2-e003Coalescence-Inoculumn-mGAM,12017,27194
C8-e003Coalescence-mBHI-p5,11961,26910
C8-e003Coalescence-mBHI-p7,9557,21285
C8-e003Coalescence-mGAM-p7,12018,27196
E100-e003Coalescence-mBHI-p5_S7,11591,25653
E100-e003Coalescence-mBHI-p7_S103,11798,26253
E100-e003Coalescence-mGAM-p3_S155,12018,27182
E100-e003Coalescence-mGAM-p5_S55,12011,27133
E100-e003Coalescence-mGAM-p7_S151,12001,27063
G8-e003Coalescence-mBHI-p3_S129,11875,26505
G8-e003Coalescence-mBHI-p5_S29,11713,26049
G8-e003Coalescence-mBHI-p7_S125,10494,22724
G8-e003Coalescence-mGAM-p3_S177,12016,27183
G8-e003Coalescence-mGAM-p5_S77,12014,27149
G8-e003Coalescence-mGAM-p7_S173,12017,27186
