,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C4-e003Coalescence-mBHI-inoculumn-redo,7615,7300
D5-e003Coalescence-Inoculumn-mBHI,7615,7300
C5-e003Coalescence-mBHI-inoculumn-redo,7612,7294
C5-e003Coalescence-mBHI-p5,7384,7099
C5-e003Coalescence-mBHI-p7,7596,7287
C5-e003Coalescence-mGAM-p3,7615,7300
C5-e003Coalescence-mGAM-p7,7614,7297
D4-e003Coalescence-Inoculumn-mBHI,7615,7300
D4-e003Coalescence-mBHI-p3,3129,2980
D4-e003Coalescence-mBHI-p5,2216,2180
D4-e003Coalescence-mBHI-p7,6493,6166
D4-e003Coalescence-mGAM-p3,7614,7300
D4-e003Coalescence-mGAM-p5,7615,7299
D4-e003Coalescence-mGAM-p7,7615,7299
G5-e003Coalescence-mBHI-p3_S36,1974,1948
G5-e003Coalescence-mBHI-p5_S28,7508,7199
G5-e003Coalescence-mBHI-p7_S124,7463,7144
G5-e003Coalescence-mGAM-p3_S84,7578,7296
G5-e003Coalescence-mGAM-p5_S76,7607,7299
G5-e003Coalescence-mGAM-p7_S172,7611,7295
H4-e003Coalescence-mBHI-p3_S47,7170,6776
H4-e003Coalescence-mBHI-p5_S39,6297,5796
H4-e003Coalescence-mBHI-p7_S135,6106,5903
H4-e003Coalescence-mGAM-p3_S95,7394,7136
H4-e003Coalescence-mGAM-p5_S87,7356,6979
H4-e003Coalescence-mGAM-p7_S183,7538,7213
