,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C4-e003Coalescence-Inoculumn-mGAM,8651,8274
D5-e003Coalescence-Inoculumn-mGAM,8651,8274
C11-e003Coalescence-mBHI-p3,7761,7644
C11-e003Coalescence-mBHI-p5,8644,8270
C11-e003Coalescence-mGAM-p3,8633,8273
C11-e003Coalescence-mGAM-p5,8642,8270
C11-e003Coalescence-mGAM-p7,8648,8271
C5-e003Coalescence-Inoculumn-mGAM,8651,8272
D10-e003Coalescence-mBHI-p3,8487,8176
D10-e003Coalescence-mBHI-p5,8056,7666
D10-e003Coalescence-mBHI-p7,8604,8224
D10-e003Coalescence-mGAM-p3,8641,8270
D10-e003Coalescence-mGAM-p5,8636,8271
D10-e003Coalescence-mGAM-p7,8637,8270
D4-e003Coalescence-Inoculumn-mGAM,8451,8119
G111-e003Coalescence-mBHI-p5_S32,8621,8205
G111-e003Coalescence-mBHI-p7_S128,8353,7888
G111-e003Coalescence-mGAM-p3_S180,8547,8256
G111-e003Coalescence-mGAM-p5_S80,8499,8259
G111-e003Coalescence-mGAM-p7_S176,7085,7203
H100-e003Coalescence-mBHI-p5_S43,8590,8204
H100-e003Coalescence-mBHI-p7_S139,8606,8264
H100-e003Coalescence-mGAM-p5_S91,6366,5734
H100-e003Coalescence-mGAM-p7_S187,7844,7467
