,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.9991302667182064
C4-e003Coalescence-mBHI-inoculumn-redo,0.9996958637469586,0.0
A4-e003Coalescence-mBHI-inoculumn-redo,0.0005068937550689375,9.663703131039814e-05
A4-e003Coalescence-mBHI-p7,0.7993714517437145,0.0003382296095863935
A4-e003Coalescence-mGAM-p5,0.8024128142741281,0.13234441437959027
C2-e003Coalescence-mBHI-inoculumn-redo,0.0013179237631792376,0.00676459219172787
C2-e003Coalescence-mBHI-p3,0.5800892133008921,0.0009663703131039815
C2-e003Coalescence-mGAM-p3,0.9773925385239254,0.0
C2-e003Coalescence-mGAM-p5,0.9842862935928629,0.0
C2-e003Coalescence-mGAM-p7,0.9964517437145174,0.0
E4-e003Coalescence-mBHI-p3_S11,0.24371451743714517,0.003527251642829532
E4-e003Coalescence-mBHI-p7_S99,0.0018248175182481751,0.30672593737920373
E4-e003Coalescence-mGAM-p3_S59,0.9864152473641524,0.0
E4-e003Coalescence-mGAM-p5_S51,0.9977696674776967,0.0
E4-e003Coalescence-mGAM-p7_S147,0.9960462287104623,0.0
G2-e003Coalescence-mBHI-p3_S33,0.36009732360097324,0.004976807112485504
G2-e003Coalescence-mGAM-p3_S81,0.990977291159773,0.0
G2-e003Coalescence-mGAM-p5_S73,0.9978710462287105,0.0
