,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,10322,10400
D5-e003Coalescence-Inoculumn-mGAM,10322,10400
B11-e003Coalescence-mBHI-p3,9616,9702
B11-e003Coalescence-mGAM-p3,10321,10400
B11-e003Coalescence-mGAM-p7,10262,10348
B5-e003Coalescence-Inoculumn-mGAM,10321,10400
D3-e003Coalescence-Inoculumn-mGAM,10322,10400
D9-e003Coalescence-mBHI-p5,9051,9187
D9-e003Coalescence-mBHI-p7,8315,8436
D9-e003Coalescence-mGAM-p3,10314,10394
D9-e003Coalescence-mGAM-p5,10319,10400
D9-e003Coalescence-mGAM-p7,10310,10396
F111-e003Coalescence-mBHI-p3_S120,5691,5773
F111-e003Coalescence-mBHI-p5_S20,2815,2889
F111-e003Coalescence-mBHI-p7_S116,8245,8180
F111-e003Coalescence-mGAM-p3_S168,10143,10282
F111-e003Coalescence-mGAM-p5_S68,10076,10221
F111-e003Coalescence-mGAM-p7_S164,9753,9904
H9-e003Coalescence-mBHI-p5_S42,9659,9745
H9-e003Coalescence-mBHI-p7_S138,3728,3851
H9-e003Coalescence-mGAM-p3_S190,10092,10240
H9-e003Coalescence-mGAM-p5_S90,10266,10369
H9-e003Coalescence-mGAM-p7_S186,10254,10354
