,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,84401.0,84088.0
A9-e003Coalescence-mBHI-p3,51200.0,50965.0
A9-e003Coalescence-mBHI-p5,54829.0,54293.0
A9-e003Coalescence-mBHI-p7,112912.0,111954.0
A9-e003Coalescence-mGAM-p5,33958.0,35789.0
A9-e003Coalescence-mGAM-p7,24909.0,24868.0
B2-e003Coalescence-Inoculumn-mGAM,179414.0,179996.0
B8-e003Coalescence-mBHI-p5,83719.0,83766.0
B8-e003Coalescence-mBHI-p7,76787.0,76051.0
B8-e003Coalescence-mGAM-p5,27780.0,28360.0
B8-e003Coalescence-mGAM-p7,52780.0,52701.0
E9-e003Coalescence-mBHI-p5_S6,38692.0,39552.0
E9-e003Coalescence-mBHI-p7_S102,22144.0,23020.0
E9-e003Coalescence-mGAM-p3_S154,48669.0,49898.0
E9-e003Coalescence-mGAM-p5_S54,13307.0,13939.0
F8-e003Coalescence-mBHI-p3_S117,35087.0,34975.0
F8-e003Coalescence-mBHI-p5_S17,52278.0,52565.0
F8-e003Coalescence-mBHI-p7_S113,47458.0,50264.0
F8-e003Coalescence-mGAM-p5_S65,20098.0,20392.0
F8-e003Coalescence-mGAM-p7_S161,23854.0,25258.0
