,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
A5-e003Coalescence-mBHI-inoculumn-redo,0.5,0.5
B11-e003Assembly-mGAM-p3,0.75,0.5
D2-e003Assembly-mBHI-p5,0.0,0.5
B9-e003Coalescence-mGAM-p7,0.0,0.0
B11-e003Coalescence-mGAM-p7,0.0,0.5
C3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B5-e003Coalescence-mBHI-p7,0.0,0.0
A3-e003Coalescence-mGAM-p7,0.0,0.0
D4-e003Coalescence-Inoculumn-mBHI,0.75,0.0
A4-e003Coalescence-mBHI-p5,1.0,1.0
B3-e003Coalescence-mBHI-p7,0.0,0.0
D10-e003Coalescence-mGAM-p7,0.75,0.0
C12-e003Coalescence-mGAM-p3,0.75,0.5
C11-e003Coalescence-mGAM-p3,0.75,0.0
D5-e004Assembly-mGAM-p3,0.75,1.0
A10-e003Coalescence-mBHI-p7,0.25,1.0
C10-e003Coalescence-mBHI-p7,1.0,1.0
B9-e003Coalescence-mBHI-p5,0.0,0.0
F4-e004Assembly-epsilon-p3,0.75,0.5
B10-e003Coalescence-mBHI-p3,0.5,0.0
C11-e003Coalescence-mBHI-p5,0.75,0.5
A2-e003Coalescence-mGAM-p7,0.0,0.5
C5-e003Assembly-mBHI-p3,0.75,0.0
E3-e004Assembly-mGAM-p5,0.0,0.5
C3-e003GlycerolRevival-mBHI-p2,0.0,0.0
D10-e003Coalescence-mGAM-p3,0.75,0.0
B10-e003Coalescence-mGAM-p7,0.75,0.5
C4-e004Assembly-mBHI-p3,0.0,0.0
A9-e003Coalescence-mBHI-p7,0.0,0.0
C2-e003Coalescence-Inoculumn-mGAM,0.0,0.5
B3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
D11-e003Coalescence-mGAM-p7,0.75,0.5
D5-e003Coalescence-mGAM-p3,0.75,0.5
E4-e004Assembly-mGAM-p5,0.75,0.5
D2-e003Coalescence-Inoculumn-mBHI,0.75,0.5
B4-e003Coalescence-Inoculumn-mGAM,0.0,0.0
A10-e003Coalescence-mGAM-p7,0.0,1.0
B2-e003Assembly-mBHI-p3,0.0,0.5
F4-e004Assembly-epsilon-p7,0.75,0.5
D9-e003Coalescence-mBHI-p5,0.0,0.0
C4-e003Coalescence-Inoculumn-mGAM,1.0,1.0
D4-e003Coalescence-mGAM-p3,0.75,0.5
B9-e003Coalescence-mBHI-p7,0.0,0.0
A2-e003Coalescence-mGAM-p5,0.0,0.5
D11-e003Assembly-mGAM-p5,0.75,0.5
C3-e003Coalescence-mGAM-p7,0.0,0.0
B11-e003GlycerolRevival-mGAM-p2,0.75,0.5
B3-e003Coalescence-mGAM-p5,0.0,0.0
D9-e003Coalescence-mBHI-p7,0.0,0.0
B10-e003Assembly-mGAM-p3,1.0,1.0
D3-e004Assembly-mGAM-p5,0.0,0.5
C5-e003Coalescence-mBHI-p7,0.75,0.0
D12-e003Coalescence-mBHI-p3,0.75,0.5
D4-e004Assembly-mGAM-p7,0.75,0.5
C11-e003Coalescence-mGAM-p7,0.75,0.0
C11-e003Assembly-mGAM-p3,0.75,0.5
D10-e003Coalescence-mBHI-p7,0.75,0.0
C9-e003Coalescence-mBHI-p7,0.25,0.5
A2-e003Coalescence-mBHI-p3,0.0,1.0
B8-e003Coalescence-mGAM-p5,0.0,0.0
C3-e004Assembly-mBHI-p3,0.0,0.5
C11-e003Assembly-mGAM-p5,0.75,0.5
B10-e003GlycerolRevival-mGAM-p2,0.75,1.0
B3-e003Coalescence-mBHI-p5,0.0,0.0
C2-e003Coalescence-mBHI-inoculumn-redo,0.25,1.0
A8-e003Coalescence-mGAM-p7,0.0,1.0
C11-e003GlycerolRevival-mGAM-p2,0.75,0.5
B2-e003Coalescence-Inoculumn-mBHI,0.0,0.0
A11-e003Coalescence-mBHI-p5,0.0,0.0
C10-e003Coalescence-mGAM-p5,1.0,1.0
C4-e003Assembly-mBHI-p5,1.0,1.0
C9-e003Assembly-mGAM-p5,0.0,0.0
A5-e003Coalescence-Inoculumn-mGAM,0.0,0.0
A3-e003Coalescence-mBHI-p3,0.0,0.0
AG-Fecal,0.75,1.0
D4-e003Coalescence-Inoculumn-mGAM,0.75,0.0
A2-e003Coalescence-mBHI-p5,0.0,0.0
B5-e004Assembly-mBHI-p5,0.5,0.5
C5-e003Assembly-mBHI-p5,0.75,0.0
C10-e003Coalescence-mBHI-p5,1.0,1.0
B9-e003Coalescence-mBHI-p3,0.0,0.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
e004-inoculumn-fecal-AR,0.75,0.5
B5-e003Coalescence-mGAM-p3,0.0,0.0
BK-Fecal,0.0,0.0
C3-e003Assembly-mBHI-p5,0.0,0.0
A5-e003Coalescence-mBHI-p3,0.25,0.5
C4-e004Assembly-mBHI-p7,0.75,0.5
C9-e003GlycerolRevival-mGAM-p2,0.0,0.0
F3-e004Assembly-epsilon-p5,0.5,0.5
C9-e003Coalescence-mGAM-p5,0.0,0.0
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
C2-e003Coalescence-mGAM-p5,1.0,1.0
B8-e003GlycerolRevival-mGAM-p2,0.0,0.5
C8-e003Coalescence-mBHI-p5,0.0,1.0
B8-e003Coalescence-mGAM-p7,0.0,0.0
B4-e003Coalescence-Inoculumn-mBHI,0.0,0.0
D2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B8-e003Coalescence-mBHI-p7,0.0,0.0
B3-e004Assembly-mBHI-p3,0.0,0.5
e003-inoculumn-fecal-AE,0.75,0.5
D3-e003Coalescence-Inoculumn-mGAM,0.0,0.0
B11-e003Coalescence-mBHI-p3,0.0,0.0
C5-e003Coalescence-Inoculumn-mGAM,0.75,0.0
C4-e003Coalescence-mBHI-p5,1.0,1.0
G3-e004Assembly-epsilon-p5,0.0,0.5
BC-Fecal,0.75,1.0
e004-inoculumn-fecal-BE,0.75,1.0
BA-Fecal,0.0,0.5
e003-inoculumn-fecal-AF,0.75,0.5
A11-e003Coalescence-mBHI-p3,0.0,0.0
A4-e003Coalescence-Inoculumn-mGAM,0.0,0.5
B4-e003Coalescence-mBHI-p3,0.0,1.0
A5-e003Coalescence-Inoculumn-mBHI,0.75,0.5
A9-e003Coalescence-mGAM-p5,0.0,0.0
C10-e003Coalescence-mGAM-p7,1.0,1.0
F3-e004Assembly-epsilon-p7,0.0,0.5
A11-e003Coalescence-mGAM-p3,0.0,0.0
C10-e003Coalescence-mBHI-p3,1.0,1.0
D2-e003Coalescence-mBHI-p3,0.75,0.5
C5-e003GlycerolRevival-mBHI-p2,0.75,0.5
H5-e003Coalescence-mBHI-p5_S40,0.75,0.5
E2-e003Coalescence-mGAM-p7_S145,0.0,1.0
G5-e003Coalescence-mBHI-p7_S124,0.75,0.0
H111-e003Coalescence-mGAM-p7_S188,0.75,0.5
H4-e003Coalescence-mGAM-p7_S183,0.75,0.5
F5-e003Coalescence-mGAM-p5_S64,0.25,0.0
F5-e003Coalescence-mGAM-p7_S160,0.0,0.0
F8-e003Coalescence-mBHI-p3_S117,0.0,0.0
H3-e003Coalescence-mBHI-p3_S46,0.0,0.0
H2-e003Coalescence-mBHI-p7_S133,0.0,0.0
E5-e003Coalescence-mBHI-p3_S12,0.75,0.0
F100-e003Coalescence-mGAM-p7_S163,0.0,0.0
F9-e003Coalescence-mBHI-p5_S18,0.0,0.0
H3-e003Coalescence-mBHI-p7_S134,0.0,0.0
E3-e003Coalescence-mGAM-p3_S58,0.0,0.0
G4-e003Coalescence-mBHI-p5_S27,1.0,1.0
E8-e003Coalescence-mBHI-p5_S5,0.0,1.0
G2-e003Coalescence-mBHI-p3_S33,0.25,1.0
E9-e003Coalescence-mBHI-p5_S6,0.0,0.0
H111-e003Coalescence-mBHI-p3_S144,0.75,0.0
G111-e003Coalescence-mGAM-p5_S80,0.75,0.0
G100-e003Coalescence-mGAM-p3_S179,1.0,1.0
F111-e003Coalescence-mGAM-p5_S68,0.75,0.5
G111-e003Coalescence-mBHI-p5_S32,0.75,1.0
G5-e003Coalescence-mBHI-p3_S36,0.75,0.0
H2-e003Coalescence-mGAM-p7_S181,0.75,0.5
H9-e003Coalescence-mGAM-p3_S190,0.75,0.5
E3-e003Coalescence-mBHI-p3_S10,0.0,0.0
H2-e003Coalescence-mGAM-p5_S85,0.75,0.5
G8-e003Coalescence-mGAM-p3_S177,0.0,1.0
F2-e003Coalescence-mGAM-p7_S157,0.0,0.0
H3-e003Coalescence-mGAM-p3_S94,0.0,0.0
H4-e003Coalescence-mGAM-p3_S95,0.75,0.5
E5-e003Coalescence-mBHI-p7_S100,0.75,0.0
F3-e003Coalescence-mGAM-p3_S70,0.0,0.0
E100-e003Coalescence-mBHI-p7_S103,0.0,1.0
F9-e003Coalescence-mGAM-p5_S66,0.0,0.0
G111-e003Coalescence-mGAM-p7_S176,0.75,0.5
H100-e003Coalescence-mGAM-p7_S187,0.75,0.0
E100-e003Coalescence-mGAM-p3_S155,0.0,1.0
E3-e003Coalescence-mGAM-p5_S50,0.0,0.0
F5-e003Coalescence-mGAM-p3_S72,0.75,0.5
E9-e003Coalescence-mBHI-p7_S102,0.0,0.0
E5-e003Coalescence-mBHI-p5_S4,0.75,0.0
F111-e003Coalescence-mGAM-p7_S164,0.75,0.5
E111-e003Coalescence-mBHI-p5_S8,0.0,0.0
H100-e003Coalescence-mBHI-p5_S43,0.75,0.0
F2-e003Coalescence-mGAM-p5_S61,0.0,0.0
F5-e003Coalescence-mBHI-p5_S16,0.0,0.0
F8-e003Coalescence-mGAM-p5_S65,0.0,0.0
H8-e003Coalescence-mBHI-p7_S137,0.0,1.0
G9-e003Coalescence-mGAM-p5_S78,0.0,0.0
E2-e003Coalescence-mBHI-p5_S1,0.0,0.5
E2-e003Coalescence-mBHI-p3_S9,0.75,0.0
G8-e003Coalescence-mGAM-p5_S77,0.0,1.0
G3-e003Coalescence-mBHI-p3_S34,0.0,0.5
G100-e003Coalescence-mBHI-p5_S31,1.0,1.0
F9-e003Coalescence-mBHI-p3_S118,0.0,0.0
E111-e003Coalescence-mBHI-p3_S108,0.0,0.5
F8-e003Coalescence-mGAM-p3_S165,0.0,0.5
G3-e003Coalescence-mBHI-p5_S26,0.0,0.0
G5-e003Coalescence-mBHI-p5_S28,0.75,0.0
H111-e003Coalescence-mGAM-p5_S92,0.75,0.5
