,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
D5-e004Assembly-mGAM-p7,883,390
C2-e003Assembly-mBHI-p5,493,229
D9-e003Coalescence-mBHI-p3,682,299
D5-e003Assembly-mBHI-p5,826,358
A5-e003Coalescence-mBHI-p7,863,378
BG-Fecal,872,384
D2-e003Coalescence-mGAM-p5,880,389
B9-e003Assembly-mGAM-p5,595,234
D3-e003Coalescence-mGAM-p3,854,365
D9-e003Coalescence-mGAM-p3,884,391
D3-e003Coalescence-mGAM-p5,884,388
C10-e003Coalescence-mGAM-p3,880,391
A5-e003Coalescence-mBHI-inoculumn-redo,856,382
B11-e003Assembly-mGAM-p3,873,385
D2-e003Assembly-mBHI-p5,709,308
B9-e003Coalescence-mGAM-p7,865,385
B11-e003Coalescence-mGAM-p7,885,392
C3-e003Coalescence-Inoculumn-mGAM,881,393
B5-e003Coalescence-mBHI-p7,877,392
A3-e003Coalescence-mGAM-p7,859,385
D4-e003Coalescence-Inoculumn-mBHI,891,396
A4-e003Coalescence-mBHI-p5,812,362
B3-e003Coalescence-mBHI-p7,858,385
D10-e003Coalescence-mGAM-p7,869,384
C12-e003Coalescence-mGAM-p3,834,361
C11-e003Coalescence-mGAM-p3,849,366
D5-e004Assembly-mGAM-p3,879,391
A10-e003Coalescence-mBHI-p7,759,331
C10-e003Coalescence-mBHI-p7,876,380
B9-e003Coalescence-mBHI-p5,866,388
F4-e004Assembly-epsilon-p3,856,363
B10-e003Coalescence-mBHI-p3,880,380
C11-e003Coalescence-mBHI-p5,890,392
A2-e003Coalescence-mGAM-p7,875,386
C5-e003Assembly-mBHI-p3,689,309
E3-e004Assembly-mGAM-p5,857,384
C3-e003GlycerolRevival-mBHI-p2,870,387
D10-e003Coalescence-mGAM-p3,842,362
B10-e003Coalescence-mGAM-p7,882,375
C4-e004Assembly-mBHI-p3,562,236
A9-e003Coalescence-mBHI-p7,871,388
C2-e003Coalescence-Inoculumn-mGAM,883,389
B3-e003Coalescence-Inoculumn-mGAM,854,383
D11-e003Coalescence-mGAM-p7,832,355
D5-e003Coalescence-mGAM-p3,879,386
E4-e004Assembly-mGAM-p5,808,346
D2-e003Coalescence-Inoculumn-mBHI,841,370
B4-e003Coalescence-Inoculumn-mGAM,889,395
A10-e003Coalescence-mGAM-p7,855,380
B2-e003Assembly-mBHI-p3,852,382
F4-e004Assembly-epsilon-p7,857,363
D9-e003Coalescence-mBHI-p5,858,386
C4-e003Coalescence-Inoculumn-mGAM,891,396
D4-e003Coalescence-mGAM-p3,839,360
B9-e003Coalescence-mBHI-p7,859,386
A2-e003Coalescence-mGAM-p5,881,388
D11-e003Assembly-mGAM-p5,822,354
C3-e003Coalescence-mGAM-p7,891,396
B11-e003GlycerolRevival-mGAM-p2,813,358
B3-e003Coalescence-mGAM-p5,862,387
D9-e003Coalescence-mBHI-p7,858,387
B10-e003Assembly-mGAM-p3,800,361
D3-e004Assembly-mGAM-p5,858,381
C5-e003Coalescence-mBHI-p7,882,394
D12-e003Coalescence-mBHI-p3,753,326
D4-e004Assembly-mGAM-p7,852,365
C11-e003Coalescence-mGAM-p7,847,365
C11-e003Assembly-mGAM-p3,839,373
D10-e003Coalescence-mBHI-p7,882,384
C9-e003Coalescence-mBHI-p7,839,363
A2-e003Coalescence-mBHI-p3,365,158
B8-e003Coalescence-mGAM-p5,887,394
C3-e004Assembly-mBHI-p3,859,383
C11-e003Assembly-mGAM-p5,863,376
B10-e003GlycerolRevival-mGAM-p2,686,283
B3-e003Coalescence-mBHI-p5,857,386
C2-e003Coalescence-mBHI-inoculumn-redo,889,396
A8-e003Coalescence-mGAM-p7,871,381
C11-e003GlycerolRevival-mGAM-p2,863,377
B2-e003Coalescence-Inoculumn-mBHI,860,386
A11-e003Coalescence-mBHI-p5,863,385
C10-e003Coalescence-mGAM-p5,890,394
C4-e003Assembly-mBHI-p5,881,387
C9-e003Assembly-mGAM-p5,482,194
A5-e003Coalescence-Inoculumn-mGAM,891,395
A3-e003Coalescence-mBHI-p3,378,190
AG-Fecal,878,382
D4-e003Coalescence-Inoculumn-mGAM,806,356
A2-e003Coalescence-mBHI-p5,610,268
B5-e004Assembly-mBHI-p5,671,291
C5-e003Assembly-mBHI-p5,394,184
C10-e003Coalescence-mBHI-p5,849,385
B9-e003Coalescence-mBHI-p3,862,386
C3-e003Coalescence-mBHI-inoculumn-redo,890,395
e004-inoculumn-fecal-AR,864,379
B5-e003Coalescence-mGAM-p3,876,386
BK-Fecal,859,361
C3-e003Assembly-mBHI-p5,862,389
A5-e003Coalescence-mBHI-p3,419,209
C4-e004Assembly-mBHI-p7,512,228
C9-e003GlycerolRevival-mGAM-p2,856,385
F3-e004Assembly-epsilon-p5,840,365
C9-e003Coalescence-mGAM-p5,890,391
A2-e003Coalescence-mBHI-inoculumn-redo,865,387
C2-e003Coalescence-mGAM-p5,887,394
B8-e003GlycerolRevival-mGAM-p2,875,388
C8-e003Coalescence-mBHI-p5,889,391
B8-e003Coalescence-mGAM-p7,869,393
B4-e003Coalescence-Inoculumn-mBHI,888,396
D2-e003Coalescence-Inoculumn-mGAM,891,394
B8-e003Coalescence-mBHI-p7,844,379
B3-e004Assembly-mBHI-p3,862,382
e003-inoculumn-fecal-AE,530,228
D3-e003Coalescence-Inoculumn-mGAM,875,384
B11-e003Coalescence-mBHI-p3,865,386
C5-e003Coalescence-Inoculumn-mGAM,873,388
C4-e003Coalescence-mBHI-p5,889,396
G3-e004Assembly-epsilon-p5,842,377
BC-Fecal,875,392
e004-inoculumn-fecal-BE,876,389
BA-Fecal,864,375
e003-inoculumn-fecal-AF,743,319
A11-e003Coalescence-mBHI-p3,890,394
A4-e003Coalescence-Inoculumn-mGAM,887,388
B4-e003Coalescence-mBHI-p3,890,396
A5-e003Coalescence-Inoculumn-mBHI,709,320
A9-e003Coalescence-mGAM-p5,887,395
C10-e003Coalescence-mGAM-p7,891,395
F3-e004Assembly-epsilon-p7,675,311
A11-e003Coalescence-mGAM-p3,866,373
C10-e003Coalescence-mBHI-p3,881,393
D2-e003Coalescence-mBHI-p3,857,384
C5-e003GlycerolRevival-mBHI-p2,687,282
H5-e003Coalescence-mBHI-p5_S40,867,377
E2-e003Coalescence-mGAM-p7_S145,870,384
G5-e003Coalescence-mBHI-p7_S124,878,392
H111-e003Coalescence-mGAM-p7_S188,825,352
H4-e003Coalescence-mGAM-p7_S183,825,350
F5-e003Coalescence-mGAM-p5_S64,877,381
F5-e003Coalescence-mGAM-p7_S160,877,387
F8-e003Coalescence-mBHI-p3_S117,868,390
H3-e003Coalescence-mBHI-p3_S46,887,396
H2-e003Coalescence-mBHI-p7_S133,872,382
E5-e003Coalescence-mBHI-p3_S12,846,371
F100-e003Coalescence-mGAM-p7_S163,865,388
F9-e003Coalescence-mBHI-p5_S18,862,381
H3-e003Coalescence-mBHI-p7_S134,880,389
