,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,4,2
C9-e003Coalescence-mGAM-p3,4,2
C11-e003Coalescence-mBHI-p3,4,2
D11-e003Coalescence-mBHI-p5,4,1
C9-e003Coalescence-mGAM-p7,3,1
C8-e003Coalescence-mGAM-p7,4,2
D10-e003Coalescence-mBHI-p3,4,1
F3-e004Assembly-epsilon-p3,0,2
B2-e003Coalescence-mBHI-p3,4,0
A8-e003Coalescence-mBHI-p3,4,2
e004-inoculumn-fecal-BD,3,2
A4-e003Coalescence-mBHI-p7,3,2
B9-e003Coalescence-mGAM-p5,4,2
A4-e003Coalescence-mBHI-inoculumn-redo,4,2
B3-e003Coalescence-mBHI-p3,4,2
D4-e003Coalescence-mBHI-p5,4,2
C2-e003Coalescence-mBHI-p5,1,0
B3-e004Assembly-mBHI-p7,0,1
B5-e004Assembly-mBHI-p7,4,2
D4-e003Coalescence-mBHI-p3,4,1
C4-e003GlycerolRevival-mBHI-p2,3,1
D10-e003Assembly-mGAM-p5,3,1
B2-e003Assembly-mBHI-p5,0,2
C3-e004Assembly-mBHI-p5,0,2
B8-e003Assembly-mGAM-p5,4,2
F4-e004Assembly-epsilon-p5,3,1
C4-e003Coalescence-mGAM-p7,4,2
B12-e003Coalescence-mBHI-p3,4,1
D3-e004Assembly-mGAM-p7,0,2
C8-e003Assembly-mGAM-p3,4,2
C3-e003Coalescence-mGAM-p3,4,2
B4-e003Assembly-mBHI-p5,4,2
D4-e004Assembly-mGAM-p5,3,2
D3-e003Coalescence-Inoculumn-mBHI,4,2
C8-e003Assembly-mGAM-p5,3,2
C3-e003Coalescence-mBHI-p7,4,2
D11-e003Coalescence-mGAM-p5,4,2
A11-e003Coalescence-mGAM-p7,4,2
B8-e003Coalescence-mBHI-p5,4,2
B10-e003Assembly-mGAM-p5,4,2
C2-e003Coalescence-mGAM-p7,4,2
D3-e003Coalescence-mBHI-p5,4,2
B11-e003Coalescence-mGAM-p3,4,1
C4-e003Coalescence-mBHI-inoculumn-redo,4,1
B5-e003Assembly-mBHI-p5,4,2
D2-e003Coalescence-mBHI-p5,4,2
D8-e003Assembly-mGAM-p5,4,2
D5-e003Coalescence-mGAM-p5,4,2
B5-e003Coalescence-mBHI-p5,4,2
D5-e003Coalescence-mBHI-p7,4,2
C9-e003Coalescence-mBHI-p5,3,2
A5-e003Coalescence-mGAM-p3,4,2
A2-e003Coalescence-Inoculumn-mGAM,4,2
E5-e004Assembly-mGAM-p5,4,2
D8-e003Coalescence-mGAM-p5,4,2
A12-e003Coalescence-mGAM-p3,4,2
C2-e003Coalescence-mBHI-p3,4,2
C4-e004Assembly-mBHI-p5,3,1
D9-e003Coalescence-mGAM-p7,4,1
D4-e003Coalescence-mBHI-p7,4,1
D8-e003Assembly-mGAM-p3,4,2
E4-e004Assembly-mGAM-p7,4,2
E3-e004Assembly-mGAM-p3,0,2
B10-e003Coalescence-mGAM-p3,4,2
A9-e003Coalescence-mGAM-p7,4,2
D5-e004Assembly-mGAM-p5,3,1
B5-e003Coalescence-Inoculumn-mGAM,4,2
D10-e003Coalescence-mBHI-p5,4,1
D5-e003Coalescence-mBHI-p3,4,2
C5-e003Coalescence-mBHI-p3,4,2
D9-e003Coalescence-mGAM-p5,4,2
C9-e003Coalescence-mBHI-p3,4,2
D10-e003Coalescence-mGAM-p5,4,2
C8-e003Coalescence-mBHI-p7,2,2
B11-e003Assembly-mGAM-p5,4,2
G3-e004Assembly-epsilon-p7,0,2
B4-e003Coalescence-mGAM-p5,4,2
D4-e003Coalescence-mGAM-p5,4,2
C3-e004Assembly-mBHI-p7,0,1
B5-e003Coalescence-mGAM-p5,4,2
BB-Fecal,0,1
B5-e003Coalescence-Inoculumn-mBHI,4,2
G3-e004Assembly-epsilon-p3,0,2
C2-e003Coalescence-mGAM-p3,4,2
B5-e003Coalescence-mGAM-p7,4,2
D8-e003Coalescence-mBHI-p5,4,2
E5-e004Assembly-mGAM-p7,3,2
C10-e003Assembly-mGAM-p3,4,2
B10-e003Coalescence-mBHI-p5,4,2
D5-e003Coalescence-Inoculumn-mGAM,4,2
B3-e004Assembly-mBHI-p5,0,1
B5-e003Coalescence-mBHI-p3,4,2
G4-e004Assembly-epsilon-p5,3,2
C4-e003Coalescence-mGAM-p5,4,2
C5-e003Coalescence-mGAM-p7,4,2
C5-e003Coalescence-mBHI-inoculumn-redo,4,2
A10-e003Coalescence-mBHI-p5,0,2
BF-Fecal,3,1
AM-Fecal,3,1
B8-e003Assembly-mGAM-p3,4,2
A4-e003Coalescence-mGAM-p5,4,2
D5-e003Coalescence-mBHI-p5,4,2
D3-e003Assembly-mBHI-p3,4,2
D4-e003Coalescence-mGAM-p7,4,2
A8-e003Coalescence-mBHI-p7,4,2
e003-inoculumn-fecal-AC,4,2
E3-e004Assembly-mGAM-p7,1,1
B9-e003GlycerolRevival-mGAM-p2,4,0
C4-e003Coalescence-mGAM-p3,4,2
B2-e003Coalescence-Inoculumn-mGAM,4,2
D5-e003Coalescence-mGAM-p7,4,2
C5-e003Coalescence-mBHI-p5,4,2
C5-e003Coalescence-mGAM-p3,4,2
A3-e003Coalescence-mBHI-inoculumn-redo,3,1
D9-e003Assembly-mGAM-p5,1,2
B12-e003Coalescence-mGAM-p3,4,2
A11-e003Coalescence-mBHI-p7,4,2
A3-e003Coalescence-Inoculumn-mGAM,1,2
D10-e003Assembly-mGAM-p3,4,2
C3-e003Coalescence-mGAM-p5,4,2
C10-e003GlycerolRevival-mGAM-p2,4,2
D3-e003Assembly-mBHI-p5,4,2
A10-e003Coalescence-mGAM-p3,4,2
A9-e003Coalescence-mBHI-p3,4,2
A2-e003Coalescence-Inoculumn-mBHI,3,1
D3-e003Coalescence-mBHI-p7,4,2
C3-e003Coalescence-mBHI-p5,4,2
D11-e003Assembly-mGAM-p3,4,2
D2-e003Assembly-mBHI-p3,4,2
B3-e003Assembly-mBHI-p5,4,2
A9-e003Coalescence-mBHI-p5,3,2
D5-e003Coalescence-Inoculumn-mBHI,4,2
B2-e003Coalescence-mGAM-p3,1,1
C11-e003Coalescence-mGAM-p5,4,1
G4-e004Assembly-epsilon-p3,3,2
B3-e003Coalescence-Inoculumn-mBHI,4,2
A8-e003Coalescence-mBHI-p5,3,2
D5-e004Assembly-mGAM-p7,4,2
C2-e003Assembly-mBHI-p5,3,2
D9-e003Coalescence-mBHI-p3,3,1
D5-e003Assembly-mBHI-p5,4,2
A5-e003Coalescence-mBHI-p7,4,1
BG-Fecal,4,2
D2-e003Coalescence-mGAM-p5,4,2
B9-e003Assembly-mGAM-p5,0,0
D3-e003Coalescence-mGAM-p3,4,1
D9-e003Coalescence-mGAM-p3,4,2
D3-e003Coalescence-mGAM-p5,4,1
C10-e003Coalescence-mGAM-p3,4,2
A5-e003Coalescence-mBHI-inoculumn-redo,4,2
B11-e003Assembly-mGAM-p3,4,2
D2-e003Assembly-mBHI-p5,4,2
B9-e003Coalescence-mGAM-p7,4,2
B11-e003Coalescence-mGAM-p7,4,2
C3-e003Coalescence-Inoculumn-mGAM,4,2
B5-e003Coalescence-mBHI-p7,4,1
A3-e003Coalescence-mGAM-p7,4,2
D4-e003Coalescence-Inoculumn-mBHI,4,1
A4-e003Coalescence-mBHI-p5,4,2
B3-e003Coalescence-mBHI-p7,4,2
D10-e003Coalescence-mGAM-p7,4,1
C12-e003Coalescence-mGAM-p3,4,2
C11-e003Coalescence-mGAM-p3,4,1
D5-e004Assembly-mGAM-p3,4,2
A10-e003Coalescence-mBHI-p7,4,2
C10-e003Coalescence-mBHI-p7,4,2
B9-e003Coalescence-mBHI-p5,4,2
F4-e004Assembly-epsilon-p3,3,2
B10-e003Coalescence-mBHI-p3,3,1
C11-e003Coalescence-mBHI-p5,4,2
A2-e003Coalescence-mGAM-p7,4,2
C5-e003Assembly-mBHI-p3,4,1
E3-e004Assembly-mGAM-p5,0,2
C3-e003GlycerolRevival-mBHI-p2,4,2
D10-e003Coalescence-mGAM-p3,4,1
B10-e003Coalescence-mGAM-p7,3,1
C4-e004Assembly-mBHI-p3,0,0
A9-e003Coalescence-mBHI-p7,4,2
C2-e003Coalescence-Inoculumn-mGAM,4,2
B3-e003Coalescence-Inoculumn-mGAM,4,2
D11-e003Coalescence-mGAM-p7,4,2
D5-e003Coalescence-mGAM-p3,4,2
E4-e004Assembly-mGAM-p5,3,1
D2-e003Coalescence-Inoculumn-mBHI,4,2
B4-e003Coalescence-Inoculumn-mGAM,4,2
A10-e003Coalescence-mGAM-p7,3,2
B2-e003Assembly-mBHI-p3,4,2
F4-e004Assembly-epsilon-p7,4,1
D9-e003Coalescence-mBHI-p5,4,1
C4-e003Coalescence-Inoculumn-mGAM,4,2
D4-e003Coalescence-mGAM-p3,4,2
B9-e003Coalescence-mBHI-p7,4,2
A2-e003Coalescence-mGAM-p5,4,2
D11-e003Assembly-mGAM-p5,4,2
C3-e003Coalescence-mGAM-p7,4,2
B11-e003GlycerolRevival-mGAM-p2,4,2
B3-e003Coalescence-mGAM-p5,4,2
D9-e003Coalescence-mBHI-p7,4,1
B10-e003Assembly-mGAM-p3,4,2
D3-e004Assembly-mGAM-p5,1,2
C5-e003Coalescence-mBHI-p7,4,1
D12-e003Coalescence-mBHI-p3,4,1
D4-e004Assembly-mGAM-p7,3,1
C11-e003Coalescence-mGAM-p7,4,1
C11-e003Assembly-mGAM-p3,4,2
D10-e003Coalescence-mBHI-p7,3,1
C9-e003Coalescence-mBHI-p7,2,1
A2-e003Coalescence-mBHI-p3,0,2
B8-e003Coalescence-mGAM-p5,4,2
C3-e004Assembly-mBHI-p3,0,2
C11-e003Assembly-mGAM-p5,4,2
B10-e003GlycerolRevival-mGAM-p2,3,2
B3-e003Coalescence-mBHI-p5,4,2
C2-e003Coalescence-mBHI-inoculumn-redo,4,2
A8-e003Coalescence-mGAM-p7,4,2
C11-e003GlycerolRevival-mGAM-p2,4,2
B2-e003Coalescence-Inoculumn-mBHI,4,2
A11-e003Coalescence-mBHI-p5,4,2
C10-e003Coalescence-mGAM-p5,4,2
C4-e003Assembly-mBHI-p5,4,2
C9-e003Assembly-mGAM-p5,0,1
A5-e003Coalescence-Inoculumn-mGAM,4,2
A3-e003Coalescence-mBHI-p3,3,1
AG-Fecal,4,2
D4-e003Coalescence-Inoculumn-mGAM,4,1
A2-e003Coalescence-mBHI-p5,4,1
B5-e004Assembly-mBHI-p5,3,1
C5-e003Assembly-mBHI-p5,4,0
C10-e003Coalescence-mBHI-p5,4,2
B9-e003Coalescence-mBHI-p3,4,2
C3-e003Coalescence-mBHI-inoculumn-redo,4,2
e004-inoculumn-fecal-AR,3,2
B5-e003Coalescence-mGAM-p3,4,2
BK-Fecal,4,1
C3-e003Assembly-mBHI-p5,4,2
A5-e003Coalescence-mBHI-p3,2,1
C4-e004Assembly-mBHI-p7,3,1
C9-e003GlycerolRevival-mGAM-p2,4,1
F3-e004Assembly-epsilon-p5,3,2
C9-e003Coalescence-mGAM-p5,3,2
A2-e003Coalescence-mBHI-inoculumn-redo,3,1
C2-e003Coalescence-mGAM-p5,4,2
