,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.636,0.589
B5-e003Coalescence-mBHI-p3,0.8,0.469
B5-e003Coalescence-mBHI-p5,0.42900000000000005,1.0
B5-e003Coalescence-mBHI-p7,0.30000000000000004,1.0
D3-e003Coalescence-Inoculumn-mBHI,0.623,0.575
D3-e003Coalescence-mBHI-p5,0.0,1.0
D3-e003Coalescence-mBHI-p7,0.0,1.0
D3-e003Coalescence-mGAM-p5,1.0,1.0
F5-e003Coalescence-mBHI-p3_S24,0.769,0.444
F5-e003Coalescence-mBHI-p5_S16,0.625,0.645
F5-e003Coalescence-mBHI-p7_S112,0.5,1.0
H3-e003Coalescence-mBHI-p3_S46,0.783,0.444
H3-e003Coalescence-mBHI-p5_S38,0.5,0.786
H3-e003Coalescence-mBHI-p7_S134,0.46199999999999997,1.0
