,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,8986,15309
A4-e003Coalescence-mBHI-p3,4379,6954
A4-e003Coalescence-mBHI-p5,8923,15214
A4-e003Coalescence-mBHI-p7,8737,14867
A4-e003Coalescence-mGAM-p5,8953,15268
C2-e003Coalescence-mBHI-inoculumn-redo,8982,15274
C2-e003Coalescence-mBHI-p3,8443,13533
C2-e003Coalescence-mBHI-p5,5719,9762
C2-e003Coalescence-mGAM-p3,8979,15289
C2-e003Coalescence-mGAM-p5,8984,15274
C2-e003Coalescence-mGAM-p7,8981,15267
E4-e003Coalescence-mBHI-p5_S3,8971,15279
E4-e003Coalescence-mBHI-p7_S99,8964,15278
E4-e003Coalescence-mGAM-p3_S59,8982,15248
E4-e003Coalescence-mGAM-p5_S51,8964,14984
E4-e003Coalescence-mGAM-p7_S147,8984,15240
G2-e003Coalescence-mBHI-p3_S33,6009,9722
G2-e003Coalescence-mBHI-p5_S25,8580,14675
G2-e003Coalescence-mBHI-p7_S121,2842,5364
G2-e003Coalescence-mGAM-p3_S81,8985,15314
G2-e003Coalescence-mGAM-p5_S73,8963,14993
