,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,365,2
B11-e003Coalescence-mGAM-p3,377,2
B11-e003Coalescence-mGAM-p7,354,1
B5-e003Coalescence-Inoculumn-mGAM,371,2
D3-e003Coalescence-Inoculumn-mGAM,376,2
D9-e003Coalescence-mBHI-p3,310,1
D9-e003Coalescence-mBHI-p5,369,2
D9-e003Coalescence-mBHI-p7,372,2
D9-e003Coalescence-mGAM-p3,378,2
D9-e003Coalescence-mGAM-p5,371,1
D9-e003Coalescence-mGAM-p7,355,1
F111-e003Coalescence-mBHI-p3_S120,337,2
F111-e003Coalescence-mBHI-p5_S20,336,2
F111-e003Coalescence-mBHI-p7_S116,363,2
F111-e003Coalescence-mGAM-p3_S168,371,2
F111-e003Coalescence-mGAM-p5_S68,364,2
F111-e003Coalescence-mGAM-p7_S164,355,1
H9-e003Coalescence-mBHI-p5_S42,358,2
H9-e003Coalescence-mBHI-p7_S138,343,2
H9-e003Coalescence-mGAM-p3_S190,335,1
H9-e003Coalescence-mGAM-p5_S90,364,2
H9-e003Coalescence-mGAM-p7_S186,374,2
