,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p3,5711,22539
C11-e003Coalescence-mBHI-p5,5718,22591
C11-e003Coalescence-mGAM-p3,5718,22614
C11-e003Coalescence-mGAM-p5,5718,22610
C11-e003Coalescence-mGAM-p7,5712,22608
C5-e003Coalescence-Inoculumn-mGAM,5712,22609
D10-e003Coalescence-mBHI-p3,5718,22588
D10-e003Coalescence-mBHI-p5,5716,22572
D10-e003Coalescence-mBHI-p7,5716,22595
D10-e003Coalescence-mGAM-p3,5654,22498
D10-e003Coalescence-mGAM-p5,5718,22612
D10-e003Coalescence-mGAM-p7,5718,22612
D4-e003Coalescence-Inoculumn-mGAM,5566,22424
G111-e003Coalescence-mBHI-p3_S132,2051,7809
G111-e003Coalescence-mBHI-p5_S32,5716,22552
G111-e003Coalescence-mBHI-p7_S128,5709,22513
G111-e003Coalescence-mGAM-p3_S180,5708,22586
G111-e003Coalescence-mGAM-p5_S80,5718,22596
G111-e003Coalescence-mGAM-p7_S176,5283,21487
H100-e003Coalescence-mBHI-p5_S43,5714,22535
H100-e003Coalescence-mBHI-p7_S139,5717,22561
H100-e003Coalescence-mGAM-p5_S91,5522,22496
H100-e003Coalescence-mGAM-p7_S187,5697,22546
