,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,1716,1839
B10-e003Coalescence-mBHI-p5,2017,2192
B10-e003Coalescence-mGAM-p3,1789,1893
B4-e003Coalescence-Inoculumn-mGAM,2266,2464
C3-e003Coalescence-Inoculumn-mGAM,2188,2384
C9-e003Coalescence-mBHI-p3,2247,2449
C9-e003Coalescence-mBHI-p5,2032,2227
C9-e003Coalescence-mBHI-p7,1158,1284
C9-e003Coalescence-mGAM-p3,2081,2310
C9-e003Coalescence-mGAM-p5,1871,2094
C9-e003Coalescence-mGAM-p7,2008,2165
F100-e003Coalescence-mBHI-p7_S115,2234,2448
F100-e003Coalescence-mGAM-p3_S167,1718,1943
F100-e003Coalescence-mGAM-p7_S163,1904,2053
G9-e003Coalescence-mBHI-p3_S130,1805,1990
G9-e003Coalescence-mBHI-p5_S30,2232,2433
G9-e003Coalescence-mGAM-p3_S178,2250,2475
G9-e003Coalescence-mGAM-p5_S78,720,792
G9-e003Coalescence-mGAM-p7_S174,1750,1993
