,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,4753,4674
A4-e003Coalescence-mBHI-p1_S732,4735,4645
A4-e003Coalescence-mBHI-p3,4658,4625
A4-e003Coalescence-mBHI-p5,4733,4672
A4-e003Coalescence-mBHI-p7,4733,4663
A4-e003Coalescence-mGAM-p1_S736,2705,2614
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,4752,4674
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,4687,4615
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,4754,4676
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,4753,4676
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,4236,4256
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,2608,2371
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,4754,4675
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,2598,2593
C2-e003Coalescence-mBHI-inoculumn-redo,4750,4669
C2-e003Coalescence-mBHI-p1_S718,4235,4164
C2-e003Coalescence-mBHI-p3,4722,4667
C2-e003Coalescence-mBHI-p5,4682,4638
C2-e003Coalescence-mGAM-p1_S722,2768,2833
C2-e003Coalescence-mGAM-p7,4559,4409
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,4681,4625
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,4607,4576
C_C1_C2_AA_AE_mBHI_mBHI_6_S217,4579,4526
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,4753,4675
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,4114,3983
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,4736,4666
E4-e003Coalescence-mBHI-p1_S796,4541,4431
E4-e003Coalescence-mBHI-p3_S11,4702,4647
E4-e003Coalescence-mBHI-p5_S3,4724,4665
E4-e003Coalescence-mBHI-p7_S99,4664,4620
G2-e003Coalescence-mBHI-p1_S782,4698,4599
G2-e003Coalescence-mBHI-p3_S33,4731,4661
G2-e003Coalescence-mBHI-p5_S25,4734,4668
G2-e003Coalescence-mBHI-p7_S121,4068,4067
