,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,13443,15099
B5-e003Coalescence-mBHI-p3,13455,15053
B5-e003Coalescence-mBHI-p5,13390,14973
B5-e003Coalescence-mBHI-p7,13439,15062
B5-e003Coalescence-mGAM-p3,13161,14790
B5-e003Coalescence-mGAM-p5,13410,15016
B5-e003Coalescence-mGAM-p7,13049,14614
D3-e003Coalescence-Inoculumn-mBHI,13470,15128
D3-e003Coalescence-mBHI-p5,13441,15030
D3-e003Coalescence-mBHI-p7,13454,15090
D3-e003Coalescence-mGAM-p3,13315,14955
D3-e003Coalescence-mGAM-p5,13467,15124
F5-e003Coalescence-mBHI-p3_S24,13388,14920
F5-e003Coalescence-mBHI-p5_S16,13347,14778
F5-e003Coalescence-mBHI-p7_S112,13356,14892
F5-e003Coalescence-mGAM-p3_S72,12716,14388
F5-e003Coalescence-mGAM-p5_S64,13436,15038
F5-e003Coalescence-mGAM-p7_S160,13276,14820
H3-e003Coalescence-mBHI-p3_S46,13416,14958
H3-e003Coalescence-mBHI-p5_S38,13408,14975
H3-e003Coalescence-mBHI-p7_S134,13342,14882
H3-e003Coalescence-mGAM-p3_S94,13177,14769
H3-e003Coalescence-mGAM-p5_S86,13381,15011
H3-e003Coalescence-mGAM-p7_S182,13390,15015
