,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,11846,13279
A5-e003Coalescence-mBHI-inoculumn-redo,12844,14508
A5-e003Coalescence-mBHI-p3,6894,7406
A5-e003Coalescence-mBHI-p7,12496,13980
A5-e003Coalescence-mGAM-p3,12812,14445
D2-e003Coalescence-Inoculumn-mBHI,12761,14446
D2-e003Coalescence-mBHI-p3,12857,14494
D2-e003Coalescence-mBHI-p5,12422,13935
D2-e003Coalescence-mGAM-p5,12887,14562
E5-e003Coalescence-mBHI-p3_S12,12679,14273
E5-e003Coalescence-mBHI-p5_S4,12691,14252
E5-e003Coalescence-mBHI-p7_S100,12624,14187
E5-e003Coalescence-mGAM-p3_S60,12751,14365
E5-e003Coalescence-mGAM-p5_S52,12734,14358
E5-e003Coalescence-mGAM-p7_S148,12842,14509
H2-e003Coalescence-mBHI-p3_S45,12854,14484
H2-e003Coalescence-mBHI-p7_S133,12714,14284
H2-e003Coalescence-mGAM-p3_S93,12705,14300
H2-e003Coalescence-mGAM-p5_S85,8917,9525
H2-e003Coalescence-mGAM-p7_S181,12887,14569
