,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,12354,12285
A4-e003Coalescence-mBHI-p3,12219,12073
A4-e003Coalescence-mBHI-p5,12329,12246
A4-e003Coalescence-mBHI-p7,12312,12213
A4-e003Coalescence-mGAM-p5,12322,12250
C2-e003Coalescence-mBHI-inoculumn-redo,12341,12273
C2-e003Coalescence-mBHI-p3,12353,12281
C2-e003Coalescence-mBHI-p5,12328,12222
C2-e003Coalescence-mGAM-p3,12300,12215
C2-e003Coalescence-mGAM-p5,12334,12233
C2-e003Coalescence-mGAM-p7,12346,12277
E4-e003Coalescence-mBHI-p3_S11,12297,12177
E4-e003Coalescence-mBHI-p5_S3,12308,12203
E4-e003Coalescence-mBHI-p7_S99,12188,11978
E4-e003Coalescence-mGAM-p3_S59,12312,12184
E4-e003Coalescence-mGAM-p5_S51,12246,12030
E4-e003Coalescence-mGAM-p7_S147,12329,12205
G2-e003Coalescence-mBHI-p3_S33,12328,12217
G2-e003Coalescence-mBHI-p5_S25,12318,12206
G2-e003Coalescence-mBHI-p7_S121,10433,10013
G2-e003Coalescence-mGAM-p3_S81,12325,12187
G2-e003Coalescence-mGAM-p5_S73,12286,12156
