,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C9-e003Coalescence-mGAM-p3,152,495
C9-e003Coalescence-mGAM-p7,214,618
D10-e003Coalescence-mBHI-p3,223,533
A4-e003Coalescence-mBHI-inoculumn-redo,294,821
B3-e003Coalescence-mBHI-p3,326,942
e004-inoculumn-fecal-AK,325,942
B4-e003Assembly-mBHI-p5,182,552
D3-e003Coalescence-Inoculumn-mBHI,326,942
C3-e003Coalescence-mBHI-p7,211,647
B8-e003Coalescence-mBHI-p5,272,797
B11-e003Coalescence-mGAM-p3,249,724
C4-e003Coalescence-mBHI-inoculumn-redo,326,942
C9-e003Coalescence-mBHI-p5,287,783
D9-e003Coalescence-mGAM-p5,185,601
C9-e003Coalescence-mBHI-p3,322,921
BB-Fecal,326,942
B5-e003Coalescence-Inoculumn-mBHI,324,934
B10-e003Coalescence-mBHI-p5,233,662
F2-e004Assembly-epsilon-p3,175,463
B5-e003Coalescence-mBHI-p3,152,520
C5-e003Coalescence-mBHI-inoculumn-redo,303,874
AM-Fecal,309,896
A8-e003Coalescence-mBHI-p7,264,746
e003-inoculumn-fecal-AC,108,390
A3-e003Coalescence-mBHI-inoculumn-redo,236,713
D3-e003Assembly-mBHI-p5,257,773
D3-e003Coalescence-mBHI-p7,312,867
B2-e003Coalescence-mGAM-p3,144,422
B3-e003Coalescence-Inoculumn-mBHI,326,942
B5-e003Coalescence-mBHI-p7,254,755
D4-e003Coalescence-Inoculumn-mBHI,322,929
B3-e003Coalescence-mBHI-p7,208,614
C10-e003Coalescence-mBHI-p7,185,508
B9-e003Coalescence-mBHI-p5,323,924
B10-e003Coalescence-mBHI-p3,174,468
C11-e003Coalescence-mBHI-p5,170,569
A9-e003Coalescence-mBHI-p7,319,932
D9-e003Coalescence-mBHI-p5,257,778
B9-e003Coalescence-mBHI-p7,319,897
C3-e003Coalescence-mGAM-p7,251,694
D9-e003Coalescence-mBHI-p7,225,665
D10-e003Coalescence-mBHI-p7,184,554
B3-e003Coalescence-mBHI-p5,126,338
C2-e003Coalescence-mBHI-inoculumn-redo,229,633
B2-e003Coalescence-Inoculumn-mBHI,315,915
AG-Fecal,326,942
C10-e003Coalescence-mBHI-p5,259,751
C3-e003Coalescence-mBHI-inoculumn-redo,326,941
BK-Fecal,326,931
C9-e003Coalescence-mGAM-p5,147,415
C8-e003Coalescence-mBHI-p5,321,917
B4-e003Coalescence-Inoculumn-mBHI,326,942
B11-e003Coalescence-mBHI-p3,231,650
C4-e003Coalescence-mBHI-p5,320,939
B2-e004Assembly-mBHI-p3,151,499
BA-Fecal,307,867
A11-e003Coalescence-mBHI-p3,284,820
C10-e003Coalescence-mBHI-p3,298,859
H3-e003Coalescence-mBHI-p3_S46,314,926
F9-e003Coalescence-mBHI-p5_S18,296,876
G4-e003Coalescence-mBHI-p5_S27,300,848
E9-e003Coalescence-mBHI-p5_S6,177,475
G111-e003Coalescence-mBHI-p5_S32,324,918
E100-e003Coalescence-mBHI-p7_S103,325,929
E3-e003Coalescence-mGAM-p5_S50,234,677
E9-e003Coalescence-mBHI-p7_S102,308,887
H100-e003Coalescence-mBHI-p5_S43,280,789
F2-e003Coalescence-mGAM-p5_S61,236,731
H8-e003Coalescence-mBHI-p7_S137,185,506
G3-e003Coalescence-mBHI-p3_S34,298,886
G100-e003Coalescence-mBHI-p5_S31,281,763
G3-e003Coalescence-mBHI-p5_S26,323,931
G4-e003Coalescence-mBHI-p3_S35,317,915
E8-e003Coalescence-mBHI-p7_S101,318,934
G9-e003Coalescence-mGAM-p7_S174,147,457
E8-e003Coalescence-mGAM-p3_S153,325,935
H8-e003Coalescence-mBHI-p5_S41,244,644
E100-e003Coalescence-mBHI-p5_S7,290,782
F3-e003Coalescence-mBHI-p3_S22,324,930
G3-e003Coalescence-mBHI-p7_S122,325,938
G8-e003Coalescence-mBHI-p3_S129,214,592
F3-e003Coalescence-mBHI-p5_S14,254,807
F100-e003Coalescence-mBHI-p7_S115,166,408
E3-e003Coalescence-mGAM-p7_S146,245,699
G100-e003Coalescence-mBHI-p3_S131,320,936
G4-e003Coalescence-mBHI-p7_S123,188,518
F3-e003Coalescence-mGAM-p5_S62,155,465
G111-e003Coalescence-mBHI-p7_S128,194,557
H3-e003Coalescence-mBHI-p5_S38,166,479
G8-e003Coalescence-mBHI-p7_S125,187,487
E111-e003Coalescence-mBHI-p7_S104,312,927
G9-e003Coalescence-mBHI-p3_S130,155,459
H100-e003Coalescence-mBHI-p7_S139,306,875
G8-e003Coalescence-mBHI-p5_S29,247,661
H9-e003Coalescence-mBHI-p5_S42,228,685
F5-e003Coalescence-mBHI-p3_S24,229,692
E8-e003Coalescence-mBHI-p3_S105,231,673
E8-e003Coalescence-mGAM-p7_S149,213,591
G9-e003Coalescence-mBHI-p5_S30,191,622
G9-e003Coalescence-mGAM-p3_S178,255,734
G100-e003Coalescence-mBHI-p7_S127,273,791
