,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,329955.0,346501.0
A11-e003Coalescence-mBHI-p5,73208.0,75870.0
A11-e003Coalescence-mBHI-p7,38620.0,39740.0
A11-e003Coalescence-mGAM-p3,116429.0,120329.0
A11-e003Coalescence-mGAM-p7,38091.0,38858.0
A5-e003Coalescence-Inoculumn-mGAM,56487.0,59376.0
D2-e003Coalescence-Inoculumn-mGAM,63335.0,66974.0
D8-e003Coalescence-mBHI-p5,88522.0,93228.0
D8-e003Coalescence-mGAM-p5,79090.0,83369.0
E111-e003Coalescence-mBHI-p3_S108,92591.0,95930.0
E111-e003Coalescence-mBHI-p5_S8,110447.0,114428.0
E111-e003Coalescence-mBHI-p7_S104,153776.0,162266.0
E111-e003Coalescence-mGAM-p5_S56,55712.0,56559.0
H8-e003Coalescence-mBHI-p5_S41,103256.0,107083.0
H8-e003Coalescence-mBHI-p7_S137,182993.0,187485.0
H8-e003Coalescence-mGAM-p5_S89,72177.0,74273.0
H8-e003Coalescence-mGAM-p7_S185,102438.0,106980.0
