,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,39706.0,25411.0
A5-e003Coalescence-mBHI-inoculumn-redo,92081.0,58611.0
A5-e003Coalescence-mGAM-p3,66060.0,40674.0
D2-e003Coalescence-Inoculumn-mBHI,57254.0,35992.0
D2-e003Coalescence-mBHI-p3,113855.0,70964.0
D2-e003Coalescence-mGAM-p5,34435.0,21707.0
E5-e003Coalescence-mBHI-p3_S12,10025.0,5803.0
E5-e003Coalescence-mGAM-p3_S60,80640.0,49813.0
E5-e003Coalescence-mGAM-p5_S52,17904.0,10243.0
E5-e003Coalescence-mGAM-p7_S148,63360.0,38827.0
H2-e003Coalescence-mBHI-p3_S45,43643.0,27214.0
H2-e003Coalescence-mGAM-p3_S93,23530.0,14646.0
H2-e003Coalescence-mGAM-p7_S181,54003.0,33331.0
