,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,16799.0,16504.0
B5-e003Coalescence-mBHI-p3,5043.0,5035.0
B5-e003Coalescence-mBHI-p5,3590.0,3969.0
B5-e003Coalescence-mBHI-p7,5404.0,5520.0
B5-e003Coalescence-mGAM-p3,11285.0,11295.0
B5-e003Coalescence-mGAM-p5,6713.0,6310.0
D3-e003Coalescence-Inoculumn-mBHI,43136.0,42620.0
D3-e003Coalescence-mBHI-p5,2171.0,2292.0
D3-e003Coalescence-mGAM-p3,10685.0,10337.0
D3-e003Coalescence-mGAM-p5,11294.0,10925.0
F5-e003Coalescence-mBHI-p3_S24,6096.0,6460.0
F5-e003Coalescence-mBHI-p5_S16,2830.0,2968.0
F5-e003Coalescence-mBHI-p7_S112,4853.0,4996.0
F5-e003Coalescence-mGAM-p3_S72,7456.0,7170.0
F5-e003Coalescence-mGAM-p5_S64,7175.0,6999.0
F5-e003Coalescence-mGAM-p7_S160,2518.0,2419.0
H3-e003Coalescence-mBHI-p3_S46,9037.0,9417.0
H3-e003Coalescence-mBHI-p5_S38,3285.0,3283.0
H3-e003Coalescence-mGAM-p3_S94,6204.0,5763.0
H3-e003Coalescence-mGAM-p5_S86,4172.0,4065.0
H3-e003Coalescence-mGAM-p7_S182,4030.0,3827.0
