,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,10306,9893
A3-e003Coalescence-mBHI-p1_S724,10347,9946
A3-e003Coalescence-mBHI-p3,10343,9938
A3-e003Coalescence-mBHI-p7,10343,9905
A3-e003Coalescence-mGAM-p1_S728,10340,9932
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,10300,9930
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,10353,9939
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,10191,9763
B2-e003Coalescence-Inoculumn-mBHI,9415,8880
B2-e003Coalescence-mBHI-p1_S717,10344,9944
B2-e003Coalescence-mBHI-p3,10351,9944
B2-e003Coalescence-mBHI-p5,10320,9934
B2-e003Coalescence-mBHI-p7,10194,9883
B2-e003Coalescence-mGAM-p3,10357,9943
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,10354,9947
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,10355,9949
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,10223,9576
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,10174,9907
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,10321,9877
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,10320,9851
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,10327,9908
E3-e003Coalescence-mBHI-p1_S788,10341,9939
E3-e003Coalescence-mBHI-p3_S10,10164,9888
E3-e003Coalescence-mBHI-p5_S2,10152,9887
E3-e003Coalescence-mGAM-p1_S792,3580,3702
E3-e003Coalescence-mGAM-p3_S58,10336,9889
E3-e003Coalescence-mGAM-p5_S50,10323,9841
E3-e003Coalescence-mGAM-p7_S146,10278,9658
F2-e003Coalescence-mBHI-p1_S781,10347,9942
F2-e003Coalescence-mBHI-p3_S21,10135,9888
F2-e003Coalescence-mBHI-p5_S13,10159,9899
F2-e003Coalescence-mGAM-p1_S785,10306,9921
F2-e003Coalescence-mGAM-p5_S61,9145,8178
F2-e003Coalescence-mGAM-p7_S157,10271,9653
