,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,159,1421
A5-e003Coalescence-mBHI-inoculumn-redo,258,2094
A5-e003Coalescence-mBHI-p1_S740,221,1749
A5-e003Coalescence-mBHI-p7,153,1228
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,253,2066
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,227,1862
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,265,2161
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,264,2136
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,175,1420
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,203,1578
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,226,1786
D2-e003Coalescence-Inoculumn-mBHI,243,2011
D2-e003Coalescence-mBHI-p1_S719,170,1388
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,201,1755
E5-e003Coalescence-mBHI-p1_S804,204,1695
H2-e003Coalescence-mBHI-p1_S783,229,1762
