,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B3-e003Assembly-mBHI-p5,0.7790858541893362,0.07117122618466049
A9-e003Coalescence-mBHI-p5,0.29510000000000003,0.2722611138251099
D5-e003Coalescence-Inoculumn-mBHI,0.03763329706202393,0.9025874450415242
B2-e003Coalescence-mGAM-p3,0.8002486398258976,0.06931619443087444
B3-e003Coalescence-Inoculumn-mBHI,0.9993762785636562,0.000193942354665364
A8-e003Coalescence-mBHI-p5,0.2924764961915125,0.2856907669760625
C2-e003Assembly-mBHI-p5,0.2864667029379761,0.27775
D9-e003Coalescence-mBHI-p3,0.2883715995647443,0.24353663898387884
D5-e003Assembly-mBHI-p5,0.0017202393906420024,0.9860709574987786
A5-e003Coalescence-mBHI-p7,0.21118335146898803,0.4670010991695164
D2-e003Coalescence-mGAM-p5,0.06026507072905332,0.8423379335613093
B9-e003Assembly-mGAM-p5,0.29553503808487486,0.25002576941866145
D3-e003Coalescence-mGAM-p3,0.15431360174102285,0.8035699804592086
D9-e003Coalescence-mGAM-p3,0.18088944504896626,0.15674364924279433
D3-e003Coalescence-mGAM-p5,0.09618052230685527,0.8827695407914021
A5-e003Coalescence-mBHI-inoculumn-redo,0.1488258977149075,0.6195980703468491
D2-e003Assembly-mBHI-p5,0.29016898803046787,0.28133524670249144
B9-e003Coalescence-mGAM-p7,0.18733677910772578,0.15799951148021496
B11-e003Coalescence-mGAM-p7,0.2662869423286181,0.2264113336590132
B5-e003Coalescence-mBHI-p7,0.02112165397170838,0.9738574743527112
A4-e003Coalescence-mBHI-p5,0.2921164309031556,0.28403395212506105
B3-e003Coalescence-mBHI-p7,0.6827549510337323,0.11222374206155349
A10-e003Coalescence-mBHI-p7,0.29450380848748636,0.2860059843673669
B9-e003Coalescence-mBHI-p5,0.3053665941240478,0.26157462139716653
B10-e003Coalescence-mBHI-p3,0.302910119695321,0.25757144601856374
A2-e003Coalescence-mGAM-p7,0.2894830250272035,0.27853566194430873
C5-e003Assembly-mBHI-p3,0.2872018498367791,0.28403260869565217
E3-e004Assembly-mGAM-p5,0.2798906420021762,0.2788168050806058
C3-e003GlycerolRevival-mBHI-p2,0.3017463547334059,0.25645285784074257
B10-e003Coalescence-mGAM-p7,0.3020967355821545,0.25697471910112357
A9-e003Coalescence-mBHI-p7,0.2966562568008705,0.27517379091353195
B3-e003Coalescence-Inoculumn-mGAM,0.2984739934711643,0.25798497801660963
D5-e003Coalescence-mGAM-p3,0.03760054406964091,0.8991574255007327
