,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C9-e003Coalescence-mGAM-p3,7957,6072
C9-e003Coalescence-mGAM-p7,2656,2035
B2-e003Coalescence-mBHI-p3,8143,6200
A8-e003Coalescence-mBHI-p3,7974,6165
A4-e003Coalescence-mBHI-p7,8111,6189
B4-e003Coalescence-mBHI-p5,7024,5142
A3-e003Coalescence-mBHI-p7,7787,5919
B9-e003Coalescence-mGAM-p5,8034,6105
A4-e003Coalescence-mBHI-inoculumn-redo,3366,2995
B3-e003Coalescence-mBHI-p3,7779,5910
D4-e003Coalescence-mBHI-p5,8074,6177
C2-e003Coalescence-mBHI-p5,8078,6187
B3-e004Assembly-mBHI-p7,7687,5961
D4-e003Coalescence-mBHI-p3,7840,5922
C4-e003GlycerolRevival-mBHI-p2,7643,5866
C3-e004Assembly-mBHI-p5,7669,5955
B2-e003Coalescence-mBHI-p5,8123,6199
B8-e003Assembly-mGAM-p5,7109,5471
B12-e003Coalescence-mBHI-p3,7969,6072
C8-e003Assembly-mGAM-p3,7715,5927
C3-e003Coalescence-mGAM-p3,7749,5906
D3-e003Coalescence-Inoculumn-mBHI,8115,6154
C3-e003Coalescence-mBHI-p7,5386,3898
B8-e003Coalescence-mBHI-p5,8154,6202
C2-e003Coalescence-mGAM-p7,8109,6193
D3-e003Coalescence-mBHI-p5,8121,6195
B11-e003Coalescence-mGAM-p3,8051,6114
B5-e003Assembly-mBHI-p5,8073,6167
D2-e003Coalescence-mBHI-p5,8085,6167
D5-e003Coalescence-mGAM-p5,8101,6186
B5-e003Coalescence-mBHI-p5,8090,6185
D5-e003Coalescence-mBHI-p7,8110,6182
C9-e003Coalescence-mBHI-p5,8009,6083
A10-e003Coalescence-mBHI-p3,7199,5738
A5-e003Coalescence-mGAM-p3,8125,6194
D8-e003Coalescence-mGAM-p5,5256,4312
A12-e003Coalescence-mGAM-p3,5397,4560
C2-e003Coalescence-mBHI-p3,8103,6196
D9-e003Coalescence-mGAM-p7,8027,6086
D4-e003Coalescence-mBHI-p7,8061,6128
D8-e003Assembly-mGAM-p3,7705,5897
B10-e003Coalescence-mGAM-p3,8014,6104
A9-e003Coalescence-mGAM-p7,8131,6195
B5-e003Coalescence-Inoculumn-mGAM,7786,5883
D5-e003Coalescence-mBHI-p3,8079,6135
C5-e003Coalescence-mBHI-p3,8143,6195
D9-e003Coalescence-mGAM-p5,5092,3757
C9-e003Coalescence-mBHI-p3,8032,6104
C8-e003Coalescence-mBHI-p7,8075,6190
B4-e003Coalescence-mGAM-p5,7719,5879
D4-e003Coalescence-mGAM-p5,8098,6180
C3-e004Assembly-mBHI-p7,7660,5938
B5-e003Coalescence-mGAM-p5,4190,2816
B5-e003Coalescence-Inoculumn-mBHI,8099,6132
C2-e003Coalescence-mGAM-p3,7531,5892
B5-e003Coalescence-mGAM-p7,5441,3856
D8-e003Coalescence-mBHI-p5,8087,6195
