,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C9-e003Coalescence-mGAM-p3,8932,7983
C9-e003Coalescence-mGAM-p7,2948,2745
B2-e003Coalescence-mBHI-p3,9159,8181
A8-e003Coalescence-mBHI-p3,9083,8105
A4-e003Coalescence-mBHI-p7,9151,8149
B4-e003Coalescence-mBHI-p5,7605,6886
A3-e003Coalescence-mBHI-p7,9145,8174
B9-e003Coalescence-mGAM-p5,9054,8057
A4-e003Coalescence-mBHI-inoculumn-redo,4310,3857
B3-e003Coalescence-mBHI-p3,9162,8176
D4-e003Coalescence-mBHI-p5,9174,8169
C2-e003Coalescence-mBHI-p5,9115,8105
B3-e004Assembly-mBHI-p7,8734,7859
D4-e003Coalescence-mBHI-p3,8899,7867
C4-e003GlycerolRevival-mBHI-p2,8654,7733
C3-e004Assembly-mBHI-p5,8711,7850
B2-e003Coalescence-mBHI-p5,9147,8165
B8-e003Assembly-mGAM-p5,8088,7205
B12-e003Coalescence-mBHI-p3,8963,7996
C8-e003Assembly-mGAM-p3,8754,7791
C3-e003Coalescence-mGAM-p3,9104,8161
D3-e003Coalescence-Inoculumn-mBHI,9189,8186
C3-e003Coalescence-mBHI-p7,5893,5023
B8-e003Coalescence-mBHI-p5,9189,8188
C2-e003Coalescence-mGAM-p7,9133,8155
D3-e003Coalescence-mBHI-p5,9183,8185
B11-e003Coalescence-mGAM-p3,9066,8064
B5-e003Assembly-mBHI-p5,9152,8147
D2-e003Coalescence-mBHI-p5,9045,8040
D5-e003Coalescence-mGAM-p5,9181,8177
B5-e003Coalescence-mBHI-p5,9181,8171
D5-e003Coalescence-mBHI-p7,9184,8181
C9-e003Coalescence-mBHI-p5,9021,8024
A10-e003Coalescence-mBHI-p3,8442,7514
A5-e003Coalescence-mGAM-p3,9155,8146
D8-e003Coalescence-mGAM-p5,6770,5732
A12-e003Coalescence-mGAM-p3,6594,5859
C2-e003Coalescence-mBHI-p3,9113,8140
D9-e003Coalescence-mGAM-p7,9035,8019
D4-e003Coalescence-mBHI-p7,9113,8081
D8-e003Assembly-mGAM-p3,8711,7778
B10-e003Coalescence-mGAM-p3,9027,8060
A9-e003Coalescence-mGAM-p7,9174,8171
B5-e003Coalescence-Inoculumn-mGAM,8779,7749
D5-e003Coalescence-mBHI-p3,9121,8101
C5-e003Coalescence-mBHI-p3,9187,8173
D9-e003Coalescence-mGAM-p5,5679,4957
C9-e003Coalescence-mBHI-p3,9041,8049
C8-e003Coalescence-mBHI-p7,9111,8126
B4-e003Coalescence-mGAM-p5,9013,8137
D4-e003Coalescence-mGAM-p5,9180,8178
C3-e004Assembly-mBHI-p7,8693,7844
B5-e003Coalescence-mGAM-p5,4216,3565
B5-e003Coalescence-Inoculumn-mBHI,9190,8183
C2-e003Coalescence-mGAM-p3,8706,7745
B5-e003Coalescence-mGAM-p7,6172,5124
D8-e003Coalescence-mBHI-p5,9114,8127
B10-e003Coalescence-mBHI-p5,9028,8033
B3-e004Assembly-mBHI-p5,8633,7799
B5-e003Coalescence-mBHI-p3,9178,8183
C5-e003Coalescence-mBHI-inoculumn-redo,9189,8179
