,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B3-e003Coalescence-Inoculumn-mGAM,1905,1847
C4-e003Coalescence-Inoculumn-mGAM,1905,1847
B10-e003Coalescence-mGAM-p3,1402,1350
B4-e003Coalescence-Inoculumn-mGAM,1901,1839
C3-e003Coalescence-Inoculumn-mGAM,1864,1808
C9-e003Coalescence-mGAM-p3,1653,1581
C9-e003Coalescence-mGAM-p5,1526,1488
F100-e003Coalescence-mGAM-p5_S67,1357,1354
F100-e003Coalescence-mGAM-p7_S163,1899,1844
G9-e003Coalescence-mGAM-p3_S178,1846,1796
G9-e003Coalescence-mGAM-p5_S78,1448,1424
G9-e003Coalescence-mGAM-p7_S174,1046,1057
