,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C10-e003Assembly-mGAM-p3,0.23118450301683074,0.26268406727615323
B10-e003Coalescence-mBHI-p5,0.9889647507145125,0.0
D5-e003Coalescence-Inoculumn-mGAM,0.9979358526516354,0.0
F2-e004Assembly-epsilon-p3,0.6974436328993331,0.7198687975434434
B3-e004Assembly-mBHI-p5,0.5972530962210225,0.6378672621955475
B5-e003Coalescence-mBHI-p3,0.9436328993331217,0.0
G4-e004Assembly-epsilon-p5,0.48777389647507147,0.5036638983878847
C4-e003Coalescence-mGAM-p5,0.6599714194982534,0.7449926722032242
C5-e003Coalescence-mGAM-p7,0.7090346141632264,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.5042870752619879,0.0
A2-e003Coalescence-mBHI-p7,0.0,0.9661525577500174
A10-e003Coalescence-mBHI-p5,7.939028262940616e-05,0.6985135040826296
A4-e003Coalescence-mGAM-p5,0.9963480469990473,0.0
D5-e003Coalescence-mBHI-p5,0.6539377580184186,0.7457603461511619
D3-e003Assembly-mBHI-p3,0.6208320101619562,0.6210482238816386
D4-e003Coalescence-mGAM-p7,0.909495077802477,0.0
A8-e003Coalescence-mBHI-p7,0.0,0.9946960709051573
E3-e004Assembly-mGAM-p7,0.6922832645284217,0.7312443296810663
B9-e003GlycerolRevival-mGAM-p2,0.897189583994919,0.0
C4-e003Coalescence-mGAM-p3,0.645046046363925,0.7359201619094144
B2-e003Coalescence-Inoculumn-mGAM,0.01611622737376945,0.002303021843813246
D5-e003Coalescence-mGAM-p7,0.7946173388377262,0.0
C5-e003Coalescence-mBHI-p5,0.886233724992061,0.0
C5-e003Coalescence-mGAM-p3,0.6965703397904096,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.24325182597650047,0.730406867192407
D9-e003Assembly-mGAM-p5,0.45411241664020324,0.4698862446786238
B12-e003Coalescence-mGAM-p3,0.9936487773896475,0.0
A11-e003Coalescence-mBHI-p7,0.9915846300412829,0.0
A3-e003Coalescence-Inoculumn-mGAM,0.0940774849158463,0.03573173284946612
D10-e003Assembly-mGAM-p3,0.4032232454747539,0.45830134691883595
C3-e003Coalescence-mGAM-p5,0.6638615433470944,0.7465280200990997
B4-e004Assembly-mBHI-p5,0.7020482692918387,0.7383627608346709
C10-e003GlycerolRevival-mGAM-p2,0.6252778659892029,0.7103077674645824
D3-e003Assembly-mBHI-p5,0.5667672276913306,0.539186265615186
A10-e003Coalescence-mGAM-p3,0.04295014290250873,0.7468071742619862
A9-e003Coalescence-mBHI-p3,0.9396633852016513,0.0
A2-e003Coalescence-Inoculumn-mBHI,0.0,0.9900202386768092
D3-e003Coalescence-mBHI-p7,0.995315973324865,0.0
C3-e003Coalescence-mBHI-p5,0.6625119085423944,0.7475748482099239
D11-e003Assembly-mGAM-p3,0.9353763099396634,0.00020936562216484055
D2-e003Assembly-mBHI-p3,7.939028262940616e-05,0.8084304557191709
B3-e003Assembly-mBHI-p5,0.6626706891076533,0.7462488659362133
A9-e003Coalescence-mBHI-p5,0.8131152746903779,0.0
D5-e003Coalescence-Inoculumn-mBHI,0.9932518259765005,0.0
B2-e003Coalescence-mGAM-p3,0.6272626230549381,0.7446437294996162
B4-e003Assembly-mBHI-p3,0.5581930771673547,0.6705282992532626
C11-e003Coalescence-mGAM-p5,0.664179104477612,0.00020936562216484055
B3-e003Coalescence-Inoculumn-mBHI,0.6638615433470944,0.7454811919882756
A8-e003Coalescence-mBHI-p5,0.0,0.9808779398422779
D5-e004Assembly-mGAM-p7,0.5481899015560495,0.6404494382022472
C2-e003Assembly-mBHI-p5,0.0077802476976818035,0.7272663828599344
D9-e003Coalescence-mBHI-p3,0.959749126706891,0.0
D5-e003Assembly-mBHI-p5,0.9820577961257542,0.0
A5-e003Coalescence-mBHI-p7,0.899333121625913,0.00013957708144322702
G2-e004Assembly-epsilon-p3,0.6792632581771991,0.7053527810733478
D2-e003Coalescence-mGAM-p5,0.9960304858685297,0.0
B9-e003Assembly-mGAM-p5,0.9173547157827882,0.1379021564659083
D3-e003Coalescence-mGAM-p3,0.6688631311527469,0.0009770395701025891
D9-e003Coalescence-mGAM-p3,0.9942045093680534,0.0
E2-e004Assembly-mGAM-p7,0.48142267386471893,0.5419080187033289
D3-e003Coalescence-mGAM-p5,0.6639409336297237,0.0
C10-e003Coalescence-mGAM-p3,0.6617180057161004,0.74610928885477
A5-e003Coalescence-mBHI-inoculumn-redo,0.04033026357573833,0.0
B11-e003Assembly-mGAM-p3,0.9580025404890441,0.0
D2-e003Assembly-mBHI-p5,0.001905366783105748,0.7598576313769279
B9-e003Coalescence-mGAM-p7,0.9954747538901239,0.0
B11-e003Coalescence-mGAM-p7,0.9857891394093363,0.0
C3-e003Coalescence-Inoculumn-mGAM,0.6616386154334709,0.00020936562216484055
B5-e003Coalescence-mBHI-p7,0.9955541441727532,0.0
A3-e003Coalescence-mGAM-p7,0.6233724992060972,0.7463884430176565
D4-e003Coalescence-Inoculumn-mBHI,0.49706255954271195,0.0
A4-e003Coalescence-mBHI-p5,0.6608447126071769,0.7443645753367297
B3-e003Coalescence-mBHI-p7,0.6635439822165767,0.7475748482099239
C2-e004Assembly-mBHI-p7,0.697205462051445,0.7305464442738502
D10-e003Coalescence-mGAM-p7,0.6618767862813592,0.7315932723846744
C12-e003Coalescence-mGAM-p3,0.6630676405208002,0.0661595366040896
C11-e003Coalescence-mGAM-p3,0.6632264210860591,0.0
D5-e004Assembly-mGAM-p3,0.3043029533185138,0.31907320817921697
A10-e003Coalescence-mBHI-p7,0.0,0.7472259055063158
C10-e003Coalescence-mBHI-p7,0.6632264210860591,0.7473654825877591
B9-e003Coalescence-mBHI-p5,0.9798348682121308,0.0
B10-e003Coalescence-mBHI-p3,0.9804699904731661,0.0
C11-e003Coalescence-mBHI-p5,0.6619561765639885,0.0
A2-e003Coalescence-mGAM-p7,0.0,0.987368274129388
C5-e003Assembly-mBHI-p3,0.9274372816767228,0.14125200642054575
F5-e004Assembly-epsilon-p3,0.5532708796443315,0.6461720985414195
E3-e004Assembly-mGAM-p5,0.669657033979041,0.7094005164352013
E2-e004Assembly-mGAM-p5,0.456414734836456,0.5206923023239584
C3-e003GlycerolRevival-mBHI-p2,0.5915369958717053,0.5726847651615605
D10-e003Coalescence-mGAM-p3,0.6636233724992061,0.2804801451601647
B10-e003Coalescence-mGAM-p7,0.7185614480787551,0.015004536255146904
C4-e004Assembly-mBHI-p3,0.693712289615751,0.730406867192407
A9-e003Coalescence-mBHI-p7,0.9961892664337885,0.0
C2-e003Coalescence-Inoculumn-mGAM,0.016671959352175292,0.7404564170563194
B3-e003Coalescence-Inoculumn-mGAM,0.9928548745633534,0.0
D11-e003Coalescence-mGAM-p7,0.9938869482375358,0.0
D5-e003Coalescence-mGAM-p3,0.9936487773896475,0.0
E5-e004Assembly-mGAM-p3,0.5688313750396952,0.6560820713238886
D2-e003Coalescence-Inoculumn-mBHI,0.15536678310574786,0.0
B4-e003Coalescence-Inoculumn-mGAM,0.6617180057161004,0.0
F2-e004Assembly-epsilon-p7,0.6349634804699905,0.6576872077604857
A10-e003Coalescence-mGAM-p7,0.14655446173388378,0.7445739409588945
B2-e003Assembly-mBHI-p3,0.0,0.9540791402051783
D9-e003Coalescence-mBHI-p5,0.9960304858685297,0.0
C4-e003Coalescence-Inoculumn-mGAM,0.6574309304541124,0.7394793774862167
D4-e003Coalescence-mGAM-p3,0.8154175928866306,0.0
B9-e003Coalescence-mBHI-p7,0.9936487773896475,0.0
A2-e003Coalescence-mGAM-p5,0.0,0.9957428990159816
D11-e003Assembly-mGAM-p5,0.9519688790092092,0.0
C3-e003Coalescence-mGAM-p7,0.6632264210860591,0.7470863284248727
B11-e003GlycerolRevival-mGAM-p2,0.9432359479199746,0.0
C5-e004Assembly-mBHI-p7,0.6397268974277548,0.668644008653779
B3-e003Coalescence-mGAM-p5,0.6637027627818355,0.7465280200990997
D9-e003Coalescence-mBHI-p7,0.9950778024769769,0.0
G5-e004Assembly-epsilon-p5,0.6410765322324548,0.7372461441831252
B10-e003Assembly-mGAM-p3,0.43370911400444584,0.4931258287389211
D3-e004Assembly-mGAM-p5,0.5440616068593204,0.5927838648893852
C5-e003Coalescence-mBHI-p7,0.9885677993013655,0.0
D12-e003Coalescence-mBHI-p3,0.9906319466497301,0.0
D4-e004Assembly-mGAM-p7,0.6477453159733249,0.6765999022960429
C11-e003Coalescence-mGAM-p7,0.6621943474118768,0.00027915416288645404
C11-e003Assembly-mGAM-p3,0.9760241346459193,0.0
D10-e003Coalescence-mBHI-p7,0.8706732295966974,0.0
C9-e003Coalescence-mBHI-p7,0.9926167037154652,0.0
A2-e003Coalescence-mBHI-p3,0.0,0.947100286133017
B8-e003Coalescence-mGAM-p5,0.988091457605589,0.0
C3-e004Assembly-mBHI-p3,0.6130517624642744,0.6493823714146137
C11-e003Assembly-mGAM-p5,0.9207684979358527,0.00013957708144322702
B10-e003GlycerolRevival-mGAM-p2,0.5061924420450937,0.5651476027636262
B3-e003Coalescence-mBHI-p5,0.6201174976182915,0.7436666899295136
C2-e003Coalescence-mBHI-inoculumn-redo,0.00992378532867577,0.6608974806336799
A8-e003Coalescence-mGAM-p7,0.0,0.9946960709051573
C11-e003GlycerolRevival-mGAM-p2,0.9540330263575738,0.0
B2-e003Coalescence-Inoculumn-mBHI,0.0580342966020959,0.7437364784702352
A11-e003Coalescence-mBHI-p5,0.9668942521435376,0.0
C10-e003Coalescence-mGAM-p5,0.6599714194982534,0.7422709191150813
C4-e003Assembly-mBHI-p5,0.6519530009526834,0.7337567171470445
C9-e003Assembly-mGAM-p5,0.6660844712607177,0.6084862865517482
A5-e003Coalescence-Inoculumn-mGAM,0.012464274372816768,0.00027915416288645404
A3-e003Coalescence-mBHI-p3,0.0007939028262940616,0.7468071742619862
AG-Fecal,0.7178469355350905,0.7477144252913671
D4-e003Coalescence-Inoculumn-mGAM,0.6051921244839632,0.08597948216902784
A2-e003Coalescence-mBHI-p5,0.0,0.991136855328355
B5-e004Assembly-mBHI-p5,0.6551286122578597,0.6886733198408821
G2-e004Assembly-epsilon-p5,0.6929183867894569,0.717216832996022
C5-e003Assembly-mBHI-p5,0.8306605271514766,0.03698792658245516
C10-e003Coalescence-mBHI-p5,0.662829469672912,0.6865796636192337
B9-e003Coalescence-mBHI-p3,0.9946014607812004,0.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.5020641473483646,0.6346569893223533
B5-e003Coalescence-mGAM-p3,0.6702921562400762,0.0
C3-e003Assembly-mBHI-p5,0.6172594474436329,0.6130923302393747
F2-e004Assembly-epsilon-p5,0.6853763099396634,0.705841300858399
