,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,12106,12275
C9-e003Coalescence-mGAM-p3,12108,12233
D2-e004Assembly-mGAM-p7,6642,6836
B5-e004Assembly-mBHI-p3,11845,11949
C11-e003Coalescence-mBHI-p3,12116,12288
D11-e003Coalescence-mBHI-p5,12113,12286
C9-e003Coalescence-mGAM-p7,12122,12286
C8-e003Coalescence-mGAM-p7,12110,12271
D10-e003Coalescence-mBHI-p3,12122,12294
F3-e004Assembly-epsilon-p3,9744,9867
B2-e003Coalescence-mBHI-p3,12092,12287
A8-e003Coalescence-mBHI-p3,12005,12271
A4-e003Coalescence-mBHI-p7,12077,12177
B4-e003Coalescence-mBHI-p5,4874,4527
A3-e003Coalescence-mBHI-p7,12128,12264
B9-e003Coalescence-mGAM-p5,12116,12276
A4-e003Coalescence-mBHI-inoculumn-redo,12128,12296
B3-e003Coalescence-mBHI-p3,12125,12274
D4-e003Coalescence-mBHI-p5,12022,12202
C2-e003Coalescence-mBHI-p5,12098,12194
B3-e004Assembly-mBHI-p7,11906,12030
B5-e004Assembly-mBHI-p7,11910,12005
D4-e003Coalescence-mBHI-p3,11979,12122
C4-e003GlycerolRevival-mBHI-p2,12103,12201
G5-e004Assembly-epsilon-p3,11877,12031
C5-e004Assembly-mBHI-p3,11469,11608
D10-e003Assembly-mGAM-p5,8510,8161
B2-e003Assembly-mBHI-p5,11772,12162
C3-e004Assembly-mBHI-p5,11949,12076
B2-e003Coalescence-mBHI-p5,12098,12265
B8-e003Assembly-mGAM-p5,7127,7896
C4-e003Coalescence-mGAM-p7,12076,12129
B12-e003Coalescence-mBHI-p3,11959,12161
D3-e004Assembly-mGAM-p7,11944,12083
C8-e003Assembly-mGAM-p3,10581,10989
C3-e003Coalescence-mGAM-p3,12116,12259
B4-e003Assembly-mBHI-p5,12118,12272
D4-e004Assembly-mGAM-p5,10831,10990
D3-e003Coalescence-Inoculumn-mBHI,12131,12300
C3-e003Coalescence-mBHI-p7,12116,12250
D11-e003Coalescence-mGAM-p5,12094,12258
A11-e003Coalescence-mGAM-p7,12010,12195
B8-e003Coalescence-mBHI-p5,12113,12286
B10-e003Assembly-mGAM-p5,10221,9970
C2-e003Coalescence-mGAM-p7,12119,12265
D3-e003Coalescence-mBHI-p5,12067,12241
B11-e003Coalescence-mGAM-p3,12116,12287
C4-e003Coalescence-mBHI-inoculumn-redo,12117,12249
B5-e003Assembly-mBHI-p5,11991,12177
D2-e003Coalescence-mBHI-p5,11625,11775
D8-e003Assembly-mGAM-p5,9924,10345
D5-e003Coalescence-mGAM-p5,12013,12164
B5-e003Coalescence-mBHI-p5,12036,12188
D5-e003Coalescence-mBHI-p7,12042,12225
C9-e003Coalescence-mBHI-p5,12106,12283
A10-e003Coalescence-mBHI-p3,11767,11851
A5-e003Coalescence-mGAM-p3,11999,12185
A2-e003Coalescence-Inoculumn-mGAM,12132,12305
E5-e004Assembly-mGAM-p5,11979,12126
D8-e003Coalescence-mGAM-p5,12105,12282
A12-e003Coalescence-mGAM-p3,12019,12177
C2-e003Coalescence-mBHI-p3,12123,12249
C4-e004Assembly-mBHI-p5,11889,11997
D9-e003Coalescence-mGAM-p7,12080,12261
D4-e003Coalescence-mBHI-p7,12048,12224
D8-e003Assembly-mGAM-p3,7346,7982
E3-e004Assembly-mGAM-p3,11860,11938
B10-e003Coalescence-mGAM-p3,12079,12185
A9-e003Coalescence-mGAM-p7,11826,12010
B5-e003Coalescence-Inoculumn-mGAM,12009,12155
D10-e003Coalescence-mBHI-p5,12110,12283
D5-e003Coalescence-mBHI-p3,12100,12264
C5-e003Coalescence-mBHI-p3,11712,11798
D9-e003Coalescence-mGAM-p5,12111,12284
C9-e003Coalescence-mBHI-p3,12115,12281
D10-e003Coalescence-mGAM-p5,12123,12241
C8-e003Coalescence-mBHI-p7,12126,12297
B11-e003Assembly-mGAM-p5,11711,11910
G3-e004Assembly-epsilon-p7,11322,11443
B4-e003Coalescence-mGAM-p5,12092,12166
D4-e003Coalescence-mGAM-p5,12100,12269
C3-e004Assembly-mBHI-p7,11907,12032
B5-e003Coalescence-mGAM-p5,12080,12236
B5-e003Coalescence-Inoculumn-mBHI,12106,12265
G3-e004Assembly-epsilon-p3,9755,9806
C2-e003Coalescence-mGAM-p3,12070,12179
B5-e003Coalescence-mGAM-p7,11837,11944
D8-e003Coalescence-mBHI-p5,12097,12272
F5-e004Assembly-epsilon-p5,11373,11565
E5-e004Assembly-mGAM-p7,11980,12128
C10-e003Assembly-mGAM-p3,4185,3895
B10-e003Coalescence-mBHI-p5,12114,12274
D5-e003Coalescence-Inoculumn-mGAM,11840,11941
F2-e004Assembly-epsilon-p3,11738,11850
B3-e004Assembly-mBHI-p5,11765,11826
B5-e003Coalescence-mBHI-p3,12088,12256
G4-e004Assembly-epsilon-p5,8054,8059
C4-e003Coalescence-mGAM-p5,12084,12170
C5-e003Coalescence-mGAM-p7,12014,12193
C5-e003Coalescence-mBHI-inoculumn-redo,12131,12304
A2-e003Coalescence-mBHI-p7,11559,11921
A10-e003Coalescence-mBHI-p5,12114,12294
A4-e003Coalescence-mGAM-p5,12102,12263
D5-e003Coalescence-mBHI-p5,12120,12243
D3-e003Assembly-mBHI-p3,11289,11386
D4-e003Coalescence-mGAM-p7,12037,12221
A8-e003Coalescence-mBHI-p7,11990,12243
E3-e004Assembly-mGAM-p7,11731,11869
B9-e003GlycerolRevival-mGAM-p2,10802,10923
C4-e003Coalescence-mGAM-p3,12112,12217
B2-e003Coalescence-Inoculumn-mGAM,11989,12154
D5-e003Coalescence-mGAM-p7,9482,9562
C5-e003Coalescence-mBHI-p5,12122,12286
C5-e003Coalescence-mGAM-p3,12109,12286
A3-e003Coalescence-mBHI-inoculumn-redo,11580,11680
D9-e003Assembly-mGAM-p5,7630,7746
B12-e003Coalescence-mGAM-p3,12013,12193
A11-e003Coalescence-mBHI-p7,12025,12211
A3-e003Coalescence-Inoculumn-mGAM,11520,11850
D10-e003Assembly-mGAM-p3,7391,7156
C3-e003Coalescence-mGAM-p5,12120,12224
B4-e004Assembly-mBHI-p5,11873,11998
C10-e003GlycerolRevival-mGAM-p2,11929,11985
D3-e003Assembly-mBHI-p5,11589,11699
A10-e003Coalescence-mGAM-p3,12119,12271
A9-e003Coalescence-mBHI-p3,12108,12287
A2-e003Coalescence-Inoculumn-mBHI,11887,12193
D3-e003Coalescence-mBHI-p7,12104,12273
C3-e003Coalescence-mBHI-p5,12111,12238
D11-e003Assembly-mGAM-p3,11301,11563
D2-e003Assembly-mBHI-p3,11978,12261
B3-e003Assembly-mBHI-p5,12084,12175
A9-e003Coalescence-mBHI-p5,12077,12233
D5-e003Coalescence-Inoculumn-mBHI,12117,12285
B2-e003Coalescence-mGAM-p3,12072,12107
B4-e003Assembly-mBHI-p3,11992,12031
C11-e003Coalescence-mGAM-p5,12129,12296
B3-e003Coalescence-Inoculumn-mBHI,12115,12193
A8-e003Coalescence-mBHI-p5,11971,12276
D5-e004Assembly-mGAM-p7,11977,12134
C2-e003Assembly-mBHI-p5,8689,9682
D9-e003Coalescence-mBHI-p3,11620,11825
D5-e003Assembly-mBHI-p5,11880,12045
A5-e003Coalescence-mBHI-p7,11644,11895
G2-e004Assembly-epsilon-p3,11651,11757
D2-e003Coalescence-mGAM-p5,12094,12252
B9-e003Assembly-mGAM-p5,11297,11481
D3-e003Coalescence-mGAM-p3,12033,12153
D9-e003Coalescence-mGAM-p3,12046,12220
E2-e004Assembly-mGAM-p7,8544,8612
D3-e003Coalescence-mGAM-p5,12122,12293
C10-e003Coalescence-mGAM-p3,12101,12233
A5-e003Coalescence-mBHI-inoculumn-redo,12047,12233
B11-e003Assembly-mGAM-p3,11568,11763
D2-e003Assembly-mBHI-p5,11831,12125
B9-e003Coalescence-mGAM-p7,12059,12223
B11-e003Coalescence-mGAM-p7,11924,12121
C3-e003Coalescence-Inoculumn-mGAM,12092,12243
B5-e003Coalescence-mBHI-p7,12094,12254
A3-e003Coalescence-mGAM-p7,12108,12212
D4-e003Coalescence-Inoculumn-mBHI,12132,12305
A4-e003Coalescence-mBHI-p5,12100,12213
