,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B5-e003Coalescence-mBHI-p3,0.8280000000000001,0.9892205293776272
G4-e004Assembly-epsilon-p5,0.20117973905426254,0.15
C4-e003Coalescence-mGAM-p5,0.01418960066016641,0.00967518595189488
C5-e003Coalescence-mGAM-p7,0.875,0.806
C5-e003Coalescence-mBHI-inoculumn-redo,0.391,0.305
A2-e003Coalescence-mBHI-p7,0.03929427875123005,0.04081755777401311
A10-e003Coalescence-mBHI-p5,0.006385320297074884,0.004353833678352697
A4-e003Coalescence-mGAM-p5,0.868,0.9905076303474627
D5-e003Coalescence-mBHI-p5,0.004602032646540457,0.0031378981465605017
D3-e003Assembly-mBHI-p3,0.06705991301808752,0.963029033541629
D4-e003Coalescence-mGAM-p7,0.722,0.9906472240188235
A8-e003Coalescence-mBHI-p7,-0.0,0.0020133334928798597
E3-e004Assembly-mGAM-p7,0.8,0.02072943196465931
B9-e003GlycerolRevival-mGAM-p2,0.948917437623401,0.9731736013405321
C4-e003Coalescence-mGAM-p3,0.010216512475319815,0.006966133885364314
B2-e003Coalescence-Inoculumn-mGAM,0.333,0.516
D5-e003Coalescence-mGAM-p7,0.9752062720761989,0.9162475775137355
C5-e003Coalescence-mBHI-p5,0.872,0.9942703714709911
C5-e003Coalescence-mGAM-p3,0.75,0.836
A3-e003Coalescence-mBHI-inoculumn-redo,0.03192660148537442,0.02176916839176348
D9-e003Assembly-mGAM-p5,0.8691013240179779,0.5
B12-e003Coalescence-mGAM-p3,0.9914175557186843,0.9795912211129935
A11-e003Coalescence-mBHI-p7,0.808,0.9801253510400001
A3-e003Coalescence-Inoculumn-mGAM,0.4,0.571
D10-e003Assembly-mGAM-p3,,0.7521998492302706
C3-e003Coalescence-mGAM-p5,0.006385320297074884,0.004353833678352697
B4-e004Assembly-mBHI-p5,0.75,0.788
C10-e003GlycerolRevival-mGAM-p2,0.02043302495063963,0.094
D3-e003Assembly-mBHI-p5,0.594,0.758
A10-e003Coalescence-mGAM-p3,0.0049117848439037565,0.003349102829502074
A9-e003Coalescence-mBHI-p3,0.831,0.9958158633768421
A2-e003Coalescence-Inoculumn-mBHI,-0.0,0.016743002740686366
D3-e003Coalescence-mBHI-p7,0.914,0.9933053814029474
C3-e003Coalescence-mBHI-p5,0.007194727095295644,0.004905728088284728
D11-e003Assembly-mGAM-p3,0.923642439010487,0.9776446677837767
D2-e003Assembly-mBHI-p3,-0.0,0.092
B3-e003Assembly-mBHI-p5,0.012770640594149767,0.008707667356705393
A9-e003Coalescence-mBHI-p5,0.836,0.95
D5-e003Coalescence-Inoculumn-mBHI,0.884,0.9947869773219672
B2-e003Coalescence-mGAM-p3,0.010425012729918179,0.007108299883024811
B4-e003Assembly-mBHI-p3,0.012459161555268066,0.106
C11-e003Coalescence-mGAM-p5,0.26,0.188
B3-e003Coalescence-Inoculumn-mBHI,0.007194727095295644,0.004905728088284728
A8-e003Coalescence-mBHI-p5,-0.0,0.00655096606249593
D5-e004Assembly-mGAM-p7,0.010425012729918179,0.444
C2-e003Assembly-mBHI-p5,0.05675840264066564,0.15
D9-e003Coalescence-mBHI-p3,0.934550662008989,0.9956696698702546
D5-e003Assembly-mBHI-p5,0.9902981064645996,0.994558124219391
A5-e003Coalescence-mBHI-p7,0.692,0.75
G2-e004Assembly-epsilon-p3,0.455,0.354
D2-e003Coalescence-mGAM-p5,0.994810615085716,0.9852095635646513
B9-e003Assembly-mGAM-p5,0.30800000000000005,0.21399999999999997
D3-e003Coalescence-mGAM-p3,0.7875000000000001,0.6755
D9-e003Coalescence-mGAM-p3,0.9,0.9861741572452175
E2-e004Assembly-mGAM-p7,,0.13018173435352012
D3-e003Coalescence-mGAM-p5,0.59,0.726
C10-e003Coalescence-mGAM-p3,0.007624263041283444,0.005198607377137548
A5-e003Coalescence-mBHI-inoculumn-redo,0.474,0.765
B11-e003Assembly-mGAM-p3,0.934550662008989,0.9751209504094132
D2-e003Assembly-mBHI-p5,-0.0,0.4765
B9-e003Coalescence-mGAM-p7,0.85,0.9828111144129731
B11-e003Coalescence-mGAM-p7,0.9923053947822686,0.9849890320255915
C3-e003Coalescence-Inoculumn-mGAM,0.649,0.586
B5-e003Coalescence-mBHI-p7,0.885,0.9855457098472729
A3-e003Coalescence-mGAM-p7,0.007624263041283444,0.005198607377137548
D4-e003Coalescence-Inoculumn-mBHI,0.199,0.311
A4-e003Coalescence-mBHI-p5,0.008658061419762554,0.005903503292681622
B3-e003Coalescence-mBHI-p7,0.006997611284465626,0.00726888015153658
C2-e004Assembly-mBHI-p7,0.765,0.9730795784865578
D10-e003Coalescence-mGAM-p7,0.0022804715346696016,0.016
C12-e003Coalescence-mGAM-p3,0.0835,0.108
C11-e003Coalescence-mGAM-p3,0.298,0.1635
D5-e004Assembly-mGAM-p3,,0.7588468361772791
A10-e003Coalescence-mBHI-p7,0.005939832834488264,0.005061838037881924
C10-e003Coalescence-mBHI-p7,0.0035229353363171773,0.0024021151328842464
B9-e003Coalescence-mBHI-p5,0.887,0.9954245412466187
B10-e003Coalescence-mBHI-p3,0.882,0.9912878251134247
C11-e003Coalescence-mBHI-p5,0.799,0.88
A2-e003Coalescence-mGAM-p7,-0.0,0.012340191885166753
C5-e003Assembly-mBHI-p3,0.4275,0.28600000000000003
F5-e004Assembly-epsilon-p3,0.011104904864478059,0.629
E3-e004Assembly-mGAM-p5,0.9820335150612911,0.008535648456036186
E2-e004Assembly-mGAM-p5,0.7988202609457374,0.18086487286704067
C3-e003GlycerolRevival-mBHI-p2,0.9886877687422944,0.98904563956789
D10-e003Coalescence-mGAM-p3,0.159,0.035
B10-e003Coalescence-mGAM-p7,0.83905620875659,0.9246228197623619
C4-e004Assembly-mBHI-p3,0.701,0.63
A9-e003Coalescence-mBHI-p7,0.901,0.9959747546410127
C2-e003Coalescence-Inoculumn-mGAM,0.09999999999999998,0.01741272285031382
B3-e003Coalescence-Inoculumn-mGAM,0.875,0.75
D11-e003Coalescence-mGAM-p7,0.8,0.9889452447695382
D5-e003Coalescence-mGAM-p3,0.881,0.9899049402107937
E5-e004Assembly-mGAM-p3,0.07048390245185808,0.688
D2-e003Coalescence-Inoculumn-mBHI,0.667,0.6910000000000001
B4-e003Coalescence-Inoculumn-mGAM,0.576,0.492
F2-e004Assembly-epsilon-p7,0.429,0.571
A10-e003Coalescence-mGAM-p7,0.009459733773444272,0.0064501239679299206
B2-e003Assembly-mBHI-p3,-0.0,0.009475504483253043
D9-e003Coalescence-mBHI-p5,0.815,0.9884365678778182
C4-e003Coalescence-Inoculumn-mGAM,0.019647139375615026,0.013396411318008295
D4-e003Coalescence-mGAM-p3,0.857,0.99006267552
B9-e003Coalescence-mBHI-p7,0.852,0.9861741572452175
A2-e003Coalescence-mGAM-p5,-0.0,0.008843804184369506
D11-e003Assembly-mGAM-p5,0.6835,0.9420175536633554
C3-e003Coalescence-mGAM-p7,0.0021923846513561833,0.0014948785161725995
