,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,12578,14296
C9-e003Coalescence-mGAM-p3,12549,14273
D2-e004Assembly-mGAM-p7,6969,8036
B5-e004Assembly-mBHI-p3,12266,13885
C11-e003Coalescence-mBHI-p3,12590,14310
D11-e003Coalescence-mBHI-p5,12593,14321
C9-e003Coalescence-mGAM-p7,12577,14317
C8-e003Coalescence-mGAM-p7,12554,14291
D10-e003Coalescence-mBHI-p3,12589,14322
F3-e004Assembly-epsilon-p3,10156,11590
B2-e003Coalescence-mBHI-p3,12535,14303
A8-e003Coalescence-mBHI-p3,12476,14303
A4-e003Coalescence-mBHI-p7,12507,14248
B4-e003Coalescence-mBHI-p5,5012,5485
A3-e003Coalescence-mBHI-p7,12573,14310
B9-e003Coalescence-mGAM-p5,12595,14304
A4-e003Coalescence-mBHI-inoculumn-redo,12587,14326
B3-e003Coalescence-mBHI-p3,12573,14302
D4-e003Coalescence-mBHI-p5,12528,14227
C2-e003Coalescence-mBHI-p5,12545,14260
B3-e004Assembly-mBHI-p7,12331,14000
B5-e004Assembly-mBHI-p7,12343,13967
D4-e003Coalescence-mBHI-p3,12463,14096
C4-e003GlycerolRevival-mBHI-p2,12545,14259
G5-e004Assembly-epsilon-p3,12324,13995
C5-e004Assembly-mBHI-p3,11898,13491
D10-e003Assembly-mGAM-p5,8756,9903
B2-e003Assembly-mBHI-p5,12201,14175
C3-e004Assembly-mBHI-p5,12361,14047
B2-e003Coalescence-mBHI-p5,12545,14303
B8-e003Assembly-mGAM-p5,7457,9277
C4-e003Coalescence-mGAM-p7,12504,14213
B12-e003Coalescence-mBHI-p3,12496,14166
D3-e004Assembly-mGAM-p7,12374,14083
C8-e003Assembly-mGAM-p3,10991,12846
C3-e003Coalescence-mGAM-p3,12565,14303
B4-e003Assembly-mBHI-p5,12573,14305
D4-e004Assembly-mGAM-p5,11188,12774
D3-e003Coalescence-Inoculumn-mBHI,12595,14329
C3-e003Coalescence-mBHI-p7,12554,14294
D11-e003Coalescence-mGAM-p5,12578,14291
A11-e003Coalescence-mGAM-p7,12512,14192
B8-e003Coalescence-mBHI-p5,12592,14314
B10-e003Assembly-mGAM-p5,10525,12021
C2-e003Coalescence-mGAM-p7,12563,14298
D3-e003Coalescence-mBHI-p5,12572,14258
B11-e003Coalescence-mGAM-p3,12592,14318
C4-e003Coalescence-mBHI-inoculumn-redo,12570,14306
B5-e003Assembly-mBHI-p5,12516,14134
D2-e003Coalescence-mBHI-p5,12122,13647
D8-e003Assembly-mGAM-p5,10275,12070
D5-e003Coalescence-mGAM-p5,12502,14160
B5-e003Coalescence-mBHI-p5,12531,14189
D5-e003Coalescence-mBHI-p7,12541,14248
C9-e003Coalescence-mBHI-p5,12591,14317
A10-e003Coalescence-mBHI-p3,12185,13969
A5-e003Coalescence-mGAM-p3,12502,14175
A2-e003Coalescence-Inoculumn-mGAM,12596,14329
E5-e004Assembly-mGAM-p5,12436,14108
D8-e003Coalescence-mGAM-p5,12580,14299
A12-e003Coalescence-mGAM-p3,12517,14139
C2-e003Coalescence-mBHI-p3,12573,14304
C4-e004Assembly-mBHI-p5,12326,13967
D9-e003Coalescence-mGAM-p7,12578,14288
D4-e003Coalescence-mBHI-p7,12546,14226
D8-e003Assembly-mGAM-p3,7543,9331
E3-e004Assembly-mGAM-p3,12266,13933
B10-e003Coalescence-mGAM-p3,12516,14255
A9-e003Coalescence-mGAM-p7,12336,13985
B5-e003Coalescence-Inoculumn-mGAM,12521,14175
D10-e003Coalescence-mBHI-p5,12590,14303
D5-e003Coalescence-mBHI-p3,12574,14271
C5-e003Coalescence-mBHI-p3,12184,13662
D9-e003Coalescence-mGAM-p5,12590,14316
C9-e003Coalescence-mBHI-p3,12591,14305
D10-e003Coalescence-mGAM-p5,12568,14305
C8-e003Coalescence-mBHI-p7,12587,14327
B11-e003Assembly-mGAM-p5,12248,13767
G3-e004Assembly-epsilon-p7,11731,13397
B4-e003Coalescence-mGAM-p5,12524,14241
D4-e003Coalescence-mGAM-p5,12580,14286
C3-e004Assembly-mBHI-p7,12334,14010
B5-e003Coalescence-mGAM-p5,12550,14239
B5-e003Coalescence-Inoculumn-mBHI,12584,14310
G3-e004Assembly-epsilon-p3,10155,11506
C2-e003Coalescence-mGAM-p3,12508,14248
B5-e003Coalescence-mGAM-p7,12324,13922
D8-e003Coalescence-mBHI-p5,12582,14288
F5-e004Assembly-epsilon-p5,11841,13457
E5-e004Assembly-mGAM-p7,12430,14119
C10-e003Assembly-mGAM-p3,4271,4926
