,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
G3-e004Assembly-epsilon-p3,0.21605600434985242,0.1895450555479358
C2-e003Coalescence-mGAM-p3,0.3301271555072238,0.2501441503223152
B5-e003Coalescence-mGAM-p7,0.03872681373310548,0.8764794266904403
D8-e003Coalescence-mBHI-p5,0.000513515612863135,0.9972435879851872
F5-e004Assembly-epsilon-p5,0.3068150535963959,0.21578068852009324
E5-e004Assembly-mGAM-p7,0.29993249961162033,0.23419345768756
C10-e003Assembly-mGAM-p3,0.10738690383719124,0.08156549170209847
B10-e003Coalescence-mBHI-p5,0.0007407954015845892,0.9977671101357839
D5-e003Coalescence-Inoculumn-mGAM,0.0003929625601988505,0.9755944314908791
F2-e004Assembly-epsilon-p3,0.2656017554761535,0.2398590042518173
B3-e004Assembly-mBHI-p5,0.2618606493708249,0.22803531751474423
B5-e003Coalescence-mBHI-p3,0.0037683703588628245,0.9876468934302565
G4-e004Assembly-epsilon-p5,0.17324770855988816,0.1535427239061857
C4-e003Coalescence-mGAM-p5,0.3297620009321112,0.24944877245919628
C5-e003Coalescence-mGAM-p7,0.05464906012117446,0.8593197092305582
C5-e003Coalescence-mBHI-inoculumn-redo,0.2294721143389778,0.46988904128377457
A2-e003Coalescence-mBHI-p7,0.9522040546838589,0.0006198738170347003
A10-e003Coalescence-mBHI-p5,0.6394340531303403,0.13175003428884927
A4-e003Coalescence-mGAM-p5,0.0004976697219201492,0.9967490742010698
D5-e003Coalescence-mBHI-p5,0.33156214074879603,0.2510961459333425
D3-e003Assembly-mBHI-p3,0.24334394904458598,0.22711226169249762
D4-e003Coalescence-mGAM-p7,0.005493319869504428,0.9827777396790565
A8-e003Coalescence-mBHI-p7,0.9867599036818393,0.0007418735427239062
E3-e004Assembly-mGAM-p7,0.25827675935995026,0.2251971608832808
B9-e003GlycerolRevival-mGAM-p2,0.0004408886127077831,0.8773630503360307
C4-e003Coalescence-mGAM-p3,0.33170405468385894,0.2501803593471403
B2-e003Coalescence-Inoculumn-mGAM,0.4191510020195743,0.5455519818954876
D5-e003Coalescence-mGAM-p7,0.00036057169488892344,0.781263132629269
C5-e003Coalescence-mBHI-p5,0.004759282274351408,0.987586407900151
C5-e003Coalescence-mGAM-p3,0.03407301537983532,0.9163615416266631
A3-e003Coalescence-mBHI-inoculumn-redo,0.4433141991610999,0.18962776025236594
D9-e003Assembly-mGAM-p5,0.16957278235202733,0.14466726100672064
B12-e003Coalescence-mGAM-p3,0.00038154419760758117,0.9899227129337539
A11-e003Coalescence-mBHI-p7,0.0005829578996426908,0.9917544232615554
A3-e003Coalescence-Inoculumn-mGAM,0.3943050334006525,0.512319297764367
D10-e003Assembly-mGAM-p3,0.1938825539847755,0.15063578384309423
C3-e003Coalescence-mGAM-p5,0.33160292061519336,0.2510874365656289
B4-e004Assembly-mBHI-p5,0.27501002019574333,0.23549355369633795
C10-e003GlycerolRevival-mGAM-p2,0.3245693646108435,0.2469826498422713
D3-e003Assembly-mBHI-p5,0.24906843249961164,0.2511169249759978
A10-e003Coalescence-mGAM-p3,0.38562117446015226,0.2297593608558497
A9-e003Coalescence-mBHI-p3,0.0018695044275283518,0.9967478398024963
A2-e003Coalescence-Inoculumn-mBHI,0.9997797110455181,0.000809765464271019
D3-e003Coalescence-mBHI-p7,0.0005941432344259747,0.99810046632835
C3-e003Coalescence-mBHI-p5,0.3317117446015225,0.2513651076669867
D11-e003Assembly-mGAM-p3,0.0014753767282895758,0.8939919078315732
D2-e003Assembly-mBHI-p3,0.906252679819792,0.024151282402962555
B3-e003Assembly-mBHI-p5,0.3302603697374553,0.24949423947332328
A9-e003Coalescence-mBHI-p5,0.014195976386515456,0.9789091345494445
D5-e003Coalescence-Inoculumn-mBHI,0.0006259903681839367,0.9977177341928406
B2-e003Coalescence-mGAM-p3,0.33034394904458597,0.24728322589493898
B4-e003Assembly-mBHI-p3,0.324374786391176,0.2445209161980524
C11-e003Coalescence-mGAM-p5,0.2578229765418673,0.40938218351392125
B3-e003Coalescence-Inoculumn-mBHI,0.33078343949044586,0.25082862433136743
A8-e003Coalescence-mBHI-p5,0.9869286934907566,0.0013978192291866686
D5-e004Assembly-mGAM-p7,0.2979102066179897,0.23585468385680977
C2-e003Assembly-mBHI-p5,0.6348511729066335,0.02743834864901934
D9-e003Coalescence-mBHI-p3,0.000508233649215473,0.961136263886984
D5-e003Assembly-mBHI-p5,0.0005873077520584123,0.9752992730763955
