,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A9-e003Coalescence-mBHI-p3,13061,14655
A2-e003Coalescence-Inoculumn-mBHI,12690,14355
D3-e003Coalescence-mBHI-p7,13051,14642
C3-e003Coalescence-mBHI-p5,12965,14673
D11-e003Assembly-mGAM-p3,12327,13443
D2-e003Assembly-mBHI-p3,12777,14432
B3-e003Assembly-mBHI-p5,12926,14653
A9-e003Coalescence-mBHI-p5,13036,14590
D5-e003Coalescence-Inoculumn-mBHI,13059,14657
B2-e003Coalescence-mGAM-p3,12829,14638
B4-e003Assembly-mBHI-p3,12815,14577
C11-e003Coalescence-mGAM-p5,13056,14693
B3-e003Coalescence-Inoculumn-mBHI,12955,14668
A8-e003Coalescence-mBHI-p5,12803,14433
D5-e004Assembly-mGAM-p7,12841,14467
C2-e003Assembly-mBHI-p5,9937,11323
D9-e003Coalescence-mBHI-p3,12571,14058
D5-e003Assembly-mBHI-p5,12865,14314
A5-e003Coalescence-mBHI-p7,12696,13995
G2-e004Assembly-epsilon-p3,12449,13994
D2-e003Coalescence-mGAM-p5,13041,14613
B9-e003Assembly-mGAM-p5,12414,13090
D3-e003Coalescence-mGAM-p3,12920,14513
D9-e003Coalescence-mGAM-p3,13020,14574
E2-e004Assembly-mGAM-p7,9119,10322
D3-e003Coalescence-mGAM-p5,13065,14690
C10-e003Coalescence-mGAM-p3,12996,14665
A5-e003Coalescence-mBHI-inoculumn-redo,12999,14559
B11-e003Assembly-mGAM-p3,12557,13986
D2-e003Assembly-mBHI-p5,12709,14343
B9-e003Coalescence-mGAM-p7,13022,14588
B11-e003Coalescence-mGAM-p7,12920,14442
C3-e003Coalescence-Inoculumn-mGAM,12996,14629
B5-e003Coalescence-mBHI-p7,13039,14615
A3-e003Coalescence-mGAM-p7,12957,14665
D4-e003Coalescence-Inoculumn-mBHI,13067,14694
A4-e003Coalescence-mBHI-p5,12948,14648
B3-e003Coalescence-mBHI-p7,12983,14674
C2-e004Assembly-mBHI-p7,12639,14231
D10-e003Coalescence-mGAM-p7,12989,14677
C12-e003Coalescence-mGAM-p3,12966,14628
C11-e003Coalescence-mGAM-p3,13058,14692
D5-e004Assembly-mGAM-p3,5493,6144
A10-e003Coalescence-mBHI-p7,12909,14580
C10-e003Coalescence-mBHI-p7,12997,14681
B9-e003Coalescence-mBHI-p5,13059,14670
B10-e003Coalescence-mBHI-p3,13052,14609
C11-e003Coalescence-mBHI-p5,13067,14688
A2-e003Coalescence-mGAM-p7,12661,14282
C5-e003Assembly-mBHI-p3,12516,13503
F5-e004Assembly-epsilon-p3,12721,14334
E3-e004Assembly-mGAM-p5,12715,14365
E2-e004Assembly-mGAM-p5,8661,9836
C3-e003GlycerolRevival-mBHI-p2,12203,13759
D10-e003Coalescence-mGAM-p3,13002,14675
B10-e003Coalescence-mGAM-p7,10569,11716
C4-e004Assembly-mBHI-p3,12759,14337
A9-e003Coalescence-mBHI-p7,13059,14672
C2-e003Coalescence-Inoculumn-mGAM,12768,14479
B3-e003Coalescence-Inoculumn-mGAM,12975,14543
D11-e003Coalescence-mGAM-p7,13004,14557
D5-e003Coalescence-mGAM-p3,12990,14594
E5-e004Assembly-mGAM-p3,12328,13862
D2-e003Coalescence-Inoculumn-mBHI,12967,14502
B4-e003Coalescence-Inoculumn-mGAM,13048,14672
F2-e004Assembly-epsilon-p7,11372,12780
A10-e003Coalescence-mGAM-p7,12894,14632
B2-e003Assembly-mBHI-p3,12594,14269
D9-e003Coalescence-mBHI-p5,13040,14617
C4-e003Coalescence-Inoculumn-mGAM,13067,14694
