,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,12336,12231
C9-e003Coalescence-mGAM-p3,12337,12205
D2-e004Assembly-mGAM-p7,6731,6817
B5-e004Assembly-mBHI-p3,12068,11912
C11-e003Coalescence-mBHI-p3,12347,12239
D11-e003Coalescence-mBHI-p5,12347,12240
C9-e003Coalescence-mGAM-p7,12351,12244
C8-e003Coalescence-mGAM-p7,12343,12227
D10-e003Coalescence-mBHI-p3,12354,12248
F3-e004Assembly-epsilon-p3,9927,9865
B2-e003Coalescence-mBHI-p3,12317,12244
A8-e003Coalescence-mBHI-p3,12202,12214
A4-e003Coalescence-mBHI-p7,12314,12187
B4-e003Coalescence-mBHI-p5,4958,4563
A3-e003Coalescence-mBHI-p7,12365,12259
B9-e003Coalescence-mGAM-p5,12346,12227
A4-e003Coalescence-mBHI-inoculumn-redo,12365,12256
B3-e003Coalescence-mBHI-p3,12365,12258
D4-e003Coalescence-mBHI-p5,12249,12163
C2-e003Coalescence-mBHI-p5,12342,12196
B3-e004Assembly-mBHI-p7,12130,11982
B5-e004Assembly-mBHI-p7,12147,11962
D4-e003Coalescence-mBHI-p3,12201,12070
C4-e003GlycerolRevival-mBHI-p2,12337,12206
G5-e004Assembly-epsilon-p3,12083,11980
C5-e004Assembly-mBHI-p3,11684,11572
D10-e003Assembly-mGAM-p5,8666,8177
B2-e003Assembly-mBHI-p5,11977,12114
C3-e004Assembly-mBHI-p5,12171,12023
B2-e003Coalescence-mBHI-p5,12334,12228
B8-e003Assembly-mGAM-p5,7237,7844
C4-e003Coalescence-mGAM-p7,12306,12130
B12-e003Coalescence-mBHI-p3,12172,12109
D3-e004Assembly-mGAM-p7,12173,12040
C8-e003Assembly-mGAM-p3,10722,10919
C3-e003Coalescence-mGAM-p3,12353,12244
B4-e003Assembly-mBHI-p5,12352,12237
D4-e004Assembly-mGAM-p5,11024,10963
D3-e003Coalescence-Inoculumn-mBHI,12362,12255
C3-e003Coalescence-mBHI-p7,12357,12239
D11-e003Coalescence-mGAM-p5,12322,12207
A11-e003Coalescence-mGAM-p7,12236,12147
B8-e003Coalescence-mBHI-p5,12341,12241
B10-e003Assembly-mGAM-p5,10405,9953
C2-e003Coalescence-mGAM-p7,12353,12248
