,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,13382,15173
C9-e003Coalescence-mGAM-p3,13287,15143
D2-e004Assembly-mGAM-p7,7348,8329
B5-e004Assembly-mBHI-p3,12933,14715
C11-e003Coalescence-mBHI-p3,13391,15190
D11-e003Coalescence-mBHI-p5,13396,15189
C9-e003Coalescence-mGAM-p7,13375,15197
C8-e003Coalescence-mGAM-p7,13315,15176
D10-e003Coalescence-mBHI-p3,13394,15199
F3-e004Assembly-epsilon-p3,10697,12195
B2-e003Coalescence-mBHI-p3,13269,15108
A8-e003Coalescence-mBHI-p3,13121,14948
A4-e003Coalescence-mBHI-p7,13242,15126
B4-e003Coalescence-mBHI-p5,4855,5734
A3-e003Coalescence-mBHI-p7,13362,15201
B9-e003Coalescence-mGAM-p5,13393,15172
A4-e003Coalescence-mBHI-inoculumn-redo,13391,15204
B3-e003Coalescence-mBHI-p3,13368,15196
D4-e003Coalescence-mBHI-p5,13316,15062
C2-e003Coalescence-mBHI-p5,13272,15139
B3-e004Assembly-mBHI-p7,13060,14853
B5-e004Assembly-mBHI-p7,13002,14796
D4-e003Coalescence-mBHI-p3,13219,14949
C4-e003GlycerolRevival-mBHI-p2,13286,15142
G5-e004Assembly-epsilon-p3,13023,14814
C5-e004Assembly-mBHI-p3,12558,14270
D10-e003Assembly-mGAM-p5,8807,10510
B2-e003Assembly-mBHI-p5,12940,14796
C3-e004Assembly-mBHI-p5,13084,14899
B2-e003Coalescence-mBHI-p5,13300,15163
B8-e003Assembly-mGAM-p5,8251,9518
C4-e003Coalescence-mGAM-p7,13199,15105
B12-e003Coalescence-mBHI-p3,13269,14954
D3-e004Assembly-mGAM-p7,13106,14942
C8-e003Assembly-mGAM-p3,11648,13358
C3-e003Coalescence-mGAM-p3,13346,15181
B4-e003Assembly-mBHI-p5,13340,15180
D4-e004Assembly-mGAM-p5,11822,13449
D3-e003Coalescence-Inoculumn-mBHI,13399,15208
C3-e003Coalescence-mBHI-p7,13312,15180
D11-e003Coalescence-mGAM-p5,13376,15155
A11-e003Coalescence-mGAM-p7,13294,15022
B8-e003Coalescence-mBHI-p5,13393,15178
B10-e003Assembly-mGAM-p5,10863,12772
C2-e003Coalescence-mGAM-p7,13339,15181
D3-e003Coalescence-mBHI-p5,13368,15108
B11-e003Coalescence-mGAM-p3,13396,15189
C4-e003Coalescence-mBHI-inoculumn-redo,13400,15208
B5-e003Assembly-mBHI-p5,13289,14961
D2-e003Coalescence-mBHI-p5,12852,14436
D8-e003Assembly-mGAM-p5,10938,12553
D5-e003Coalescence-mGAM-p5,13290,15013
B5-e003Coalescence-mBHI-p5,13315,15046
D5-e003Coalescence-mBHI-p7,13346,15085
C9-e003Coalescence-mBHI-p5,13390,15190
A10-e003Coalescence-mBHI-p3,12855,14771
A5-e003Coalescence-mGAM-p3,13305,14986
A2-e003Coalescence-Inoculumn-mGAM,12890,14732
E5-e004Assembly-mGAM-p5,13127,14939
D8-e003Coalescence-mGAM-p5,13383,15157
A12-e003Coalescence-mGAM-p3,13306,14983
C2-e003Coalescence-mBHI-p3,13333,15190
C4-e004Assembly-mBHI-p5,12989,14749
D9-e003Coalescence-mGAM-p7,13370,15124
D4-e003Coalescence-mBHI-p7,13340,15094
D8-e003Assembly-mGAM-p3,8291,9556
E3-e004Assembly-mGAM-p3,12964,14795
B10-e003Coalescence-mGAM-p3,13248,15121
A9-e003Coalescence-mGAM-p7,13121,14810
B5-e003Coalescence-Inoculumn-mGAM,13284,15000
D10-e003Coalescence-mBHI-p5,13391,15174
D5-e003Coalescence-mBHI-p3,13370,15129
C5-e003Coalescence-mBHI-p3,12850,14423
D9-e003Coalescence-mGAM-p5,13394,15178
C9-e003Coalescence-mBHI-p3,13383,15172
D10-e003Coalescence-mGAM-p5,13334,15188
C8-e003Coalescence-mBHI-p7,13370,15201
B11-e003Assembly-mGAM-p5,13012,14543
G3-e004Assembly-epsilon-p7,12416,14199
B4-e003Coalescence-mGAM-p5,13246,15138
D4-e003Coalescence-mGAM-p5,13380,15161
C3-e004Assembly-mBHI-p7,13065,14869
B5-e003Coalescence-mGAM-p5,13338,15089
B5-e003Coalescence-Inoculumn-mBHI,13370,15179
G3-e004Assembly-epsilon-p3,10696,12165
C2-e003Coalescence-mGAM-p3,13250,15117
B5-e003Coalescence-mGAM-p7,12978,14680
D8-e003Coalescence-mBHI-p5,13380,15153
F5-e004Assembly-epsilon-p5,12505,14211
E5-e004Assembly-mGAM-p7,13139,14957
C10-e003Assembly-mGAM-p3,4224,5264
B10-e003Coalescence-mBHI-p5,13384,15162
D5-e003Coalescence-Inoculumn-mGAM,13051,14763
F2-e004Assembly-epsilon-p3,12882,14634
B3-e004Assembly-mBHI-p5,12819,14651
B5-e003Coalescence-mBHI-p3,13379,15129
G4-e004Assembly-epsilon-p5,8655,9884
C4-e003Coalescence-mGAM-p5,13256,15144
C5-e003Coalescence-mGAM-p7,13268,15019
C5-e003Coalescence-mBHI-inoculumn-redo,13400,15208
A2-e003Coalescence-mBHI-p7,12688,14440
A10-e003Coalescence-mBHI-p5,13335,15168
A4-e003Coalescence-mGAM-p5,13382,15149
D5-e003Coalescence-mBHI-p5,13316,15185
D3-e003Assembly-mBHI-p3,12344,14076
D4-e003Coalescence-mGAM-p7,13305,15078
