,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A9-e003Coalescence-mBHI-p3,13490,15102
A2-e003Coalescence-Inoculumn-mBHI,13096,14773
D3-e003Coalescence-mBHI-p7,13477,15098
C3-e003Coalescence-mBHI-p5,13401,15115
D11-e003Assembly-mGAM-p3,12695,13824
D2-e003Assembly-mBHI-p3,13182,14855
B3-e003Assembly-mBHI-p5,13348,15083
A9-e003Coalescence-mBHI-p5,13453,15048
D5-e003Coalescence-Inoculumn-mBHI,13495,15136
B2-e003Coalescence-mGAM-p3,13274,15077
B4-e003Assembly-mBHI-p3,13154,14942
C11-e003Coalescence-mGAM-p5,13480,15132
B3-e003Coalescence-Inoculumn-mBHI,13495,15136
A8-e003Coalescence-mBHI-p5,13212,14861
D5-e004Assembly-mGAM-p7,13241,14898
C2-e003Assembly-mBHI-p5,10228,11614
D9-e003Coalescence-mBHI-p3,12959,14471
D5-e003Assembly-mBHI-p5,13256,14727
A5-e003Coalescence-mBHI-p7,13080,14393
G2-e004Assembly-epsilon-p3,12834,14402
D2-e003Coalescence-mGAM-p5,13463,15058
B9-e003Assembly-mGAM-p5,12787,13446
D3-e003Coalescence-mGAM-p3,13339,14962
D9-e003Coalescence-mGAM-p3,13430,15001
E2-e004Assembly-mGAM-p7,9346,10524
D3-e003Coalescence-mGAM-p5,13491,15132
C10-e003Coalescence-mGAM-p3,13398,15099
A5-e003Coalescence-mBHI-inoculumn-redo,13420,14992
B11-e003Assembly-mGAM-p3,12941,14355
D2-e003Assembly-mBHI-p5,13110,14745
B9-e003Coalescence-mGAM-p7,13445,15033
B11-e003Coalescence-mGAM-p7,13328,14871
C3-e003Coalescence-Inoculumn-mGAM,13423,15062
B5-e003Coalescence-mBHI-p7,13461,15070
A3-e003Coalescence-mGAM-p7,13388,15096
D4-e003Coalescence-Inoculumn-mBHI,13495,15135
A4-e003Coalescence-mBHI-p5,13385,15087
B3-e003Coalescence-mBHI-p7,13410,15116
C2-e004Assembly-mBHI-p7,13032,14661
D10-e003Coalescence-mGAM-p7,13420,15120
C12-e003Coalescence-mGAM-p3,13393,15054
C11-e003Coalescence-mGAM-p3,13484,15134
D5-e004Assembly-mGAM-p3,5616,6301
A10-e003Coalescence-mBHI-p7,13328,15009
C10-e003Coalescence-mBHI-p7,13433,15122
B9-e003Coalescence-mBHI-p5,13487,15121
B10-e003Coalescence-mBHI-p3,13460,15053
C11-e003Coalescence-mBHI-p5,13493,15135
A2-e003Coalescence-mGAM-p7,12966,14612
C5-e003Assembly-mBHI-p3,12900,13858
F5-e004Assembly-epsilon-p3,13123,14749
E3-e004Assembly-mGAM-p5,13128,14780
E2-e004Assembly-mGAM-p5,8905,10073
C3-e003GlycerolRevival-mBHI-p2,12520,14090
D10-e003Coalescence-mGAM-p3,13426,15112
B10-e003Coalescence-mGAM-p7,10880,12053
C4-e004Assembly-mBHI-p3,13174,14755
A9-e003Coalescence-mBHI-p7,13487,15120
C2-e003Coalescence-Inoculumn-mGAM,13176,14912
B3-e003Coalescence-Inoculumn-mGAM,13382,14968
D11-e003Coalescence-mGAM-p7,13383,14968
D5-e003Coalescence-mGAM-p3,13337,14963
E5-e004Assembly-mGAM-p3,12709,14251
D2-e003Coalescence-Inoculumn-mBHI,13376,14936
B4-e003Coalescence-Inoculumn-mGAM,13465,15101
F2-e004Assembly-epsilon-p7,11723,13116
A10-e003Coalescence-mGAM-p7,13329,15065
B2-e003Assembly-mBHI-p3,12863,14551
D9-e003Coalescence-mBHI-p5,13473,15063
C4-e003Coalescence-Inoculumn-mGAM,13280,15003
D4-e003Coalescence-mGAM-p3,13472,15062
B9-e003Coalescence-mBHI-p7,13459,15052
A2-e003Coalescence-mGAM-p5,13197,14866
D11-e003Assembly-mGAM-p5,12747,14115
C3-e003Coalescence-mGAM-p7,13450,15128
B11-e003GlycerolRevival-mGAM-p2,12701,13995
C5-e004Assembly-mBHI-p7,11790,13321
B3-e003Coalescence-mGAM-p5,13423,15116
D9-e003Coalescence-mBHI-p7,13430,15024
G5-e004Assembly-epsilon-p5,12803,14358
B10-e003Assembly-mGAM-p3,8338,9842
D3-e004Assembly-mGAM-p5,12982,14652
C5-e003Coalescence-mBHI-p7,13478,15099
D12-e003Coalescence-mBHI-p3,13359,14909
D4-e004Assembly-mGAM-p7,12236,13748
C11-e003Coalescence-mGAM-p7,13466,15123
C11-e003Assembly-mGAM-p3,13229,14707
D10-e003Coalescence-mBHI-p7,13463,15075
C9-e003Coalescence-mBHI-p7,13461,15028
A2-e003Coalescence-mBHI-p3,13080,14694
B8-e003Coalescence-mGAM-p5,13417,14986
C3-e004Assembly-mBHI-p3,12475,14092
C11-e003Assembly-mGAM-p5,12389,13547
B10-e003GlycerolRevival-mGAM-p2,9618,11396
B3-e003Coalescence-mBHI-p5,13421,15126
C2-e003Coalescence-mBHI-inoculumn-redo,13451,15116
A8-e003Coalescence-mGAM-p7,13168,14823
C11-e003GlycerolRevival-mGAM-p2,12747,14189
B2-e003Coalescence-Inoculumn-mBHI,13296,15020
A11-e003Coalescence-mBHI-p5,13481,15065
C10-e003Coalescence-mGAM-p5,13446,15129
C4-e003Assembly-mBHI-p5,13342,15050
C9-e003Assembly-mGAM-p5,12303,13826
A5-e003Coalescence-Inoculumn-mGAM,13298,14889
A3-e003Coalescence-mBHI-p3,13340,15017
AG-Fecal,13100,14675
D4-e003Coalescence-Inoculumn-mGAM,10100,11241
A2-e003Coalescence-mBHI-p5,13098,14752
B5-e004Assembly-mBHI-p5,13074,14703
G2-e004Assembly-epsilon-p5,12820,14402
C5-e003Assembly-mBHI-p5,11408,11235
C10-e003Coalescence-mBHI-p5,13435,15124
B9-e003Coalescence-mBHI-p3,13434,15036
