,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,12807,14575
C9-e003Coalescence-mGAM-p3,12774,14544
D2-e004Assembly-mGAM-p7,7062,8181
B5-e004Assembly-mBHI-p3,12471,14156
C11-e003Coalescence-mBHI-p3,12822,14592
D11-e003Coalescence-mBHI-p5,12827,14599
C9-e003Coalescence-mGAM-p7,12809,14596
C8-e003Coalescence-mGAM-p7,12789,14570
D10-e003Coalescence-mBHI-p3,12820,14599
F3-e004Assembly-epsilon-p3,10320,11784
B2-e003Coalescence-mBHI-p3,12764,14573
A8-e003Coalescence-mBHI-p3,12690,14571
A4-e003Coalescence-mBHI-p7,12733,14522
B4-e003Coalescence-mBHI-p5,5082,5550
A3-e003Coalescence-mBHI-p7,12807,14587
B9-e003Coalescence-mGAM-p5,12830,14587
A4-e003Coalescence-mBHI-inoculumn-redo,12819,14605
B3-e003Coalescence-mBHI-p3,12805,14581
D4-e003Coalescence-mBHI-p5,12756,14494
C2-e003Coalescence-mBHI-p5,12773,14531
B3-e004Assembly-mBHI-p7,12551,14259
B5-e004Assembly-mBHI-p7,12539,14220
D4-e003Coalescence-mBHI-p3,12691,14362
C4-e003GlycerolRevival-mBHI-p2,12771,14533
G5-e004Assembly-epsilon-p3,12548,14263
C5-e004Assembly-mBHI-p3,12113,13742
D10-e003Assembly-mGAM-p5,8884,10104
B2-e003Assembly-mBHI-p5,12418,14446
C3-e004Assembly-mBHI-p5,12586,14309
B2-e003Coalescence-mBHI-p5,12771,14575
B8-e003Assembly-mGAM-p5,7574,9447
C4-e003Coalescence-mGAM-p7,12733,14482
B12-e003Coalescence-mBHI-p3,12701,14389
D3-e004Assembly-mGAM-p7,12597,14345
C8-e003Assembly-mGAM-p3,11142,13058
C3-e003Coalescence-mGAM-p3,12796,14577
B4-e003Assembly-mBHI-p5,12805,14578
D4-e004Assembly-mGAM-p5,11369,12981
D3-e003Coalescence-Inoculumn-mBHI,12828,14606
C3-e003Coalescence-mBHI-p7,12786,14572
D11-e003Coalescence-mGAM-p5,12813,14570
