,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.5,0.4645
C11-e003Coalescence-mBHI-p3,0.606,0.44
D10-e003Coalescence-mBHI-p3,0.571,0.486
A4-e003Coalescence-mBHI-p7,0.667,0.25
A4-e003Coalescence-mBHI-inoculumn-redo,0.5,0.4145
D4-e003Coalescence-mBHI-p5,0.5900000000000001,0.429
C2-e003Coalescence-mBHI-p5,0.769,0.231
D4-e003Coalescence-mBHI-p3,0.39999999999999997,0.571
D10-e003Assembly-mGAM-p5,0.44399999999999995,0.8208240530771945
C3-e003Coalescence-mGAM-p3,0.44399999999999995,
B4-e003Assembly-mBHI-p5,0.18310204811135164,
C2-e003Coalescence-mGAM-p7,0.5,0.6
C4-e003Coalescence-mBHI-inoculumn-redo,0.0675775180180274,1.0
C9-e003Coalescence-mBHI-p5,0.5880000000000001,0.408
C2-e003Coalescence-mBHI-p3,0.741,0.207
D4-e003Coalescence-mBHI-p7,0.619,0.393
B10-e003Coalescence-mGAM-p3,0.625,0.375
D10-e003Coalescence-mBHI-p5,0.679,0.3265
C5-e003Coalescence-mBHI-p3,0.46199999999999997,0.4395
C9-e003Coalescence-mBHI-p3,0.531,0.455
D10-e003Coalescence-mGAM-p5,0.4945,0.5275000000000001
C8-e003Coalescence-mBHI-p7,0.571,0.5
B10-e003Coalescence-mBHI-p5,0.5860000000000001,0.4105
C4-e003Coalescence-mGAM-p5,0.611,0.6
C5-e003Coalescence-mBHI-inoculumn-redo,0.562,0.4465
AM-Fecal,0.15694461266687282,
C4-e003Coalescence-mGAM-p3,0.571,0.396
C5-e003Coalescence-mBHI-p5,0.484,0.512
C5-e003Coalescence-mGAM-p3,0.8430553873331272,0.15694461266687282
C3-e003Coalescence-mGAM-p5,0.4835,0.3365
C10-e003GlycerolRevival-mGAM-p2,0.655,0.385
C11-e003Coalescence-mGAM-p5,0.65,0.3955
C10-e003Coalescence-mGAM-p3,0.25,0.857
D4-e003Coalescence-Inoculumn-mBHI,0.752,0.32
A4-e003Coalescence-mBHI-p5,0.469,0.526
D10-e003Coalescence-mGAM-p7,0.5209999999999999,0.42300000000000004
C12-e003Coalescence-mGAM-p3,0.8168979518886483,0.375
C11-e003Coalescence-mGAM-p3,0.636,0.364
C10-e003Coalescence-mBHI-p7,0.41250000000000003,0.588
B10-e003Coalescence-mBHI-p3,0.569,0.429
C11-e003Coalescence-mBHI-p5,0.6799999999999999,0.3245
C4-e003Coalescence-Inoculumn-mGAM,1.0,0.0675775180180274
C3-e003Coalescence-mGAM-p7,0.395,0.6074999999999999
C5-e003Coalescence-mBHI-p7,0.685,0.328
C11-e003Coalescence-mGAM-p7,0.696,0.25
D10-e003Coalescence-mBHI-p7,0.706,0.273
C9-e003Coalescence-mBHI-p7,0.524,0.527
C2-e003Coalescence-mBHI-inoculumn-redo,,
C10-e003Coalescence-mGAM-p5,0.5449999999999999,0.4915
C10-e003Coalescence-mBHI-p5,0.5589999999999999,0.643
C3-e003Coalescence-mBHI-inoculumn-redo,0.954948321321315,0.020257950754883843
A4-e003Coalescence-mBHI-p3,,0.5329999999999999
C8-e003Coalescence-mBHI-p5,0.667,0.7760300663464932
B4-e003Coalescence-Inoculumn-mBHI,0.5,0.6495
C5-e003Coalescence-Inoculumn-mGAM,0.75,0.25
C4-e003Coalescence-mBHI-p5,0.75,0.415
A4-e003Coalescence-Inoculumn-mGAM,0.8335,0.39049999999999996
B4-e003Coalescence-mBHI-p3,0.40900000000000003,0.6
C10-e003Coalescence-mGAM-p7,0.611,0.447
C10-e003Coalescence-mBHI-p3,0.5860000000000001,0.3845
G5-e003Coalescence-mBHI-p7_S124,0.759,0.266
G4-e003Coalescence-mBHI-p5_S27,0.481,0.5045
G2-e003Coalescence-mBHI-p3_S33,0.606,0.41000000000000003
G111-e003Coalescence-mGAM-p5_S80,0.9324224819819726,0.030386926132325767
G100-e003Coalescence-mGAM-p3_S179,0.632,0.301
G111-e003Coalescence-mBHI-p5_S32,0.505,0.489
G5-e003Coalescence-mBHI-p3_S36,0.667,0.355
E100-e003Coalescence-mBHI-p7_S103,0.5,0.481
H100-e003Coalescence-mBHI-p5_S43,0.554,0.401
G3-e003Coalescence-mBHI-p3_S34,0.583,0.43
G100-e003Coalescence-mBHI-p5_S31,0.639,0.405
G3-e003Coalescence-mBHI-p5_S26,0.571,0.4165
G5-e003Coalescence-mBHI-p5_S28,0.5589999999999999,0.4145
G4-e003Coalescence-mBHI-p3_S35,0.8430553873331272,0.5355
E4-e003Coalescence-mBHI-p5_S3,0.598,0.3725
E4-e003Coalescence-mGAM-p5_S51,0.5,0.5
E8-e003Coalescence-mGAM-p3_S153,0.526,0.4425
G111-e003Coalescence-mGAM-p3_S180,0.6214999999999999,0.42000000000000004
E100-e003Coalescence-mBHI-p5_S7,0.15694461266687282,0.6155
G3-e003Coalescence-mBHI-p7_S122,0.727,0.022790194599244324
G4-e003Coalescence-mGAM-p5_S75,0.389,0.5854999999999999
G8-e003Coalescence-mBHI-p3_S129,0.348,0.581
G4-e003Coalescence-mGAM-p3_S83,0.5209999999999999,0.5665
F4-e003Coalescence-mBHI-p7_S111,-0.0,1.0
G4-e003Coalescence-mGAM-p7_S171,0.364,0.9420764131274051
F100-e003Coalescence-mBHI-p7_S115,0.5429999999999999,0.434
F100-e003Coalescence-mGAM-p3_S167,0.46299999999999997,0.4585
G4-e003Coalescence-mBHI-p7_S123,0.727,0.30300000000000005
H4-e003Coalescence-mBHI-p7_S135,0.569,0.487
G111-e003Coalescence-mBHI-p7_S128,0.42900000000000005,0.5
G3-e003Coalescence-mGAM-p3_S82,0.8168979518886483,
H4-e003Coalescence-mBHI-p3_S47,0.5860000000000001,0.433
F4-e003Coalescence-mBHI-p5_S15,0.30000000000000004,0.5914999999999999
F4-e003Coalescence-mBHI-p3_S23,0.13732653608351372,0.51
G100-e003Coalescence-mGAM-p5_S79,0.375,0.5
H100-e003Coalescence-mGAM-p5_S91,0.632,0.3055
G9-e003Coalescence-mBHI-p3_S130,0.46699999999999997,0.482
H4-e003Coalescence-mBHI-p5_S39,0.44599999999999995,0.53
