,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,2,6
C11-e003Coalescence-mBHI-p3,3,5
D10-e003Coalescence-mBHI-p3,3,6
A4-e003Coalescence-mBHI-p7,2,6
A4-e003Coalescence-mBHI-inoculumn-redo,2,6
D4-e003Coalescence-mBHI-p5,3,6
C2-e003Coalescence-mBHI-p5,3,6
D4-e003Coalescence-mBHI-p3,2,5
D10-e003Assembly-mGAM-p5,1,1
C3-e003Coalescence-mGAM-p3,1,0
B4-e003Assembly-mBHI-p5,1,0
C2-e003Coalescence-mGAM-p7,3,6
C4-e003Coalescence-mBHI-inoculumn-redo,3,6
C9-e003Coalescence-mBHI-p5,3,6
C2-e003Coalescence-mBHI-p3,3,3
D4-e003Coalescence-mBHI-p7,3,5
B10-e003Coalescence-mGAM-p3,3,4
D10-e003Coalescence-mBHI-p5,3,6
C5-e003Coalescence-mBHI-p3,3,6
C9-e003Coalescence-mBHI-p3,3,6
D10-e003Coalescence-mGAM-p5,2,6
C8-e003Coalescence-mBHI-p7,3,5
B10-e003Coalescence-mBHI-p5,3,6
C4-e003Coalescence-mGAM-p5,1,1
C5-e003Coalescence-mBHI-inoculumn-redo,3,6
AM-Fecal,1,0
C4-e003Coalescence-mGAM-p3,3,6
C5-e003Coalescence-mBHI-p5,3,6
C5-e003Coalescence-mGAM-p3,1,2
C3-e003Coalescence-mGAM-p5,2,2
C10-e003GlycerolRevival-mGAM-p2,3,6
C11-e003Coalescence-mGAM-p5,3,6
C10-e003Coalescence-mGAM-p3,2,2
D4-e003Coalescence-Inoculumn-mBHI,2,6
A4-e003Coalescence-mBHI-p5,3,6
D10-e003Coalescence-mGAM-p7,2,2
C12-e003Coalescence-mGAM-p3,1,3
C11-e003Coalescence-mGAM-p3,3,5
C10-e003Coalescence-mBHI-p7,2,5
B10-e003Coalescence-mBHI-p3,3,6
C11-e003Coalescence-mBHI-p5,3,6
C4-e003Coalescence-Inoculumn-mGAM,3,6
C3-e003Coalescence-mGAM-p7,2,2
C5-e003Coalescence-mBHI-p7,3,6
C11-e003Coalescence-mGAM-p7,3,5
D10-e003Coalescence-mBHI-p7,3,6
C9-e003Coalescence-mBHI-p7,3,6
C2-e003Coalescence-mBHI-inoculumn-redo,0,0
C10-e003Coalescence-mGAM-p5,3,6
C10-e003Coalescence-mBHI-p5,1,1
C3-e003Coalescence-mBHI-inoculumn-redo,2,6
A4-e003Coalescence-mBHI-p3,0,1
C8-e003Coalescence-mBHI-p5,1,1
B4-e003Coalescence-Inoculumn-mBHI,1,2
C5-e003Coalescence-Inoculumn-mGAM,3,6
C4-e003Coalescence-mBHI-p5,2,6
A4-e003Coalescence-Inoculumn-mGAM,2,2
B4-e003Coalescence-mBHI-p3,1,1
C10-e003Coalescence-mGAM-p7,3,6
C10-e003Coalescence-mBHI-p3,3,6
G5-e003Coalescence-mBHI-p7_S124,3,6
G4-e003Coalescence-mBHI-p5_S27,3,6
G2-e003Coalescence-mBHI-p3_S33,3,6
G111-e003Coalescence-mGAM-p5_S80,3,6
G100-e003Coalescence-mGAM-p3_S179,3,6
G111-e003Coalescence-mBHI-p5_S32,3,6
G5-e003Coalescence-mBHI-p3_S36,3,6
E100-e003Coalescence-mBHI-p7_S103,3,6
H100-e003Coalescence-mBHI-p5_S43,3,6
G3-e003Coalescence-mBHI-p3_S34,3,6
G100-e003Coalescence-mBHI-p5_S31,3,6
G3-e003Coalescence-mBHI-p5_S26,3,6
G5-e003Coalescence-mBHI-p5_S28,3,6
G4-e003Coalescence-mBHI-p3_S35,1,4
E4-e003Coalescence-mBHI-p5_S3,2,6
E4-e003Coalescence-mGAM-p5_S51,3,3
E8-e003Coalescence-mGAM-p3_S153,3,6
G111-e003Coalescence-mGAM-p3_S180,2,6
E100-e003Coalescence-mBHI-p5_S7,1,2
G3-e003Coalescence-mBHI-p7_S122,3,6
G4-e003Coalescence-mGAM-p5_S75,3,6
G8-e003Coalescence-mBHI-p3_S129,3,6
G4-e003Coalescence-mGAM-p3_S83,2,6
F4-e003Coalescence-mBHI-p7_S111,3,6
G4-e003Coalescence-mGAM-p7_S171,3,5
F100-e003Coalescence-mBHI-p7_S115,3,6
F100-e003Coalescence-mGAM-p3_S167,3,6
G4-e003Coalescence-mBHI-p7_S123,3,6
H4-e003Coalescence-mBHI-p7_S135,3,2
G111-e003Coalescence-mBHI-p7_S128,3,6
G3-e003Coalescence-mGAM-p3_S82,1,0
H4-e003Coalescence-mBHI-p3_S47,3,6
F4-e003Coalescence-mBHI-p5_S15,3,6
F4-e003Coalescence-mBHI-p3_S23,1,2
G100-e003Coalescence-mGAM-p5_S79,3,5
H100-e003Coalescence-mGAM-p5_S91,3,6
G9-e003Coalescence-mBHI-p3_S130,3,6
H4-e003Coalescence-mBHI-p5_S39,3,6
F4-e003Coalescence-mGAM-p3_S71,1,2
H100-e003Coalescence-mBHI-p7_S139,3,6
G8-e003Coalescence-mBHI-p5_S29,3,2
G2-e003Coalescence-mBHI-p5_S25,3,5
E4-e003Coalescence-mBHI-p3_S11,3,6
G9-e003Coalescence-mBHI-p5_S30,3,6
F4-e003Coalescence-mGAM-p7_S159,3,6
G9-e003Coalescence-mGAM-p3_S178,3,6
G2-e003Coalescence-mGAM-p3_S81,3,5
G100-e003Coalescence-mBHI-p7_S127,3,6
