,index,fixed_diffs,num_int_sites,sample1,species_id
0,C10-e003Coalescence-mGAM-p5,0,382927,C10-e003Coalescence-mGAM-p5,100199
1,C10-e003Coalescence-mGAM-p7,6,384841,C10-e003Coalescence-mGAM-p5,100199
0,C10-e003Coalescence-mGAM-p5,14,382927,C10-e003Coalescence-mGAM-p7,100199
1,C10-e003Coalescence-mGAM-p7,0,384841,C10-e003Coalescence-mGAM-p7,100199
