,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,57,48
B3-e003Coalescence-Inoculumn-mGAM,57,48
A3-e003Coalescence-Inoculumn-mGAM,42,34
A9-e003Coalescence-mBHI-p3,57,48
A9-e003Coalescence-mBHI-p7,57,48
A9-e003Coalescence-mGAM-p5,51,42
B2-e003Coalescence-Inoculumn-mGAM,57,46
B8-e003Coalescence-mGAM-p5,56,45
B8-e003Coalescence-mGAM-p7,47,43
E9-e003Coalescence-mBHI-p5_S6,47,39
E9-e003Coalescence-mGAM-p3_S154,43,36
F8-e003Coalescence-mGAM-p7_S161,44,35
