,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
D2-e004Assembly-mGAM-p7,5927,3893
B2-e003Coalescence-mBHI-p3,6088,3918
A4-e003Coalescence-mBHI-inoculumn-redo,5953,3874
B3-e003Coalescence-mBHI-p3,6111,3950
C2-e003Coalescence-mBHI-p5,2626,1824
C4-e003GlycerolRevival-mBHI-p2,5996,3847
B2-e003Assembly-mBHI-p5,4105,2859
B2-e003Coalescence-mBHI-p5,3083,1860
e004-inoculumn-fecal-AK,5879,3870
C3-e003Coalescence-mGAM-p3,5552,3524
D3-e003Coalescence-Inoculumn-mBHI,5133,3277
C3-e003Coalescence-mBHI-p7,6110,3948
C2-e003Coalescence-mGAM-p7,6026,3916
D3-e003Coalescence-mBHI-p5,2577,1633
D2-e003Coalescence-mBHI-p5,5744,3735
B5-e003Coalescence-mBHI-p5,3657,2320
C2-e003Coalescence-mBHI-p3,6048,3934
D2-e004Assembly-mGAM-p3,5903,3885
B4-e003Coalescence-mGAM-p5,5224,3335
B5-e003Coalescence-Inoculumn-mBHI,4605,2851
C2-e003Coalescence-mGAM-p3,5965,3864
F2-e004Assembly-epsilon-p3,5731,3757
B5-e003Coalescence-mBHI-p3,5027,3223
A2-e003Coalescence-mBHI-p7,5952,3887
D5-e003Coalescence-mBHI-p5,6073,3942
D3-e003Assembly-mBHI-p3,5555,3508
A3-e003Coalescence-mBHI-inoculumn-redo,2652,1630
C3-e003Coalescence-mGAM-p5,6002,3854
C10-e003GlycerolRevival-mGAM-p2,5915,3817
D3-e003Assembly-mBHI-p5,3683,2245
A2-e003Coalescence-Inoculumn-mBHI,6111,3950
D3-e003Coalescence-mBHI-p7,6089,3922
C3-e003Coalescence-mBHI-p5,6070,3915
B2-e003Coalescence-mGAM-p3,4392,2886
B3-e003Coalescence-Inoculumn-mBHI,6111,3950
A5-e003Coalescence-mBHI-p7,6066,3946
G2-e004Assembly-epsilon-p3,5383,3548
E2-e004Assembly-mGAM-p7,5896,3880
D3-e003Coalescence-mGAM-p5,1672,1143
A5-e003Coalescence-mBHI-inoculumn-redo,2490,1736
B5-e003Coalescence-mBHI-p7,6043,3886
A3-e003Coalescence-mGAM-p7,2992,2056
B3-e003Coalescence-mBHI-p7,6087,3928
C2-e004Assembly-mBHI-p7,5869,3873
E2-e004Assembly-mGAM-p5,5907,3888
C3-e003GlycerolRevival-mBHI-p2,5676,3635
D2-e003Coalescence-Inoculumn-mBHI,2757,1908
F2-e004Assembly-epsilon-p7,5827,3840
C3-e003Coalescence-mGAM-p7,6110,3944
B3-e003Coalescence-mGAM-p5,6051,3906
E2-e004Assembly-mGAM-p3,5900,3887
A2-e003Coalescence-mBHI-p3,5994,3894
B3-e003Coalescence-mBHI-p5,6111,3946
C2-e003Coalescence-mBHI-inoculumn-redo,4524,3038
B2-e003Coalescence-Inoculumn-mBHI,5927,3825
A3-e003Coalescence-mBHI-p3,6058,3905
A2-e003Coalescence-mBHI-p5,6049,3927
G2-e004Assembly-epsilon-p5,5747,3771
C3-e003Coalescence-mBHI-inoculumn-redo,6048,3884
C3-e003Assembly-mBHI-p5,5749,3674
F2-e004Assembly-epsilon-p5,5860,3868
A4-e003Coalescence-mBHI-p3,5941,3878
C9-e003GlycerolRevival-mGAM-p2,4490,2688
B2-e004Assembly-mBHI-p7,4786,3245
A2-e003Coalescence-mBHI-inoculumn-redo,5976,3885
C2-e003Coalescence-mGAM-p5,5934,3865
B4-e003Coalescence-Inoculumn-mBHI,6076,3903
B2-e004Assembly-mBHI-p3,5281,3570
B2-e004Assembly-mBHI-p5,5518,3680
B4-e003Coalescence-mBHI-p3,6035,3896
A5-e003Coalescence-Inoculumn-mBHI,1526,1093
D2-e003Coalescence-mBHI-p3,5782,3743
F5-e003Coalescence-mGAM-p5_S64,2462,1491
F5-e003Coalescence-mGAM-p7_S160,4114,2436
H3-e003Coalescence-mBHI-p3_S46,5971,3820
H2-e003Coalescence-mBHI-p7_S133,6043,3939
E5-e003Coalescence-mBHI-p3_S12,2426,1733
H3-e003Coalescence-mBHI-p7_S134,3953,2342
E3-e003Coalescence-mGAM-p3_S58,3740,2597
G2-e003Coalescence-mBHI-p3_S33,6051,3933
H2-e003Coalescence-mGAM-p7_S181,1617,1102
E3-e003Coalescence-mBHI-p3_S10,6056,3901
H3-e003Coalescence-mGAM-p3_S94,1979,1221
