,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,3600,2032
C9-e003Coalescence-mGAM-p3,3803,2156
C11-e003Coalescence-mBHI-p3,3754,2130
D11-e003Coalescence-mBHI-p5,3662,2062
C9-e003Coalescence-mGAM-p7,3790,2145
C8-e003Coalescence-mGAM-p7,3646,2092
D10-e003Coalescence-mBHI-p3,3807,2166
A8-e003Coalescence-mBHI-p3,3803,2165
e004-inoculumn-fecal-BD,1249,740
B9-e003Coalescence-mGAM-p5,3821,2165
A4-e003Coalescence-mBHI-inoculumn-redo,1893,1131
B3-e003Coalescence-mBHI-p3,3825,2168
B3-e004Assembly-mBHI-p7,3104,1813
B5-e004Assembly-mBHI-p7,3228,1840
D4-e003Coalescence-mBHI-p3,1781,957
C4-e003GlycerolRevival-mBHI-p2,3795,2130
C5-e004Assembly-mBHI-p3,3405,1945
C3-e004Assembly-mBHI-p5,3037,1737
B8-e003Assembly-mGAM-p5,1284,726
B12-e003Coalescence-mBHI-p3,1590,814
e004-inoculumn-fecal-AK,1682,919
D3-e004Assembly-mGAM-p7,3585,2050
D4-e004Assembly-mGAM-p5,2751,1592
D3-e003Coalescence-Inoculumn-mBHI,3841,2176
C3-e003Coalescence-mBHI-p7,2665,1492
D11-e003Coalescence-mGAM-p5,3833,2165
A11-e003Coalescence-mGAM-p7,2863,1601
B8-e003Coalescence-mBHI-p5,3824,2165
B10-e003Assembly-mGAM-p5,1883,1113
C2-e003Coalescence-mGAM-p7,3832,2177
B11-e003Coalescence-mGAM-p3,3846,2178
B5-e003Assembly-mBHI-p5,2020,1103
D8-e003Assembly-mGAM-p5,2637,1512
D5-e003Coalescence-mGAM-p5,1910,1142
B5-e003Coalescence-mBHI-p5,1098,565
D5-e003Coalescence-mBHI-p7,1550,943
C9-e003Coalescence-mBHI-p5,3809,2168
A5-e003Coalescence-mGAM-p3,3519,2002
A2-e003Coalescence-Inoculumn-mGAM,2088,1270
E5-e004Assembly-mGAM-p5,3698,2096
D8-e003Coalescence-mGAM-p5,3732,2121
A12-e003Coalescence-mGAM-p3,2868,1642
C4-e004Assembly-mBHI-p5,1409,773
D9-e003Coalescence-mGAM-p7,3617,1977
D8-e003Assembly-mGAM-p3,1412,871
E4-e004Assembly-mGAM-p7,2645,1552
E3-e004Assembly-mGAM-p3,3602,2054
B10-e003Coalescence-mGAM-p3,3729,2085
A9-e003Coalescence-mGAM-p7,3467,1896
B5-e003Coalescence-Inoculumn-mGAM,3798,2156
D10-e003Coalescence-mBHI-p5,3699,2089
D5-e003Coalescence-mBHI-p3,3665,2093
D9-e003Coalescence-mGAM-p5,3803,2163
C9-e003Coalescence-mBHI-p3,3840,2174
D10-e003Coalescence-mGAM-p5,3838,2173
C8-e003Coalescence-mBHI-p7,3734,2127
C3-e004Assembly-mBHI-p7,2254,1308
B5-e003Coalescence-mGAM-p5,2205,1231
BB-Fecal,3798,2131
B5-e003Coalescence-Inoculumn-mBHI,3689,2079
C2-e003Coalescence-mGAM-p3,2339,1393
D8-e003Coalescence-mBHI-p5,3741,2130
E5-e004Assembly-mGAM-p7,3324,1883
B10-e003Coalescence-mBHI-p5,3834,2166
D5-e003Coalescence-Inoculumn-mGAM,3796,2149
